"Len","P31","P50","P356","P1476","P1433","P577"
"A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","Q13442814","Rehan Sadiq","10.1504/ijee.2014.062156","A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","International Journal of Environmental Engineering","2014-06-01"
"A fuzzy rule-based approach for water quality assessment in the distribution network","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608562","A fuzzy rule-based approach for water quality assessment in the distribution network","2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS)","2013-10-01"
"A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2013.06.061","A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Journal of Cleaner Production","2013-07-12"
"A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2003.12.007","A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Environmental Modelling & Software","2004-03-09"
"A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Q13442814","Rehan Sadiq","10.1007/s10098-016-1322-9","A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Clean Technologies and Environmental Policy","2017-01-02"
"A method of measuring uncertainty for Z-number","Q13442814","Rehan Sadiq","10.1109/tfuzz.2018.2868496","A method of measuring uncertainty for Z-number","IEEE Transactions on Fuzzy Systems","2018-09-03"
"A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","A new closeness centrality measure via effective distance in complex networks","Chaos: An Interdisciplinary Journal of Nonlinear Science","2015-03-24"
"A new method in failure mode and effects analysis based on evidential reasoning","Q13442814","Rehan Sadiq","10.1109/access.2019.2934495","A new method in failure mode and effects analysis based on evidential reasoning","IEEE Access","2019-08-12"
"A new method of mapping relations from data based on artificial neural network","Q13442814","Rehan Sadiq","10.1007/s13198-013-0204-3","A new method of mapping relations from data based on artificial neural network","International Journal of System Assurance Engineering and Management","2013-10-31"
"A new method to construct co-author networks","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.10.006","A new method to construct co-author networks","Physica A: Statistical Mechanics and its Applications","2014-10-15"
"A new method to determine basic probability assignment using core samples","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.06.015","A new method to determine basic probability assignment using core samples","Knowledge-Based Systems","2014-07-09"
"A new weighting factor in combining belief function","Q13442814","Rehan Sadiq","10.1371/journal.pone.0177695","A new weighting factor in combining belief function","PLOS ONE","2017-05-25"
"A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122372","A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Journal of Cleaner Production","2020-05-25"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1007/978-90-481-2500-5_5","A review of drought indices","Drought Assessment","2010-09-06"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","A review of drought indices","Environmental Reviews","2011-09-13"
"A review of multi-criteria decision-making methods for infrastructure management","Q13442814","Rehan Sadiq","10.1080/15732479.2013.795978","A review of multi-criteria decision-making methods for infrastructure management","Structure and Infrastructure Engineering","2013-05-29"
"A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2011.04.005","A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Journal of Cleaner Production","2011-04-30"
"AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Q13442814","Rehan Sadiq","10.1080/09640568.2014.920704","AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Journal of Environmental Planning and Management","2014-06-11"
"Acute ecological risk associated with soot deposition: a Persian Gulf case study","Q13442814","Rehan Sadiq","10.1016/s0029-8018(00)00053-6","Acute ecological risk associated with soot deposition: a Persian Gulf case study","Ocean Engineering","2002-10-14"
"Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Q13442814","Rehan Sadiq","10.1016/j.watres.2012.03.061","Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Water Research","2012-04-05"
"Aggregative risk analysis for water quality failure in distribution networks","Q13442814","Rehan Sadiq","10.2166/aqua.2004.0020","Aggregative risk analysis for water quality failure in distribution networks","Journal of Water Supply: Research and Technology-Aqua","2018-05-18"
"An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Q13442814","Rehan Sadiq","10.1108/14637150610710927","An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Business Process Management Journal","2007-01-15"
"An aggregative fuzzy risk analysis for flood incident management","Q13442814","Rehan Sadiq","10.1007/s13198-011-0053-x","An aggregative fuzzy risk analysis for flood incident management","International Journal of System Assurance Engineering and Management","2011-04-19"
"An evidential game theory framework in multi-criteria decision making process","Q13442814","Rehan Sadiq","10.1016/j.amc.2014.07.065","An evidential game theory framework in multi-criteria decision making process","Applied Mathematics and Computation","2014-08-07"
"An integrated approach to environmental decision-making for offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.psep.2012.05.001","An integrated approach to environmental decision-making for offshore oil and gas operations","Process Safety and Environmental Protection","2012-05-17"
"An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.03.192","An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Journal of Cleaner Production","2018-03-21"
"An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Q13442814","Rehan Sadiq","10.1016/j.psep.2019.08.002","An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Process Safety and Environmental Protection","2019-08-11"
"An integrated performance assessment framework for water treatment plants","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.12.006","An integrated performance assessment framework for water treatment plants","Water Research","2011-12-13"
"An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Q13442814","Rehan Sadiq","10.1007/s10098-014-0714-y","An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Clean Technologies and Environmental Policy","2014-01-22"
"An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Q13442814","Rehan Sadiq","10.1007/s10098-012-0481-6","An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Clean Technologies and Environmental Policy","2012-03-24"
"Analyzing energy options for small-scale off-grid communities: A Canadian case study","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119320","Analyzing energy options for small-scale off-grid communities: A Canadian case study","Journal of Cleaner Production","2019-11-18"
"Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Q13442814","Rehan Sadiq","10.1016/j.wasman.2020.10.001","Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Waste Management","2020-10-22"
"Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2011.08.010","Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Process Safety and Environmental Protection","2011-09-11"
"Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Q13442814","Rehan Sadiq","10.3390/membranes11030213","Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Membranes","2021-03-18"
"Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Q13442814","Rehan Sadiq","10.1016/j.tox.2012.11.010","Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Toxicology","2012-12-04"
"Application of decision support systems in water management","Q13442814","Rehan Sadiq","10.1139/er-2013-0034","Application of decision support systems in water management","Environmental Reviews","2013-10-25"
"Application of neuro-fuzzy based expert system in water quality assessment","Q13442814","Rehan Sadiq","10.1007/s13198-014-0315-5","Application of neuro-fuzzy based expert system in water quality assessment","International Journal of System Assurance Engineering and Management","2014-12-08"
"Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.08.078","Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Journal of Cleaner Production","2017-08-14"
"Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119559","Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Journal of Cleaner Production","2019-12-06"
"Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.10.067","Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Journal of Cleaner Production","2016-10-25"
"Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Q13442814","Rehan Sadiq","10.1007/s10661-016-5306-3","Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Environmental Monitoring and Assessment","2016-04-21"
"Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Q13442814","Rehan Sadiq","10.1016/j.jher.2018.08.002","Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Journal of Hydro-environment Research","2018-08-14"
"Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122886","Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Journal of Cleaner Production","2020-07-12"
"Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Q13442814","Rehan Sadiq","10.4314/wsa.v42i2.17","Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Water SA","2016-05-05"
"BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119543","BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Journal of Cleaner Production","2019-12-03"
"Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0374","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Canadian Journal of Civil Engineering","2015-12-23"
"Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Q13442814","Rehan Sadiq","10.3390/su12114422","Benchmarking of Water, Energy, and Carbon Flows in Academic Buildings: A Fuzzy Clustering Approach","Sustainability","2020-06-02"
"Carbon capturing for emissions reduction at building level: A market assessment from a building management perspective","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2021.126323","Carbon capturing for emissions reduction at building level: A market assessment from a building management perspective","Journal of Cleaner Production","2021-02-10"
"Characterizing hydraulic fracturing fluid greenness: application of a hazard-based index approach","Q13442814","Rehan Sadiq","10.1007/s10098-015-1054-2","Characterizing hydraulic fracturing fluid greenness: application of a hazard-based index approach","Clean Technologies and Environmental Policy","2015-10-16"
"Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","Q13442814","Rehan Sadiq","10.1007/s13198-012-0082-0","Classification of heterotrophic plate counts (HPC) in a water distribution network: a fuzzy rule-based approach","International Journal of System Assurance Engineering and Management","2012-02-07"
"Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2019.07.004","Climate change and drinking water quality: Predicting high trihalomethane occurrence in water utilities supplied by surface water","Environmental Modelling & Software","2019-07-16"
"Climate conscious regional planning for fast-growing communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.07.092","Climate conscious regional planning for fast-growing communities","Journal of Cleaner Production","2017-07-14"
"Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","Q13442814","Rehan Sadiq","10.1007/s00477-016-1227-5","Clostridium difficile infection incidence prediction in hospitals (CDIIPH): a predictive model based on decision tree and fuzzy techniques","Stochastic Environmental Research and Risk Assessment","2016-02-11"
"Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","Q13442814","Rehan Sadiq","10.1007/s00477-006-0069-y","Communicating human health risks associated with disinfection by-products in drinking water supplies: a fuzzy-based approach","Stochastic Environmental Research and Risk Assessment","2006-08-08"
"Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","Q13442814","Rehan Sadiq","10.1016/j.apenergy.2020.116304","Community-level decentralized energy system planning under uncertainty: A comparison of mathematical models for strategy development","Applied Energy","2020-12-13"
"Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119594","Comparative life-cycle assessment of traditional and emerging oily sludge treatment approaches","Journal of Cleaner Production","2019-12-14"
"Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","Q13442814","Rehan Sadiq","10.1007/s00477-013-0780-4","Comparative study of fuzzy evidential reasoning and fuzzy rule-based approaches: an illustration for water quality assessment in distribution networks","Stochastic Environmental Research and Risk Assessment","2013-08-13"
"Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000196","Comparison of statistical models for predicting pipe failures: Illustrative example with the City of Calgary water main failure","Journal of Pipeline Systems Engineering and Practice","2015-01-27"
"Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.02.051","Comprehensive consideration of strategy updating promotes cooperation in the prisoner’s dilemma game","Physica A: Statistical Mechanics and its Applications","2014-02-25"
"Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Q13442814","Rehan Sadiq","10.1061/(asce)0887-3801(2008)22:2(114)","Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Journal of Computing in Civil Engineering","2008-02-19"
"Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","Q13442814","Rehan Sadiq","10.1080/15732479.2011.602979","Condition assessment for bridges: a hierarchical evidential reasoning (HER) framework","Structure and Infrastructure Engineering","2013-02-22"
"Condition assessment of water mains using fuzzy evidential reasoning","Q13442814","Rehan Sadiq","10.1109/icsmc.2005.1571684","Condition assessment of water mains using fuzzy evidential reasoning","2005 IEEE International Conference on Systems, Man and Cybernetics","2006-01-18"
"Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000229","Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Journal of Pipeline Systems Engineering and Practice","2015-12-31"
"Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Q13442814","Rehan Sadiq","10.1139/er-2014-0069","Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Environmental Reviews","2015-03-18"
"Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2019.109479","Conventional versus modular construction methods: A comparative cradle-to-gate LCA for residential buildings","Energy and Buildings","2019-09-30"
"Cost/comfort-oriented clustering-based extended time of use pricing","Q13442814","Rehan Sadiq","10.1016/j.scs.2020.102673","Cost/comfort-oriented clustering-based extended time of use pricing","Sustainable Cities and Society","2020-12-29"
"Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","Q13442814","Rehan Sadiq","10.1007/978-3-030-43578-3_8","Coupling Behavior-Based Intervention with Pro-Environmentalism. The Dynamics of Energy Usage, Crisis and Its Conservation","Dynamics of Energy, Environment and Economy","2020-07-02"
"D-CFPR: D numbers extended consistent fuzzy preference relations","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.09.007","D-CFPR: D numbers extended consistent fuzzy preference relations","Knowledge-Based Systems","2014-09-22"
"Data fusion methods for human health risk assessment: review and application","Q13442814","Rehan Sadiq","10.1080/10807039.2012.746145","Data fusion methods for human health risk assessment: review and application","Human and Ecological Risk Assessment: An International Journal","2012-11-12"
"Data fusion-based risk assessment framework: an example of benzene","Q13442814","Rehan Sadiq","10.1007/s13198-012-0136-3","Data fusion-based risk assessment framework: an example of benzene","International Journal of System Assurance Engineering and Management","2012-11-04"
"Decision making under uncertainty—An example for seismic risk management","Q13442814","Rehan Sadiq","10.1111/j.1539-6924.2009.01331.x","Decision making under uncertainty—An example for seismic risk management","Risk Analysis","2009-12-28"
"Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000149","Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent","Journal of Computing in Civil Engineering","2012-05-14"
"Developing a level of service (LOS) index for operational management of public buildings","Q13442814","Rehan Sadiq","10.1016/j.scs.2017.06.015","Developing a level of service (LOS) index for operational management of public buildings","Sustainable Cities and Society","2017-06-27"
"Developing a road performance index using a Bayesian belief network model","Q13442814","Rehan Sadiq","10.1016/j.jfranklin.2011.07.015","Developing a road performance index using a Bayesian belief network model","Journal of the Franklin Institute","2011-08-19"
"Developing environmental indices using fuzzy numbers ordered weighted averaging (FN-OWA) operators","Q13442814","Rehan Sadiq","10.1007/s00477-007-0151-0","Developing environmental indices using fuzzy numbers ordered weighted averaging (FN-OWA) operators","Stochastic Environmental Research and Risk Assessment","2007-06-14"
"Developing environmental indices using fuzzy numbers power average (FN-PA) operator","Q13442814","Rehan Sadiq","10.1007/s13198-014-0257-y","Developing environmental indices using fuzzy numbers power average (FN-PA) operator","International Journal of System Assurance Engineering and Management","2014-04-15"
"Development of Consumer Perception Index for assessing greywater reuse potential in arid environments","Q13442814","Rehan Sadiq","10.4314/wsa.v44i4.25","Development of Consumer Perception Index for assessing greywater reuse potential in arid environments","Water SA","2018-11-07"
"Development of a predictive model for Clostridium difficile infection incidence in hospitals using Gaussian mixture model and Dempster–Shafer theory","Q13442814","Rehan Sadiq","10.1007/s00477-017-1459-z","Development of a predictive model for Clostridium difficile infection incidence in hospitals using Gaussian mixture model and Dempster–Shafer theory","Stochastic Environmental Research and Risk Assessment","2017-10-07"
"Development of a stochastic framework to design/rehabilitate urban stormwater drainage systems based on a resilient approach","Q13442814","Rehan Sadiq","10.1080/1573062x.2018.1424218","Development of a stochastic framework to design/rehabilitate urban stormwater drainage systems based on a resilient approach","Urban Water Journal","2018-01-15"
"Development, application, and sensitivity analysis of a water quality index for drinking water management in small systems","Q13442814","Rehan Sadiq","10.1007/s10661-015-4908-5","Development, application, and sensitivity analysis of a water quality index for drinking water management in small systems","Environmental Monitoring and Assessment","2015-10-12"
"Disinfection by-products (DBPs) in drinking water and predictive models for their occurrence: a review","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2003.05.001","Disinfection by-products (DBPs) in drinking water and predictive models for their occurrence: a review","Science of The Total Environment","2004-03-25"
"Disinfection by-products in drinking water: occurrence, health issues","Q13442814","Rehan Sadiq","10.1021/bk-2008-0995.fw001","Disinfection by-products in drinking water: occurrence, health issues","ACS Symposium Series","2009-07-24"
"Disinfection byproducts in Canadian provinces: associated cancer risks and medical expenses","Q13442814","Rehan Sadiq","10.1016/j.jhazmat.2011.01.085","Disinfection byproducts in Canadian provinces: associated cancer risks and medical expenses","Journal of Hazardous Materials","2011-01-27"
"Distribution of arsenic and copper in sediment pore water: an ecological risk assessment case study for offshore drilling waste discharges","Q13442814","Rehan Sadiq","10.1111/j.0272-4332.2003.00403.x","Distribution of arsenic and copper in sediment pore water: an ecological risk assessment case study for offshore drilling waste discharges","Risk Analysis","2003-12-01"
"Distribution of heavy metals in sediment pore water due to offshore discharges: an ecological risk assessment","Q13442814","Rehan Sadiq","10.1016/s1364-8152(03)00010-0","Distribution of heavy metals in sediment pore water due to offshore discharges: an ecological risk assessment","Environmental Modelling & Software","2003-04-30"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Rehan Sadiq","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Exposure and Health","2019-12-20"
"Drinking water infrastructure assessment: the national research council of canada perspective","Q13442814","Rehan Sadiq","10.1061/41036(342)67","Drinking water infrastructure assessment: the national research council of canada perspective","World Environmental and Water Resources Congress 2009","2009-07-27"
"Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply","Q13442814","Rehan Sadiq","10.1007/s00267-017-0873-9","Drinking water management and governance in Canada: an innovative Plan-Do-Check-Act (PDCA) framework for a safe drinking water supply","Environmental Management","2017-04-19"
"Drinking water quality assessment in distribution networks: A water footprint approach","Q13442814","Rehan Sadiq","10.1016/j.scitotenv.2021.145844","Drinking water quality assessment in distribution networks: A water footprint approach","Science of The Total Environment","2021-02-16"
"Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water","Q13442814","Rehan Sadiq","10.2166/wp.2018.040","Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water","Water Policy","2018-01-11"
"Ecological risk assessment of accidental release of flowback water: A conceptual framework","Q13442814","Rehan Sadiq","10.1080/10807039.2017.1385384","Ecological risk assessment of accidental release of flowback water: A conceptual framework","Human and Ecological Risk Assessment: An International Journal","2017-10-06"
"Ecological risk assessment of acid rock drainage under uncertainty: The fugacity approach","Q13442814","Rehan Sadiq","10.1016/j.eti.2015.07.004","Ecological risk assessment of acid rock drainage under uncertainty: The fugacity approach","Environmental Technology & Innovation","2015-09-29"
"Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis","Q13442814","Rehan Sadiq","10.1061/jswbay.0000854","Economic and Energy Efficiency of Net-Zero Water Communities: System Dynamics Analysis","Journal of Sustainable Water in the Built Environment","2018-04-20"
"Economic evaluation of building energy retrofits: A fuzzy based approach","Q13442814","Rehan Sadiq","10.1016/j.enbuild.2017.01.031","Economic evaluation of building energy retrofits: A fuzzy based approach","Energy and Buildings","2017-01-12"
"Effect of regulations and treatment technologies on water distribution infrastructure","Q13442814","Rehan Sadiq","10.1002/j.1551-8833.2009.tb09860.x","Effect of regulations and treatment technologies on water distribution infrastructure","Journal - American Water Works Association","2018-02-23"
"Effects of bottleneck blockage on the resilience of an urban stormwater drainage system","Q13442814","Rehan Sadiq","10.1080/02626667.2019.1690657","Effects of bottleneck blockage on the resilience of an urban stormwater drainage system","Hydrological Sciences Journal","2019-11-08"
"Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads","Q13442814","Rehan Sadiq","10.1007/s10098-013-0615-5","Emergy-based life cycle assessment (Em-LCA) for sustainability appraisal of infrastructure systems: a case study on paved roads","Clean Technologies and Environmental Policy","2013-04-12"
"Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada","Q13442814","Rehan Sadiq","10.1016/j.ijsbe.2014.09.001","Emergy-based life cycle assessment (Em-LCA) of multi-unit and single-family residential buildings in Canada","International Journal of Sustainable Built Environment","2014-10-03"
"Empirical models to predict disinfection by-products (DBPs) in drinking water","Q13442814","Rehan Sadiq","10.1016/b978-0-444-52272-6.00282-8","Empirical models to predict disinfection by-products (DBPs) in drinking water","Encyclopedia of Environmental Health","2011-03-07"
"Energetic, environmental and economic performance of electric vehicles: Experimental evaluation","Q13442814","Rehan Sadiq","10.1016/j.trd.2014.11.015","Energetic, environmental and economic performance of electric vehicles: Experimental evaluation","Transportation Research Part D: Transport and Environment","2014-12-23"
"Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000253","Energy Efficiency and Global Warming Potential in the Residential Sector: Comparative Evaluation of Canada and Saudi Arabia","Journal of Architectural Engineering","2017-04-28"
"Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia","Q13442814","Rehan Sadiq","10.3390/su13042232","Energy Performance Assessment Framework for Residential Buildings in Saudi Arabia","Sustainability","2021-02-19"
"Energy rating system for climate conscious operation of multi-unit residential buildings","Q13442814","Rehan Sadiq","10.1007/s10098-018-1510-x","Energy rating system for climate conscious operation of multi-unit residential buildings","Clean Technologies and Environmental Policy","2018-03-01"
