"Len","P31","P50","P356","P1476","P1433","P577"
"Asher P. Schick (1931–2002)","Q13442814","Marwan Hassan","10.1029/2002eo000388","Asher P. Schick (1931–2002)","Eos, Transactions American Geophysical Union","2006-10-19"
"BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Q13442814","Marwan Hassan","10.5194/egusphere-egu2020-10800","BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Copernicus GmbH","2020-03-09"
"Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Q13442814","Marwan Hassan","10.1029/2020gl087440","Back to Einstein: Burial‐Induced Three‐Range Diffusion in Fluvial Sediment Transport","Geophysical Research Letters","2020-07-09"
"Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Q13442814","Marwan Hassan","10.1002/essoar.10502258.1","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Wiley","2020-02-13"
"Bar structure in an arid ephemeral stream","Q13442814","Marwan Hassan","10.1016/j.sedgeo.2009.07.012","Bar structure in an arid ephemeral stream","Sedimentary Geology","2009-08-16"
"Bed material and bed load movement in two ephemeral streams","Q13442814","Marwan Hassan","10.1002/9781444303995.ch4","Bed material and bed load movement in two ephemeral streams","Alluvial Sedimentation","2009-04-14"
"Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","Q13442814","Marwan Hassan","10.1201/b17133-169","Bed surface bed profile adjustments to a series of water pulses in gravel bed rivers","River Flow 2014","2014-09-25"
"Bedload transport in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/9781118971437.ch15","Bedload transport in gravel bed rivers","Gravel-Bed Rivers","2017-05-06"
"Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera","Q13442814","Marwan Hassan","10.1016/j.geomorph.2021.107700","Bio-climate affects Hillslope and Fluvial Sediment Grain size along the Chilean Coastal Cordillera","Geomorphology","2021-03-20"
"Calculating the explicit probability of entrainment based on inertial acceleration measurements","Q13442814","Marwan Hassan","10.1061/(asce)hy.1943-7900.0001262","Calculating the explicit probability of entrainment based on inertial acceleration measurements","Journal of Hydraulic Engineering","2016-11-04"
"Can magic sand cause massive degradation of a gravel-bed river at the decadal scale? Shi‑ting River, China","Q13442814","Marwan Hassan","10.1016/j.geomorph.2018.10.026","Can magic sand cause massive degradation of a gravel-bed river at the decadal scale? Shi‑ting River, China","Geomorphology","2018-10-30"
"Channel adjustments to a succession of water pulses in gravel bed rivers","Q13442814","Marwan Hassan","10.1002/2015wr017664","Channel adjustments to a succession of water pulses in gravel bed rivers","Water Resources Research","2015-10-21"
"Channel response and recovery to changes in sediment supply","Q13442814","Marwan Hassan","10.1002/9781119952497.ch33","Channel response and recovery to changes in sediment supply","Gravel-Bed Rivers","2012-02-17"
"Characteristics of gravel bars in ephemeral streams","Q13442814","Marwan Hassan","10.2110/jsr.2005.004","Characteristics of gravel bars in ephemeral streams","Journal of Sedimentary Research","2005-04-11"
"Characterization of morphological units in a small, forested stream using close-range remotely piloted aircraft imagery","Q13442814","Marwan Hassan","10.5194/esurf-8-913-2020","Characterization of morphological units in a small, forested stream using close-range remotely piloted aircraft imagery","Earth Surface Dynamics","2020-11-04"
"Collisional Langevin approach to bed load sediment velocity distributions","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-8148","Collisional Langevin approach to bed load sediment velocity distributions","Copernicus GmbH","2021-03-04"
"Colluvial sediment dynamics in mountain drainage basins","Q13442814","Marwan Hassan","10.1016/j.epsl.2009.05.002","Colluvial sediment dynamics in mountain drainage basins","Earth and Planetary Science Letters","2009-05-30"
"Complex mass wasting response of drainage basins to forest management in coastal British Columbia","Q13442814","Marwan Hassan","10.1016/s0169-555x(02)00166-6","Complex mass wasting response of drainage basins to forest management in coastal British Columbia","Geomorphology","2002-11-04"
"Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …","Q13442814","Marwan Hassan","10.1029/2004jd005414","Composition and Chemistry-D11307-Influence of small-and large-scale variables on the chemical and isotopic compositions of urban rainwater, as illustrated by a case study in …","Journal of Geophysical Research","2005-06-07"
"Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone","Q13442814","Marwan Hassan","10.1016/j.jhydrol.2004.02.010","Controls on the chemical and isotopic compositions of urban stormwater in a semiarid zone","Journal of Hydrology","2004-04-26"
"Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel","Q13442814","Marwan Hassan","10.1002/esp.4788","Co‐evolution of coarse grain structuring and bed roughness in response to episodic sediment supply in an experimental aggrading channel","Earth Surface Processes and Landforms","2019-12-20"
"Debris flow initiation and sediment recharge in gullies","Q13442814","Marwan Hassan","10.1016/j.geomorph.2009.02.021","Debris flow initiation and sediment recharge in gullies","Geomorphology","2009-02-28"
"Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada","Q13442814","Marwan Hassan","10.1029/2017jf004578","Development and application of a large‐scale, physically based, distributed suspended sediment transport model on the Fraser River Basin, British Columbia, Canada","Journal of Geophysical Research: Earth Surface","2018-09-19"
"Displacement characteristics of coarse fluvial bed sediment","Q13442814","Marwan Hassan","10.1029/2012jf002374","Displacement characteristics of coarse fluvial bed sediment","Journal of Geophysical Research: Earth Surface","2012-12-07"
"Distance of movement of coarse particles in gravel bed streams","Q13442814","Marwan Hassan","10.1029/90wr02762","Distance of movement of coarse particles in gravel bed streams","Water Resources Research","2004-02-04"
"Does small‐bodied salmon spawning activity enhance streambed mobility?","Q13442814","Marwan Hassan","10.1002/2015wr017079","Does small‐bodied salmon spawning activity enhance streambed mobility?","Water Resources Research","2015-08-21"
"Does variable channel morphology lead to dynamic salmon habitat?","Q13442814","Marwan Hassan","10.1002/esp.4726","Does variable channel morphology lead to dynamic salmon habitat?","Earth Surface Processes and Landforms","2019-08-28"
"Drag forces on large cylinders","Q13442814","Marwan Hassan","10.1002/rra.2868","Drag forces on large cylinders","River Research and Applications","2015-01-19"
"Drainage basin dynamics and morphology","Q13442814","Marwan Hassan","10.1016/0378-3839(79)90023-1","Drainage basin dynamics and morphology","Coastal Engineering","2003-03-14"
"EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA","Q13442814","Marwan Hassan","10.1029/2005jf000358","EVOLUTION OF RIVER LONG-PROFILES, ORGANIZATION OF PROCESS DOMAINS AND DOWNSTREAM HYDRAULIC GEOMETRY IN GLACIATED DRAINAGE BASINS OF COASTAL BRITISH COLUMBIA","Journal of Geophysical Research","2006-02-22"
"Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-6889","Effect of stress history on sediment transport and channel adjustment in graded gravel-bed rivers","Copernicus GmbH","2021-03-04"
"Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications","Q13442814","Marwan Hassan","10.1002/2013wr014529","Effective discharge in small formerly glaciated mountain streams of British Columbia: Limitations and implications","Water Resources Research","2014-05-05"
"Effects of glacial retreat on proglacial streams and riparian zones in the Coast and North Cascade Mountains","Q13442814","Marwan Hassan","10.1002/esp.3453","Effects of glacial retreat on proglacial streams and riparian zones in the Coast and North Cascade Mountains","Earth Surface Processes and Landforms","2013-06-11"
"Einstein conjecture and resting-time statistics in the bed-load transport of monodispersed particles","Q13442814","Marwan Hassan","10.1017/jfm.2019.563","Einstein conjecture and resting-time statistics in the bed-load transport of monodispersed particles","Journal of Fluid Mechanics","2019-08-14"
"Erosion, Sedimentation, and Geomorphology-Sensitivity of bed load transport in Harris Creek: Seasonal and spatial variation over a cobble-gravel bar (Paper 2000WR900346)","Q13442814","Marwan Hassan","10.1029/2000wr900346","Erosion, Sedimentation, and Geomorphology-Sensitivity of bed load transport in Harris Creek: Seasonal and spatial variation over a cobble-gravel bar (Paper 2000WR900346)","Water Resources Research","2004-02-04"
"Erosion, Sedimentation, and Geomorphology-Stabilizing self-organized structures in gravel-bed stream channels: Field and experimental observations (Paper 98WR00484)","Q13442814","Marwan Hassan","10.1029/98wr00484","Erosion, Sedimentation, and Geomorphology-Stabilizing self-organized structures in gravel-bed stream channels: Field and experimental observations (Paper 98WR00484)","Water Resources Research","2004-02-04"
"Estimating suspended sediment concentrations in areas with limited hydrological data using a mixed‐effects model","Q13442814","Marwan Hassan","10.1002/hyp.8462","Estimating suspended sediment concentrations in areas with limited hydrological data using a mixed‐effects model","Hydrological Processes","2012-01-11"
"Experiment on morphological and hydraulic adjustments of step‐pool unit to flow increase","Q13442814","Marwan Hassan","10.1002/esp.4722","Experiment on morphological and hydraulic adjustments of step‐pool unit to flow increase","Earth Surface Processes and Landforms","2019-08-23"
"Experiment on temporal variation of bed load transport in response to changes in sediment supply in streams","Q13442814","Marwan Hassan","10.1002/2016wr019460","Experiment on temporal variation of bed load transport in response to changes in sediment supply in streams","Water Resources Research","2016-12-29"
"Experimental Insights Into the Threshold of Motion in Alluvial Channels: Sediment Supply and Streambed State","Q13442814","Marwan Hassan","10.1029/2020jf005736","Experimental Insights Into the Threshold of Motion in Alluvial Channels: Sediment Supply and Streambed State","Journal of Geophysical Research: Earth Surface","2020-11-13"
"Experimental study of sediment supply control on step formation, evolution, and stability","Q13442814","Marwan Hassan","10.5194/esurf-8-855-2020","Experimental study of sediment supply control on step formation, evolution, and stability","Earth Surface Dynamics","2020-10-21"
"Experimental study on the stability and failure of individual step-pool","Q13442814","Marwan Hassan","10.1016/j.geomorph.2018.03.023","Experimental study on the stability and failure of individual step-pool","Geomorphology","2018-03-27"
"Experiments on surface structure and partial sediment transport on a gravel bed","Q13442814","Marwan Hassan","10.1029/2000wr900055","Experiments on surface structure and partial sediment transport on a gravel bed","Water Resources Research","2004-02-04"
"Fine particles in small steepland streams: physical, ecological and human connections","Q13442814","Marwan Hassan","10.2495/978-1-84564-091-0/05","Fine particles in small steepland streams: physical, ecological and human connections","Coastal Watershed Management","2008-08-26"
"Flow routing for delineating supraglacial meltwater channel networks","Q13442814","Marwan Hassan","10.3390/rs8120988","Flow routing for delineating supraglacial meltwater channel networks","Remote Sensing","2016-12-02"
"Fluvial adjustment of the Lower Jordan River to a drop in the Dead Sea level","Q13442814","Marwan Hassan","10.1016/s0169-555x(01)00187-8","Fluvial adjustment of the Lower Jordan River to a drop in the Dead Sea level","Geomorphology","2002-07-28"
"Fluvial clastic sediment yield in Canada: scaled analysis","Q13442814","Marwan Hassan","10.1139/e99-034","Fluvial clastic sediment yield in Canada: scaled analysis","Canadian Journal of Earth Sciences","2011-04-23"
"Fluvial response to changes in the magnitude and frequency of sediment supply in a 1-D model","Q13442814","Marwan Hassan","10.5194/esurf-6-1041-2018","Fluvial response to changes in the magnitude and frequency of sediment supply in a 1-D model","Earth Surface Dynamics","2018-11-14"
"Frequency and magnitude of bedload transport in a mountain river","Q13442814","Marwan Hassan","10.1002/(sici)1096-9837(199605)21:5<433::aid-esp580>3.0.co;2-p","Frequency and magnitude of bedload transport in a mountain river","Earth Surface Processes and Landforms","2005-11-30"
"Geomorphic controls on tracer particle dispersion in gravel-bed rivers","Q13442814","Marwan Hassan","10.1002/9781118971437.ch6","Geomorphic controls on tracer particle dispersion in gravel-bed rivers","Gravel-Bed Rivers","2017-05-06"
"Geomorphology of headwaters:  transition from hillslopes to channels","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb04466.x","Geomorphology of headwaters:  transition from hillslopes to channels","Journal of the American Water Resources Association","2007-06-09"
"Glacially induced organization of channel‐reach morphology in mountain streams","Q13442814","Marwan Hassan","10.1029/2006jf000741","Glacially induced organization of channel‐reach morphology in mountain streams","Journal of Geophysical Research","2007-08-07"
"Grain Size‐Specific Engelund‐Hansen Type Relation for Bed Material Load in Sand‐bed Rivers, with Application to the Mississippi River","Q13442814","Marwan Hassan","10.1029/2020wr027517","Grain Size‐Specific Engelund‐Hansen Type Relation for Bed Material Load in Sand‐bed Rivers, with Application to the Mississippi River","Water Resources Research","2020-12-19"
"Hydrologic Predictions in a Changing Environment III","Q13442814","Marwan Hassan","10.5194/hessd-7-7779-2010","Hydrologic Predictions in a Changing Environment III","Copernicus GmbH","2010-10-05"
"Identification of steps and pools from stream longitudinal profile data","Q13442814","Marwan Hassan","10.1016/j.geomorph.2008.04.009","Identification of steps and pools from stream longitudinal profile data","Geomorphology","2008-05-07"
"Impact of wastewater discharge on the channel morphology of ephemeral streams","Q13442814","Marwan Hassan","10.1002/esp.273","Impact of wastewater discharge on the channel morphology of ephemeral streams","Earth Surface Processes and Landforms","2002-08-25"
"In memoriam Prof. Ross Mackay (1915-2014)","Q13442814","Marwan Hassan","10.14430/arctic4464","In memoriam Prof. Ross Mackay (1915-2014)","ARCTIC","2015-02-27"
"Influence of Dams on Size-Specific Sediment Transport and Storage on the Elwha River, Washington","Q13442814","Marwan Hassan","10.3955/0029-344x-82.s.i.224","Influence of Dams on Size-Specific Sediment Transport and Storage on the Elwha River, Washington","Northwest Science","2009-03-12"
"Influence of the sediment supply texture on morphological adjustments in gravel‐bed rivers","Q13442814","Marwan Hassan","10.1002/2013wr015117","Influence of the sediment supply texture on morphological adjustments in gravel‐bed rivers","Water Resources Research","2014-10-16"
"Inter-decadal patterns of total sediment yield from a montane catchment, south Coast Mountains, Canada","Q13442814","Marwan Hassan","10.1016/j.geomorph.2010.01.001","Inter-decadal patterns of total sediment yield from a montane catchment, south Coast Mountains, Canada","Geomorphology","2010-01-12"
"Interplay of Turbulent Flow and Various Sized Particles in Sediment Transport","Q13442814","Marwan Hassan","10.1002/essoar.10502687.1","Interplay of Turbulent Flow and Various Sized Particles in Sediment Transport","Wiley","2020-04-17"
"Introduction to the special issue on sediment transport dynamics","Q13442814","Marwan Hassan","10.1002/esp.310","Introduction to the special issue on sediment transport dynamics","Earth Surface Processes and Landforms","2002-09-10"
"Joint stochastic bedload transport and bed elevation model: Variance regulation and power law rests","Q13442814","Marwan Hassan","10.1029/2019jf005259","Joint stochastic bedload transport and bed elevation model: Variance regulation and power law rests","Journal of Geophysical Research: Earth Surface","2020-03-17"
"Land use and climate change impacts on lake sedimentation rates in western Canada","Q13442814","Marwan Hassan","10.1016/j.ancene.2014.02.006","Land use and climate change impacts on lake sedimentation rates in western Canada","Anthropocene","2014-03-08"
"Landslide inventory in a rugged forested watershed: a comparison between air-photo and field survey data","Q13442814","Marwan Hassan","10.1016/s0169-555x(02)00355-0","Landslide inventory in a rugged forested watershed: a comparison between air-photo and field survey data","Geomorphology","2003-01-10"
"Lidar observations of ice crystals associated with noctilucent clouds at middle latitudes","Q13442814","Marwan Hassan","10.1029/93gl03291","Lidar observations of ice crystals associated with noctilucent clouds at middle latitudes","Geophysical Research Letters","2004-02-03"
"Linking spatial patterns of bed surface texture, bed mobility, and channel hydraulics in a mountain stream to potential spawning substrate for small resident trout","Q13442814","Marwan Hassan","10.1016/j.geomorph.2013.04.041","Linking spatial patterns of bed surface texture, bed mobility, and channel hydraulics in a mountain stream to potential spawning substrate for small resident trout","Geomorphology","2013-05-15"
"Long-term temporal structure analysis of sediment fluxes in the Upper Changjiang (Yangtze River) using a wavelet transformation","Q13442814","Marwan Hassan","10.5194/egusphere-egu21-12666","Long-term temporal structure analysis of sediment fluxes in the Upper Changjiang (Yangtze River) using a wavelet transformation","Copernicus GmbH","2021-03-04"
"MODELING THE EFFECT OF SEDIMENT SUPPLY ON CHANNEL WIDTH CHANGE ALONG ELWHA RIVER, WASHINGTON","Q13442814","Marwan Hassan","10.1130/abs/2017am-304959","MODELING THE EFFECT OF SEDIMENT SUPPLY ON CHANNEL WIDTH CHANGE ALONG ELWHA RIVER, WASHINGTON","Geological Society of America","2017-11-30"
"Maintenance of an obstruction-forced pool in a gravel-bed channel: streamflow, channel morphology, and sediment transport","Q13442814","Marwan Hassan","10.1016/s0928-2025(05)80016-1","Maintenance of an obstruction-forced pool in a gravel-bed channel: streamflow, channel morphology, and sediment transport","Developments in Earth Surface Processes","2007-09-07"
"Mobility of bed material in Harris Creek","Q13442814","Marwan Hassan","10.1029/2001wr000753","Mobility of bed material in Harris Creek","Water Resources Research","2002-12-02"
"Model Description of the Reach Scale Channel Simulator","Q13442814","Marwan Hassan","10.2172/6297252","Model Description of the Reach Scale Channel Simulator","Office of Scientific and Technical Information (OSTI)","2020-08-20"
"Modeling temporal trends in bedload transport in gravel-bed streams using hierarchical mixed-effects models","Q13442814","Marwan Hassan","10.1016/j.geomorph.2014.05.019","Modeling temporal trends in bedload transport in gravel-bed streams using hierarchical mixed-effects models","Geomorphology","2014-05-29"
"Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia","Q13442814","Marwan Hassan","10.1002/hyp.9989","Modelling changes in suspended sediment from forest road surfaces in a coastal watershed of British Columbia","Hydrological Processes","2013-07-24"
"Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada","Q13442814","Marwan Hassan","10.1002/hyp.13321","Modelling the effects of climatic and hydrological regime changes on the sediment dynamics of the Fraser River Basin, British Columbia, Canada","Hydrological Processes","2018-11-01"
"Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments","Q13442814","Marwan Hassan","10.1029/2017jf004533","Morphodynamics of a width‐variable gravel bed stream: New insights on pool‐riffle formation from physical experiments","Journal of Geophysical Research: Earth Surface","2018-09-28"
"Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history","Q13442814","Marwan Hassan","10.1016/j.geomorph.2020.107043","Morphometrics of China's Loess Plateau: The spatial legacy of tectonics, climate, and loess deposition history","Geomorphology","2020-01-15"
"Observations of desert flood bores","Q13442814","Marwan Hassan","10.1002/esp.3290150512","Observations of desert flood bores","Earth Surface Processes and Landforms","2007-02-03"
"On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study","Q13442814","Marwan Hassan","10.5194/esurf-2020-30","On how sediment supply affects step formation, evolution and stability in steep streams: an experimental study","Copernicus GmbH","2020-05-04"
"On how spatial variations of channel width influence","Q13442814","Marwan Hassan","10.1002/2016gl069824","On how spatial variations of channel width influence","Geophysical Research Letters","2016-06-14"
"Palestinian water I: Resources, allocation and perception","Q13442814","Marwan Hassan","10.1111/j.1749-8198.2009.00293.x","Palestinian water I: Resources, allocation and perception","Geography Compass","2010-02-03"
"Palestinian water II: climate change and land use","Q13442814","Marwan Hassan","10.1111/j.1749-8198.2009.00294.x","Palestinian water II: climate change and land use","Geography Compass","2010-02-03"
"Palestinian water: resources, use, conservation, climate change, and land use","Q13442814","Marwan Hassan","10.1111/j.1949-3606.2012.00175.x","Palestinian water: resources, use, conservation, climate change, and land use","Digest of Middle East Studies","2012-11-01"
"Particle Tracing in Geomorphology Posters","Q13442814","Marwan Hassan","10.1002/9781118648551.ch14","Particle Tracing in Geomorphology Posters","Tools in Fluvial Geomorphology","2016-04-23"
"Patterns, puzzles and people: implementing hydrologic synthesis","Q13442814","Marwan Hassan","10.1002/hyp.8234","Patterns, puzzles and people: implementing hydrologic synthesis","Hydrological Processes","2011-07-28"
"Physical effects of streambed periphyton on particle deposition and flow hydraulics","Q13442814","Marwan Hassan","10.1016/j.geomorph.2010.08.015","Physical effects of streambed periphyton on particle deposition and flow hydraulics","Geomorphology","2010-09-18"
"Pool‐riffle adjustment due to changes in flow and sediment supply","Q13442814","Marwan Hassan","10.1029/2020wr028048","Pool‐riffle adjustment due to changes in flow and sediment supply","Water Resources Research","2021-01-16"
"Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Q13442814","Marwan Hassan","10.1002/2015wr017840","Pool‐riffle sedimentation and surface texture trends in a gravel bed stream","Water Resources Research","2015-10-12"
"Prediction and forecast of Suspended Sediment Concentration (SSC) on the Upper Yangtze basin","Q13442814","Marwan Hassan","10.1029/2017jf004240","Prediction and forecast of Suspended Sediment Concentration (SSC) on the Upper Yangtze basin","Journal of Geophysical Research: Earth Surface","2018-06-20"
"Predictive Modeling and Mapping of Fish Distributions in Small Streams of the Canadian Rocky Mountain Foothills","Q13442814","Marwan Hassan","10.1139/f07-161","Predictive Modeling and Mapping of Fish Distributions in Small Streams of the Canadian Rocky Mountain Foothills","Canadian Journal of Fisheries and Aquatic Sciences","2008-03-03"
"Principles of bedload transport of non-cohesive sediment in open-channels","Q13442814","Marwan Hassan","10.1007/978-3-319-17719-9_13","Principles of bedload transport of non-cohesive sediment in open-channels","Rivers – Physical, Fluvial and Environmental Processes","2015-06-30"
"Promise, performance and current limitations of a magnetic Bedload Movement Detector","Q13442814","Marwan Hassan","10.1002/esp.1797","Promise, performance and current limitations of a magnetic Bedload Movement Detector","Earth Surface Processes and Landforms","2009-04-02"
"Rapid and objective characterization of channel morphology in a small, forested stream","Q13442814","Marwan Hassan","10.5194/esurf-2020-33","Rapid and objective characterization of channel morphology in a small, forested stream","Copernicus GmbH","2020-05-11"
"Reach‐scale contributions of road‐surface sediment to the Honna River, Haida Gwaii, BC","Q13442814","Marwan Hassan","10.1002/hyp.10874","Reach‐scale contributions of road‐surface sediment to the Honna River, Haida Gwaii, BC","Hydrological Processes","2016-04-10"
"Recent (1999–2003) Canadian research on contemporary processes of river erosion and sedimentation, and river mechanics","Q13442814","Marwan Hassan","10.1002/hyp.5767","Recent (1999–2003) Canadian research on contemporary processes of river erosion and sedimentation, and river mechanics","Hydrological Processes","2005-01-13"
"Relationship between suspended sediment load, channel geometry and land area increment in the Yellow River Delta","Q13442814","Marwan Hassan","10.1016/j.catena.2006.01.003","Relationship between suspended sediment load, channel geometry and land area increment in the Yellow River Delta","CATENA","2006-03-30"
"Response of In‐Stream Wood to Riparian Timber Harvesting: Field Observations and Long‐Term Projections","Q13442814","Marwan Hassan","10.1029/2020wr027077","Response of In‐Stream Wood to Riparian Timber Harvesting: Field Observations and Long‐Term Projections","Water Resources Research","2020-06-22"
"River Restoration Design Framework","Q13442814","Marwan Hassan","10.31223/osf.io/eus6c","River Restoration Design Framework","California Digital Library (CDL)","2018-07-02"
"River restoration","Q13442814","Marwan Hassan","10.4016/10452.01","River restoration","SciVee","2009-04-21"
"Rough Correlations: Meta‐Analysis of Roughness Measures in Gravel Bed Rivers","Q13442814","Marwan Hassan","10.1029/2020wr027079","Rough Correlations: Meta‐Analysis of Roughness Measures in Gravel Bed Rivers","Water Resources Research","2020-07-17"
"SEDIMENT TRANSPORT AND CHANNEL MORPHOLOGY OF SMALL, FORESTED STREAMS1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb03774.x","SEDIMENT TRANSPORT AND CHANNEL MORPHOLOGY OF SMALL, FORESTED STREAMS1","Journal of the American Water Resources Association","2007-06-09"
"SPATIAL AND TEMPORAL DYNAMICS OF WOOD IN HEADWATER STREAMS OF THE PACIFIC NORTHWEST1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb04469.x","SPATIAL AND TEMPORAL DYNAMICS OF WOOD IN HEADWATER STREAMS OF THE PACIFIC NORTHWEST1","Journal of the American Water Resources Association","2007-06-09"
"SUSPENDED SEDIMENT DYNAMICS IN SMALL FOREST STREAMS OF THE PACIFIC NORTHWEST1","Q13442814","Marwan Hassan","10.1111/j.1752-1688.2005.tb03775.x","SUSPENDED SEDIMENT DYNAMICS IN SMALL FOREST STREAMS OF THE PACIFIC NORTHWEST1","Journal of the American Water Resources Association","2007-06-09"
"SUSPENDED SEDIMENT DYNAMICS IN SMALL, FOREST","Q13442814","Marwan Hassan","10.1007/springerreference_225999","SUSPENDED SEDIMENT DYNAMICS IN SMALL, FOREST","SpringerReference","2012-04-05"
"Salmon as geomorphic agents and ecosystem engineers in gravel-bed rivers: the effect of fish and floods on sediment mobility and habitat suitability","Q13442814","Marwan Hassan","10.1029/2010gm000968","Salmon as geomorphic agents and ecosystem engineers in gravel-bed rivers: the effect of fish and floods on sediment mobility and habitat suitability","Stream Restoration in Dynamic Fluvial Systems","2011-12-05"
"Salmon-driven bedload transport in small streams","Q13442814","Marwan Hassan","10.1029/2010gl046558","Salmon-driven bedload transport in small streams","Geophysical Research Letters","2011-02-22"
"Sampling variability in estimates of flow characteristics in coarse‐bed channels: Effects of sample size","Q13442814","Marwan Hassan","10.1002/2015wr017259","Sampling variability in estimates of flow characteristics in coarse‐bed channels: Effects of sample size","Water Resources Research","2016-02-25"
"Scale‐dependent interactions between wood and channel dynamics: Modeling jam formation and sediment storage in gravel‐bed streams","Q13442814","Marwan Hassan","10.1002/2013jf002917","Scale‐dependent interactions between wood and channel dynamics: Modeling jam formation and sediment storage in gravel‐bed streams","Journal of Geophysical Research: Earth Surface","2013-11-14"
"Scour, fill, and burial depth of coarse material in gravel bed streams","Q13442814","Marwan Hassan","10.1002/esp.3290150405","Scour, fill, and burial depth of coarse material in gravel bed streams","Earth Surface Processes and Landforms","2007-02-03"
"Sediment Transport Dynamics-Editorial","Q13442814","Marwan Hassan","10.1017/9781108164108.005","Sediment Transport Dynamics-Editorial","River Dynamics","2020-05-04"
