"Len","P31","P50","P356","P1476","P1433","P577"
"Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","Q13442814","Leila M. Harris","10.5751/es-06623-190336","Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","Ecology and Society","2014-09-10"
"Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364451","Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","Society & Natural Resources","2017-10-16"
"Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","Q13442814","Leila M. Harris","10.1111/anti.12340","Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","Antipode","2017-06-13"
"Political ecologies of the state: Recent interventions and questions going forward","Q13442814","Leila M. Harris","10.1016/j.polgeo.2017.03.006","Political ecologies of the state: Recent interventions and questions going forward","Political Geography","2017-03-27"
"Re-Theorizing Politics in Water Governance","Q13442814","Leila M. Harris","10.3390/w11071470","Re-Theorizing Politics in Water Governance","Water","2019-07-16"
"Recent waves of water governance: Constitutional reform and resistance to neoliberalization in Latin America (1990–2012)","Q13442814","Leila M. Harris","10.1016/j.geoforum.2013.07.009","Recent waves of water governance: Constitutional reform and resistance to neoliberalization in Latin America (1990–2012)","Geoforum","2013-08-15"
"Revisiting the Human Right to Water from an environmental justice lens","Q13442814","Leila M. Harris","10.1080/21565503.2015.1080619","Revisiting the Human Right to Water from an environmental justice lens","Politics, Groups, and Identities","2015-09-14"
"Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583311","Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","Water International","2019-04-15"
"Small systems, big challenges: review of small drinking water system governance","Q13442814","Leila M. Harris","10.1139/er-2018-0033","Small systems, big challenges: review of small drinking water system governance","Environmental Reviews","2018-10-09"
"Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","Q13442814","Leila M. Harris","10.1080/09669582.2018.1546711","Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","Journal of Sustainable Tourism","2019-01-14"
"Special Issue"""" Water Governance: Retheorizing Politics","Q13442814","Leila M. Harris","10.3390/books978-3-03921-561-4","Special Issue"""" Water Governance: Retheorizing Politics","MDPI","2019-11-07"
"State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Q13442814","Leila M. Harris","10.1215/1089201x-1545345","State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Comparative Studies of South Asia, Africa and the Middle East","2012-04-11"
"States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","Q13442814","Leila M. Harris","10.4000/ejts.4122","States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","European journal of Turkish studies","2020-02-15"
"The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Q13442814","Leila M. Harris","10.3390/w11050886","The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Water","2019-04-29"
"The antinomies of nature and space","Q13442814","Leila M. Harris","10.1177/2514848618777162","The antinomies of nature and space","Environment and Planning E: Nature and Space","2018-05-30"
"The cultural, economic, and health implications of water sharing","Q13442814","Leila M. Harris","10.21203/rs.2.15147/v1","The cultural, economic, and health implications of water sharing","Research Square","2019-09-20"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.4324/9780429354427-3","The rural–urban equity nexus of Metro Manila’s water system","Rural–Urban Water Struggles","2020-06-18"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.1080/02508060.2019.1560559","The rural–urban equity nexus of Metro Manila’s water system","Water International","2019-04-15"
"Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","Q13442814","Leila M. Harris","10.4324/9781315717432-18","Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","The Politics of Fresh Water","2020-12-25"
"Using subjectivity and emotion to reconsider participatory natural resource management","Q13442814","Leila M. Harris","10.1016/j.worlddev.2014.06.032","Using subjectivity and emotion to reconsider participatory natural resource management","World Development","2014-08-02"
"Variable histories and geographies of marketization and privatization (Ch 11)","Q13442814","Leila M. Harris","10.4324/9780203076361-11","Variable histories and geographies of marketization and privatization (Ch 11)","Contemporary Water Governance in the Global South","2018-11-18"
"Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364818","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Society & Natural Resources","2017-10-24"
"Water Security","Q13442814","Leila M. Harris","10.1002/9781119661023.ch2","Water Security","Regional Water Security","2021-03-19"
"Water and conflict geographies of the Southeastern Anatolia Project","Q13442814","Leila M. Harris","10.1080/08941920290069326","Water and conflict geographies of the Southeastern Anatolia Project","Society & Natural Resources","2002-09-30"
"Water is Medicine: Reimagining Water Security through Tr’ondëk Hwëch’in Relationships to Treated and Traditional Water Sources in Yukon, Canada","Q13442814","Leila M. Harris","10.3390/w11030624","Water is Medicine: Reimagining Water Security through Tr’ondëk Hwëch’in Relationships to Treated and Traditional Water Sources in Yukon, Canada","Water","2019-03-27"
"Water rich, resource poor: Intersections of gender, poverty, and vulnerability in newly irrigated areas of southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.worlddev.2008.03.004","Water rich, resource poor: Intersections of gender, poverty, and vulnerability in newly irrigated areas of southeastern Turkey","World Development","2008-07-08"
"Water sharing and the right to water: Refusal, rebellion and everyday resistance","Q13442814","Leila M. Harris","10.1016/j.polgeo.2020.102245","Water sharing and the right to water: Refusal, rebellion and everyday resistance","Political Geography","2020-06-16"
"Water, equity and resilience in Southern Africa: future directions for research and practice","Q13442814","Leila M. Harris","10.1016/j.cosust.2017.09.001","Water, equity and resilience in Southern Africa: future directions for research and practice","Current Opinion in Environmental Sustainability","2017-10-13"
"Water-security capabilities and the human right to water","Q13442814","Leila M. Harris","10.4324/9780429453571-7","Water-security capabilities and the human right to water","Water Politics","2019-09-10"
"Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization","Q13442814","Leila M. Harris","10.1080/19460171.2017.1282377","Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization","Critical Policy Studies","2017-03-10"
"Worlding the intangibility of resilience: the case of rice farmers in a water-stressed region of the Philippines","Q13442814","Leila M. Harris","10.1016/j.worlddev.2017.05.004","Worlding the intangibility of resilience: the case of rice farmers in a water-stressed region of the Philippines","World Development","2017-06-21"
"‘Hegemonic waters and rethinking natures otherwise’","Q13442814","Leila M. Harris","10.5040/9781350221970.ch-005","‘Hegemonic waters and rethinking natures otherwise’","Practising Feminist Political Ecologies","2021-01-25"
