"Len","P31","P50","P356","P1476","P577"
"Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","Q13442814","Leila M. Harris","10.1080/13621025.2011.600095","Neo (liberal) citizens of Europe: politics, scales, and visibilities of environmental citizenship in contemporary Turkey","2011-10-26T14:58:31Z"
"Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","Q13442814","Leila M. Harris","10.1057/9781137293688.0008","Neoliberalism, Nature, and Changing Modalities of Environmental Governance in Contemporary Turkey","2013-12-20T14:46:57Z"
"Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","Q13442814","Leila M. Harris","10.5751/es-06623-190336","Participation’s limits: tracing the contours of participatory water governance in Accra, Ghana","2014-09-10T12:50:44Z"
"Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364451","Pathways for Participatory Water Governance in Ashaiman, Ghana: Learning from Institutional Bricolage and Hydrosocial Perspectives","2017-10-16T15:21:08Z"
"Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","Q13442814","Leila M. Harris","10.1111/anti.12340","Political Ecologies of Global Health: Pesticide Exposure in Southwestern Ecuador's Banana Industry","2017-06-13T07:36:38Z"
"Political ecologies of the state: Recent interventions and questions going forward","Q13442814","Leila M. Harris","10.1016/j.polgeo.2017.03.006","Political ecologies of the state: Recent interventions and questions going forward","2017-03-27T17:30:25Z"
"Re-Theorizing Politics in Water Governance","Q13442814","Leila M. Harris","10.3390/w11071470","Re-Theorizing Politics in Water Governance","2019-07-16T06:23:16Z"
"Recent waves of water governance: Constitutional reform and resistance to neoliberalization in Latin America (1990–2012)","Q13442814","Leila M. Harris","10.1016/j.geoforum.2013.07.009","Recent waves of water governance: Constitutional reform and resistance to neoliberalization in Latin America (1990–2012)","2013-08-15T17:26:17Z"
"Revisiting the Human Right to Water from an environmental justice lens","Q13442814","Leila M. Harris","10.1080/21565503.2015.1080619","Revisiting the Human Right to Water from an environmental justice lens","2015-09-14T20:46:35Z"
"Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583311","Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","2019-04-15T08:31:21Z"
"Small systems, big challenges: review of small drinking water system governance","Q13442814","Leila M. Harris","10.1139/er-2018-0033","Small systems, big challenges: review of small drinking water system governance","2018-10-09T18:26:03Z"
"Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","Q13442814","Leila M. Harris","10.1080/09669582.2018.1546711","Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","2019-01-14T11:49:57Z"
"Special Issue"""" Water Governance: Retheorizing Politics","Q13442814","Leila M. Harris","10.3390/books978-3-03921-561-4","Special Issue"""" Water Governance: Retheorizing Politics","2019-11-07T09:37:56Z"
"State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","Q13442814","Leila M. Harris","10.1215/1089201x-1545345","State as socionatural effect: Variable and emergent geographies of the state in southeastern Turkey","2012-04-11T17:52:19Z"
"States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","Q13442814","Leila M. Harris","10.4000/ejts.4122","States at the limit: Tracing contemporary state-society relations in the borderlands of southeastern Turkey","2020-02-15T08:23:00Z"
"The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","Q13442814","Leila M. Harris","10.3390/w11050886","The Legal Geographies of Water Claims: Seawater Desalination in Mining Regions in Chile","2019-04-29T06:57:32Z"
"The antinomies of nature and space","Q13442814","Leila M. Harris","10.1177/2514848618777162","The antinomies of nature and space","2018-05-30T06:14:35Z"
"The cultural, economic, and health implications of water sharing","Q13442814","Leila M. Harris","10.21203/rs.2.15147/v1","The cultural, economic, and health implications of water sharing","2019-09-20T21:11:20Z"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.4324/9780429354427-3","The rural–urban equity nexus of Metro Manila’s water system","2020-06-18T11:18:57Z"
"The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.1080/02508060.2019.1560559","The rural–urban equity nexus of Metro Manila’s water system","2019-04-15T08:31:21Z"
"Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","Q13442814","Leila M. Harris","10.4324/9781315717432-18","Theorizing gender, ethnic difference, and inequality in relation to water access and politics in southeastern Turkey","2020-12-25T12:05:58Z"
"Using subjectivity and emotion to reconsider participatory natural resource management","Q13442814","Leila M. Harris","10.1016/j.worlddev.2014.06.032","Using subjectivity and emotion to reconsider participatory natural resource management","2014-08-02T10:19:31Z"
"Variable histories and geographies of marketization and privatization (Ch 11)","Q13442814","Leila M. Harris","10.4324/9780203076361-11","Variable histories and geographies of marketization and privatization (Ch 11)","2018-11-18T04:43:01Z"
"Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364818","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","2017-10-24T20:55:50Z"
"Water Security","Q13442814","Leila M. Harris","10.1002/9781119661023.ch2","Water Security","2021-03-19T21:25:44Z"
"Water and conflict geographies of the Southeastern Anatolia Project","Q13442814","Leila M. Harris","10.1080/08941920290069326","Water and conflict geographies of the Southeastern Anatolia Project","2002-09-30T13:08:06Z"
"Water is Medicine: Reimagining Water Security through Tr’ondëk Hwëch’in Relationships to Treated and Traditional Water Sources in Yukon, Canada","Q13442814","Leila M. Harris","10.3390/w11030624","Water is Medicine: Reimagining Water Security through Tr’ondëk Hwëch’in Relationships to Treated and Traditional Water Sources in Yukon, Canada","2019-03-27T09:03:12Z"
"Water rich, resource poor: Intersections of gender, poverty, and vulnerability in newly irrigated areas of southeastern Turkey","Q13442814","Leila M. Harris","10.1016/j.worlddev.2008.03.004","Water rich, resource poor: Intersections of gender, poverty, and vulnerability in newly irrigated areas of southeastern Turkey","2008-07-08T10:16:57Z"
"Water sharing and the right to water: Refusal, rebellion and everyday resistance","Q13442814","Leila M. Harris","10.1016/j.polgeo.2020.102245","Water sharing and the right to water: Refusal, rebellion and everyday resistance","2020-06-16T12:00:25Z"
"Water, equity and resilience in Southern Africa: future directions for research and practice","Q13442814","Leila M. Harris","10.1016/j.cosust.2017.09.001","Water, equity and resilience in Southern Africa: future directions for research and practice","2017-10-13T07:30:25Z"
"Water-security capabilities and the human right to water","Q13442814","Leila M. Harris","10.4324/9780429453571-7","Water-security capabilities and the human right to water","2019-09-10T16:32:31Z"
"Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization","Q13442814","Leila M. Harris","10.1080/19460171.2017.1282377","Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization","2017-03-10T15:24:36Z"
"Worlding the intangibility of resilience: the case of rice farmers in a water-stressed region of the Philippines","Q13442814","Leila M. Harris","10.1016/j.worlddev.2017.05.004","Worlding the intangibility of resilience: the case of rice farmers in a water-stressed region of the Philippines","2017-06-21T07:16:00Z"
"‘Hegemonic waters and rethinking natures otherwise’","Q13442814","Leila M. Harris","10.5040/9781350221970.ch-005","‘Hegemonic waters and rethinking natures otherwise’","2021-01-25T17:56:56Z"
