"Len","P31","P50","P356","P1476","P1433","P577"
"Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada","Q13442814","Q56794616","10.1002/esp.4859","Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada","Earth Surface Processes and Landforms","2020-03-18"
"Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary","Q13442814","Q56794616","10.2307/1352723","Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary","Estuaries","2006-04-13"
"Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference","Q13442814","Q56794616","10.1111/j.0021-8790.2004.00849.x","Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference","Journal of Animal Ecology","2004-06-16"
"Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter","Q13442814","Q56794616","10.3354/meps08094","Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter","Marine Ecology Progress Series","2009-05-14"
"Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams","Q13442814","Q56794616","10.1007/bf00014276","Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams","Hydrobiologia","2011-01-17"
"Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival","Q13442814","Q56794616","10.1139/f01-160","Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival","Canadian Journal of Fisheries and Aquatic Sciences","2011-04-24"
"Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Q13442814","Q56794616","10.1007/s10310-015-0479-0","Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Journal of Forest Research","2015-02-03"
"Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Q13442814","Q56794616","10.1016/s0006-3207(02)00357-9","Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Biological Conservation","2003-04-04"
"Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Q13442814","Q56794616","10.1139/f10-063","Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Canadian Journal of Fisheries and Aquatic Sciences","2010-07-07"
"Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Q13442814","Q56794616","10.1002/ecs2.1779","Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Ecosphere","2017-04-10"
"Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Q13442814","Q56794616","10.1139/f05-167","Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Canadian Journal of Fisheries and Aquatic Sciences","2005-11-21"
"Does water velocity influence optimal escape behaviors in stream insects?","Q13442814","Q56794616","10.1093/beheco/arp182","Does water velocity influence optimal escape behaviors in stream insects?","Behavioral Ecology","2009-12-18"
"Drivers, impacts, mechanisms and adaptation in insect invasions","Q13442814","Q56794616","10.1007/s10530-016-1088-3","Drivers, impacts, mechanisms and adaptation in insect invasions","Biological Invasions","2016-02-26"
"Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration","Q13442814","Q56794616","10.1127/fal/2020/1225","Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration","Fundamental and Applied Limnology","2020-08-01"
"Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1","Q13442814","Q56794616","10.1111/j.1752-1688.2007.00007.x","Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1","JAWRA Journal of the American Water Resources Association","2010-08-05"
"Ecological neighborhoods: scaling environmental patterns","Q13442814","Q56794616","10.2307/3565770","Ecological neighborhoods: scaling environmental patterns","Oikos","2006-11-16"
"Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles","Q13442814","Q56794616","10.1016/0016-6480(76)90051-4","Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles","General and Comparative Endocrinology","2005-02-10"
"Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams","Q13442814","Q56794616","10.1139/f02-079","Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams","Canadian Journal of Fisheries and Aquatic Sciences","2002-10-01"
"Effects of landuse intensification on stream basal resources and invertebrate communities","Q13442814","Q56794616","10.1086/693457","Effects of landuse intensification on stream basal resources and invertebrate communities","Freshwater Science","2017-06-28"
"Effects of light and nutrients on grazer-periphyton interactions","Q13442814","Q56794616","10.1080/03680770.2001.11901911","Effects of light and nutrients on grazer-periphyton interactions","SIL Proceedings, 1922-2010","2017-12-01"
"Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment","Q13442814","Q56794616","10.1577/t04-232.1","Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment","Transactions of the American Fisheries Society","2007-02-02"
"Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream","Q13442814","Q56794616","10.1899/08-092.1","Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream","Journal of the North American Benthological Society","2009-03-09"
"Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility","Q13442814","Q56794616","10.1139/z04-021","Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility","Canadian Journal of Zoology","2004-06-22"
"Effects of riparian forest harvest on streams: a meta‐analysis","Q13442814","Q56794616","10.1111/1365-2664.12332","Effects of riparian forest harvest on streams: a meta‐analysis","Journal of Applied Ecology","2014-09-01"
"Effects of seston quality on the growth of a lake-outlet filter feeder","Q13442814","Q56794616","10.2307/3544157","Effects of seston quality on the growth of a lake-outlet filter feeder","Oikos","2006-11-16"
"Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats","Q13442814","Q56794616","10.3354/meps07388","Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats","Marine Ecology Progress Series","2008-01-09"
"Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community","Q13442814","Q56794616","10.1139/f94-103","Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community","Canadian Journal of Fisheries and Aquatic Sciences","2008-06-24"
"Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers","Q13442814","Q56794616","10.1139/cjfas-2019-0435","Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers","Canadian Journal of Fisheries and Aquatic Sciences","2020-05-01"
"Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations","Q13442814","Q56794616","10.1899/11-094.1","Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations","Freshwater Science","2012-01-24"
"Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width","Q13442814","Q56794616","10.1899/0887-3593(2004)023<0542:elaacm>2.0.co;2","Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width","Journal of the North American Benthological Society","2005-04-08"
"Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad","Q13442814","Q56794616","10.1007/s00027-010-0151-x","Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad","Aquatic Sciences","2010-06-17"
"Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn","Q13442814","Q56794616","10.1016/j.tree.2018.06.005","Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn","Trends in Ecology & Evolution","2018-07-20"
"Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape","Q13442814","Q56794616","10.1007/s10750-010-0331-7","Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape","Hydrobiologia","2010-06-25"
"Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests","Q13442814","Q56794616","10.1002/ecs2.2478","Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests","Ecosphere","2018-10-22"
"Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation","Q13442814","Q56794616","10.1007/s00027-011-0245-0","Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation","Aquatic Sciences","2011-12-27"
"Fish communities of the lower Fraser River (Canada) and a 21-year contrast","Q13442814","Q56794616","10.1023/a:1007681332484","Fish communities of the lower Fraser River (Canada) and a 21-year contrast","Environmental Biology of Fishes","2002-12-22"
"Flow refugia for benthic macroinvertebrates during flooding of a large river","Q13442814","Q56794616","10.2307/1468007","Flow refugia for benthic macroinvertebrates during flooding of a large river","Journal of the North American Benthological Society","2006-05-08"
"Flow‐substrate interactions create and mediate leaf litter resource patches in streams","Q13442814","Q56794616","10.1111/j.1365-2427.2005.01499.x","Flow‐substrate interactions create and mediate leaf litter resource patches in streams","Freshwater Biology","2006-02-10"
"Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1127/archiv-hydrobiol/149/2000/109","Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada","Fundamental and Applied Limnology","2016-06-17"
"Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream","Q13442814","Q56794616","10.1111/j.1365-2427.1992.tb00531.x","Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream","Freshwater Biology","2006-05-30"
"Forest management impacts on greenhouse gas fluxes from riparian soils along headwater streams","Q13442814","Q56794616","10.1007/s10021-021-00621-z","Forest management impacts on greenhouse gas fluxes from riparian soils along headwater streams","Ecosystems","2021-03-26"
"Getting quantitative about consequences of cross-ecosystem resource subsidies on recipient consumers","Q13442814","Q56794616","10.1139/cjfas-2016-0242","Getting quantitative about consequences of cross-ecosystem resource subsidies on recipient consumers","Canadian Journal of Fisheries and Aquatic Sciences","2016-08-09"
"Growth and development rates in a riparian spider are altered by asynchrony between the timing and amount of a resource subsidy","Q13442814","Q56794616","10.1007/s00442-008-0989-y","Growth and development rates in a riparian spider are altered by asynchrony between the timing and amount of a resource subsidy","Oecologia","2008-02-19"
"Habitat-specific production of aquatic and terrestrial invertebrate drift in small forest streams: implications for drift-feeding fish","Q13442814","Q56794616","10.1139/cjfas-2016-0406","Habitat-specific production of aquatic and terrestrial invertebrate drift in small forest streams: implications for drift-feeding fish","Canadian Journal of Fisheries and Aquatic Sciences","2017-01-10"
"How did fixed-width buffers become standard practice for protecting freshwaters and their riparian areas from forest harvest practices?","Q13442814","Q56794616","10.1899/11-031.1","How did fixed-width buffers become standard practice for protecting freshwaters and their riparian areas from forest harvest practices?","Freshwater Science","2012-01-24"
"Hydrological drought and the role of refugia in an endangered riffle-dwelling fish, Nooksack dace (Rhinichthys cataractae ssp.)","Q13442814","Q56794616","10.1139/cjfas-2013-0585","Hydrological drought and the role of refugia in an endangered riffle-dwelling fish, Nooksack dace (Rhinichthys cataractae ssp.)","Canadian Journal of Fisheries and Aquatic Sciences","2014-06-27"
"Impact of sediment and nutrient inputs on growth and survival of tadpoles of the Western Toad","Q13442814","Q56794616","10.1111/j.1365-2427.2008.02139.x","Impact of sediment and nutrient inputs on growth and survival of tadpoles of the Western Toad","Freshwater Biology","2008-11-06"
"Impacts of marine-derived nutrients on stream ecosystem","Q13442814","Q56794616","10.1098/rspb.2003.2478","Impacts of marine-derived nutrients on stream ecosystem","Proceedings of the Royal Society of London. Series B: Biological Sciences","2003-10-07"
"Implications of seasonal variation for biomonitoring with predictive models in the Fraser River catchment, British Columbia","Q13442814","Q56794616","10.1139/f01-076","Implications of seasonal variation for biomonitoring with predictive models in the Fraser River catchment, British Columbia","Canadian Journal of Fisheries and Aquatic Sciences","2011-04-24"
"Importance of riparian zone: effects of resource availability at land-water interface","Q13442814","Q56794616","10.1515/remc-2016-0001","Importance of riparian zone: effects of resource availability at land-water interface","Riparian Ecology and Conservation","2016-04-25"
"Importance of scale, land‐use, and stream network properties for riparian plant communities along an urban gradient","Q13442814","Q56794616","10.1111/fwb.13244","Importance of scale, land‐use, and stream network properties for riparian plant communities along an urban gradient","Freshwater Biology","2019-01-04"
"Indirect effects of detritus manipulations in a montane stream","Q13442814","Q56794616","10.1139/f91-093","Indirect effects of detritus manipulations in a montane stream","Canadian Journal of Fisheries and Aquatic Sciences","2008-05-06"
"Influence of moisture, nutrients, and distance from stream on early-stage mass loss of western red cedar leaf litter in headwater riparian forests","Q13442814","Q56794616","10.1139/cjfr-2020-0176","Influence of moisture, nutrients, and distance from stream on early-stage mass loss of western red cedar leaf litter in headwater riparian forests","Canadian Journal of Forest Research","2020-06-22"
"Interactions among Nutrients, Periphyton, and Invertebrate and Vertebrate (Ascaphus truei) Grazers in Experimental Channels","Q13442814","Q56794616","10.1643/0045-8511(2001)001[0422:ianpai]2.0.co;2","Interactions among Nutrients, Periphyton, and Invertebrate and Vertebrate (Ascaphus truei) Grazers in Experimental Channels","Copeia","2006-07-18"
"Interactive field site visits can help students translate scientific studies into contextual understanding","Q13442814","Q56794616","10.1080/03632415.2012.696016","Interactive field site visits can help students translate scientific studies into contextual understanding","Fisheries","2012-07-13"
"Introduction and a theoretical basis for using disturbance by forest management activities to sustain aquatic ecosystems","Q13442814","Q56794616","10.1899/11-114.1","Introduction and a theoretical basis for using disturbance by forest management activities to sustain aquatic ecosystems","Freshwater Science","2012-01-24"
"Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition","Q13442814","Q56794616","10.1111/j.1365-2427.2012.02740.x","Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition","Freshwater Biology","2012-02-10"
"Lake outlets and the distribution of filter feeders: an assessment of hypotheses","Q13442814","Q56794616","10.2307/3545503","Lake outlets and the distribution of filter feeders: an assessment of hypotheses","Oikos","2006-11-16"
"Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream","Q13442814","Q56794616","10.1139/f2012-090","Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream","Canadian Journal of Fisheries and Aquatic Sciences","2012-10-12"
"Leaf-litter leachate and light interactively enhance accrual of stream biofilms","Q13442814","Q56794616","10.1127/1863-9135/2014/0602","Leaf-litter leachate and light interactively enhance accrual of stream biofilms","Fundamental and Applied Limnology","2014-07-22"
"Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia","Q13442814","Q56794616","10.22621/cfn.v120i3.327","Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia","The Canadian Field-Naturalist","2017-01-12"
"Limits to Productivity in Streams","Q13442814","Q56794616","10.1007/978-1-4613-3775-1_3","Limits to Productivity in Streams","Stream Ecology","2012-02-18"
"Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0159-0309","Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream","Archiv für Hydrobiologie","2004-03-15"
"Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition","Q13442814","Q56794616","10.1016/j.foreco.2010.03.022","Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition","Forest Ecology and Management","2010-04-19"
"Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river","Q13442814","Q56794616","10.1046/j.1365-2427.2000.00617.x","Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river","Freshwater Biology","2003-03-11"
"Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests","Q13442814","Q56794616","10.1002/hyp.11281","Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests","Hydrological Processes","2017-07-20"
"Measuring function and structure of urban headwater streams with citizen scientists","Q13442814","Q56794616","10.1002/ecs2.2720","Measuring function and structure of urban headwater streams with citizen scientists","Ecosphere","2019-04-22"
"Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies","Q13442814","Q56794616","10.1890/0012-9658(2007)88[140:mtlhap]2.0.co;2","Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies","Ecology","2007-06-04"
"Microbial utilization of dissolved organic carbon leached from riparian litterfall","Q13442814","Q56794616","10.1139/f02-135","Microbial utilization of dissolved organic carbon leached from riparian litterfall","Canadian Journal of Fisheries and Aquatic Sciences","2002-11-04"
"Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Q13442814","Q56794616","10.1093/beheco/ars171","Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Behavioral Ecology","2012-11-02"
"Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Q13442814","Q56794616","10.1016/j.limno.2019.125714","Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Limnologica","2019-09-16"
"Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Q13442814","Q56794616","10.1016/j.ecolmodel.2004.08.022","Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Ecological Modelling","2004-12-15"
"Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Q13442814","Q56794616","10.1007/s00027-017-0543-2","Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Aquatic Sciences","2017-05-13"
"Movement behaviour of adult western toads in a fragmented, forest landscape","Q13442814","Q56794616","10.1139/z09-109","Movement behaviour of adult western toads in a fragmented, forest landscape","Canadian Journal of Zoology","2009-12-21"
"Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Q13442814","Q56794616","10.1139/x05-042","Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Canadian Journal of Forest Research","2005-06-20"
"Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Q13442814","Q56794616","10.1899/11-030.1","Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Freshwater Science","2012-01-24"
