"Len","P31","P50","P356","P1476","P1433","P577"
"CFD simulation of UV photocatalytic reactors for air treatment","Q13442814","Madjid Mohseni","10.1002/aic.10538","CFD simulation of UV photocatalytic reactors for air treatment","AIChE Journal","2005-08-03"
"Characteristics of competitive uptake between Microcystin-LR and natural organic matter (NOM) fractions using strongly basic anion exchange resins","Q13442814","Madjid Mohseni","10.1016/j.watres.2018.03.074","Characteristics of competitive uptake between Microcystin-LR and natural organic matter (NOM) fractions using strongly basic anion exchange resins","Water Research","2018-03-29"
"Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation","Q13442814","Madjid Mohseni","10.1080/01919510802169272","Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation","Ozone: Science & Engineering","2008-10-01"
"Chlorination of drinking water–Scientific evidence and policy implications","Q13442814","Madjid Mohseni","10.1007/978-3-319-42806-2_19","Chlorination of drinking water–Scientific evidence and policy implications","Global Issues in Water Policy","2016-10-31"
"Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000804","Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources","Journal of Environmental Engineering","2013-12-27"
"Composite template-free TiO2 photocatalyst: synthesis, characteristics and photocatalytic activity","Q13442814","Madjid Mohseni","10.1016/j.apcatb.2011.02.021","Composite template-free TiO2 photocatalyst: synthesis, characteristics and photocatalytic activity","Applied Catalysis B: Environmental","2011-02-24"
"Computational fluid dynamics (CFD) modeling of VUV/UV photoreactors for water treatment","Q13442814","Madjid Mohseni","10.1016/j.cej.2014.06.068","Computational fluid dynamics (CFD) modeling of VUV/UV photoreactors for water treatment","Chemical Engineering Journal","2014-07-02"
"Computational fluid dynamics modeling of immobilized photocatalytic reactors for water treatment","Q13442814","Madjid Mohseni","10.1002/aic.12399","Computational fluid dynamics modeling of immobilized photocatalytic reactors for water treatment","AIChE Journal","2010-08-17"
"Computational modeling of UV photocatalytic reactors: model development, evaluation, and application","Q13442814","Madjid Mohseni","10.2166/wqrjc.2014.031","Computational modeling of UV photocatalytic reactors: model development, evaluation, and application","Water Quality Research Journal","2015-01-29"
"Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2017-0583","Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments","Canadian Journal of Chemistry","2017-09-23"
"Coupled electrocoagulation and oxidative media filtration for the removal of manganese and arsenic from a raw ground water supply","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2021.101983","Coupled electrocoagulation and oxidative media filtration for the removal of manganese and arsenic from a raw ground water supply","Journal of Water Process Engineering","2021-02-24"
"Coupling ultraviolet photolysis and biofiltration for enhanced degradation of aromatic air pollutants","Q13442814","Madjid Mohseni","10.1002/jctb.1371","Coupling ultraviolet photolysis and biofiltration for enhanced degradation of aromatic air pollutants","Journal of Chemical Technology & Biotechnology","2005-08-16"
"DISCUSSION. AN INVESTIGATION INTO THE MANUFACTURE OF HIGH-STRENGTH CONCRETE IN A TROPICAL CLIMATE.","Q13442814","Madjid Mohseni","10.1680/iicep.1960.11906","DISCUSSION. AN INVESTIGATION INTO THE MANUFACTURE OF HIGH-STRENGTH CONCRETE IN A TROPICAL CLIMATE.","Proceedings of the Institution of Civil Engineers","2007-07-03"
"Degradation of cyanotoxin microcystin-LR in synthetic and natural waters by chemical-free UV/VUV radiation","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2019.120921","Degradation of cyanotoxin microcystin-LR in synthetic and natural waters by chemical-free UV/VUV radiation","Journal of Hazardous Materials","2019-07-24"
"Degradation of ferrate species produced electrochemically for use in drinking water treatment applications","Q13442814","Madjid Mohseni","10.1002/cjce.23073","Degradation of ferrate species produced electrochemically for use in drinking water treatment applications","The Canadian Journal of Chemical Engineering","2017-11-14"
"Degradation of natural organic matter in surface water using vacuum-UV irradiation","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2010.10.118","Degradation of natural organic matter in surface water using vacuum-UV irradiation","Journal of Hazardous Materials","2010-11-10"
"Development of a method for the characterization and operation of UV-LED for water treatment","Q13442814","Madjid Mohseni","10.1016/j.watres.2017.06.015","Development of a method for the characterization and operation of UV-LED for water treatment","Water Research","2017-06-06"
"Development of novel TiO2 sol–gel-derived composite and its photocatalytic activities for trichloroethylene oxidation","Q13442814","Madjid Mohseni","10.1016/j.apcatb.2004.05.016","Development of novel TiO2 sol–gel-derived composite and its photocatalytic activities for trichloroethylene oxidation","Applied Catalysis B: Environmental","2004-08-05"
"Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Q13442814","Madjid Mohseni","10.1007/s12403-019-00338-4","Drinking Water Treatments for Arsenic and Manganese Removal and Health Risk Assessment in White Rock, Canada","Exposure and Health","2019-12-20"
"Dynamic Pressure Measurements in a Circulating Fluidized Bed","Q13442814","Madjid Mohseni","10.33915/etd.2749","Dynamic Pressure Measurements in a Circulating Fluidized Bed","West Virginia University Libraries","2019-08-06"
"Effect of vacuum UV irradiation on the concentration of dissolved cyanobacterial toxin microcystin-LR","Q13442814","Madjid Mohseni","10.2166/ws.2017.214","Effect of vacuum UV irradiation on the concentration of dissolved cyanobacterial toxin microcystin-LR","Water Supply","2017-10-28"
"Effects of UV/H2O2 advanced oxidation on chemical characteristics and chlorine reactivity of surface water natural organic matter","Q13442814","Madjid Mohseni","10.1016/j.watres.2010.05.025","Effects of UV/H2O2 advanced oxidation on chemical characteristics and chlorine reactivity of surface water natural organic matter","Water Research","2010-06-02"
"Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation","Q13442814","Madjid Mohseni","10.1080/10934529.2017.1282770","Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation","Journal of Environmental Science and Health, Part A","2017-02-21"
"Efficient removal of GenX (HFPO-DA) and other perfluorinated ether acids from drinking and recycled waters using anion exchange resins","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2019.121261","Efficient removal of GenX (HFPO-DA) and other perfluorinated ether acids from drinking and recycled waters using anion exchange resins","Journal of Hazardous Materials","2019-09-24"
"Electrochemical Ferrates for Drinking Water Treatment: Quantification, Synthesis and Degradation Studies","Q13442814","Madjid Mohseni","10.1149/ma2017-02/54/2283","Electrochemical Ferrates for Drinking Water Treatment: Quantification, Synthesis and Degradation Studies","ECS Meeting Abstracts","2020-02-27"
"Electrosynthesis of Near-Neutral Ferrate Species for Drinking Water Treatment Using a Recirculating Batch Reactor","Q13442814","Madjid Mohseni","10.1149/ma2018-01/20/1300","Electrosynthesis of Near-Neutral Ferrate Species for Drinking Water Treatment Using a Recirculating Batch Reactor","ECS Meeting Abstracts","2020-02-27"
"Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications","Q13442814","Madjid Mohseni","10.1002/cjce.23142","Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications","The Canadian Journal of Chemical Engineering","2018-01-17"
"Energy recovery from ethanol in wastewater in a microbial fuel cell","Q13442814","Madjid Mohseni","10.1149/ma2010-02/4/276","Energy recovery from ethanol in wastewater in a microbial fuel cell","ECS Meeting Abstracts","2020-02-26"
"Enhancement of UV/H2O2 Efficacy Using Strong Base Anion Exchange Resins","Q13442814","Madjid Mohseni","10.5942/jawwa.2016.108.0050","Enhancement of UV/H2O2 Efficacy Using Strong Base Anion Exchange Resins","Journal - American Water Works Association","2015-12-04"
"Erratum: Improved performance of a passive air breathing flat‐plate microbial fuel cell","Q13442814","Madjid Mohseni","10.1002/cjce.22190","Erratum: Improved performance of a passive air breathing flat‐plate microbial fuel cell","The Canadian Journal of Chemical Engineering","2015-03-24"
"Evaluation and comparison of conventional and advanced oxidation processes for the removal of PPCPs and EDCs and their effect on THM-formation potentials","Q13442814","Madjid Mohseni","10.1080/01919512.2014.940028","Evaluation and comparison of conventional and advanced oxidation processes for the removal of PPCPs and EDCs and their effect on THM-formation potentials","Ozone: Science & Engineering","2014-07-28"
"Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001111","Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal","Journal of Environmental Engineering","2016-04-04"
"Evaluation of model parameters for simulating TiO2 coated UV reactors","Q13442814","Madjid Mohseni","10.2166/wst.2011.191","Evaluation of model parameters for simulating TiO2 coated UV reactors","Water Science and Technology","2011-04-28"
"Evaluations of conventional, ozone and UV/H2O2 for removal of emerging contaminants and THM-FPs","Q13442814","Madjid Mohseni","10.2166/wqrjc.2014.018","Evaluations of conventional, ozone and UV/H2O2 for removal of emerging contaminants and THM-FPs","Water Quality Research Journal","2015-12-15"
"Experimental and CFD analysis of photocatalytic gas phase vinyl chloride (VC) oxidation","Q13442814","Madjid Mohseni","10.1016/j.ces.2004.01.017","Experimental and CFD analysis of photocatalytic gas phase vinyl chloride (VC) oxidation","Chemical Engineering Science","2004-04-03"
"Experimental local heat transfer in a circulating fluidized bed","Q13442814","Madjid Mohseni","10.1016/b978-0-08-036225-0.50029-0","Experimental local heat transfer in a circulating fluidized bed","Circulating Fluidized Bed Technology","2013-11-19"
"Flat-plate microbial fuel cell operation using different ion-exchange and size-selective separators","Q13442814","Madjid Mohseni","10.1149/ma2013-01/13/642","Flat-plate microbial fuel cell operation using different ion-exchange and size-selective separators","ECS Meeting Abstracts","2020-02-27"
"Gas phase trichloroethylene (TCE) photooxidation and byproduct formation: photolysis vs. titania/silica based photocatalysis","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2004.10.054","Gas phase trichloroethylene (TCE) photooxidation and byproduct formation: photolysis vs. titania/silica based photocatalysis","Chemosphere","2004-12-09"
"Gas phase vinyl chloride (VC) oxidation using TiO2-based photocatalysis","Q13442814","Madjid Mohseni","10.1016/s0926-3373(03)00223-6","Gas phase vinyl chloride (VC) oxidation using TiO2-based photocatalysis","Applied Catalysis B: Environmental","2003-08-07"
"General potential-current model and validation for electrocoagulation","Q13442814","Madjid Mohseni","10.1016/j.electacta.2014.02.089","General potential-current model and validation for electrocoagulation","Electrochimica Acta","2014-03-04"
"Heavy metals risk assessment in drinking water: an integrated probabilistic-fuzzy approach","Q13442814","Madjid Mohseni","10.1016/j.jenvman.2019.109514","Heavy metals risk assessment in drinking water: an integrated probabilistic-fuzzy approach","Journal of Environmental Management","2019-09-12"
"Human health risk-based life cycle assessment of drinking water treatment for heavy metal (loids) removal","Q13442814","Madjid Mohseni","10.1016/j.jclepro.2020.121980","Human health risk-based life cycle assessment of drinking water treatment for heavy metal (loids) removal","Journal of Cleaner Production","2020-05-11"
"Impact of UV/H2O2 advanced oxidation treatment on molecular weight distribution of NOM and biostability of water","Q13442814","Madjid Mohseni","10.1016/j.watres.2012.07.017","Impact of UV/H2O2 advanced oxidation treatment on molecular weight distribution of NOM and biostability of water","Water Research","2012-07-25"
"Impact of anionic ion exchange resins on NOM fractions: effect on N-DBPs and C-DBPs precursors","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2015.10.086","Impact of anionic ion exchange resins on NOM fractions: effect on N-DBPs and C-DBPs precursors","Chemosphere","2015-11-11"
"Impact of hydrodynamics on pollutant degradation and energy efficiency of VUV/UV and H2O2/UV oxidation processes","Q13442814","Madjid Mohseni","10.1016/j.jenvman.2015.08.024","Impact of hydrodynamics on pollutant degradation and energy efficiency of VUV/UV and H2O2/UV oxidation processes","Journal of Environmental Management","2015-09-09"
"Impact of natural organic matter characteristics and inorganic anions on the performance of ion exchange resins in natural waters","Q13442814","Madjid Mohseni","10.2166/ws.2020.197","Impact of natural organic matter characteristics and inorganic anions on the performance of ion exchange resins in natural waters","Water Supply","2020-08-21"
"Impact of natural organic matter on the degradation of 2, 4-dichlorophenoxy acetic acid in a fluidized bed photocatalytic reactor","Q13442814","Madjid Mohseni","10.1016/j.cej.2016.05.086","Impact of natural organic matter on the degradation of 2, 4-dichlorophenoxy acetic acid in a fluidized bed photocatalytic reactor","Chemical Engineering Journal","2016-05-24"
"Impact of natural organic matter properties on the kinetics of suspended ion exchange process","Q13442814","Madjid Mohseni","10.1016/j.watres.2015.12.036","Impact of natural organic matter properties on the kinetics of suspended ion exchange process","Water Research","2015-12-29"
"Impact of organic and inorganic carbon on the formation of nitrite during the VUV photolysis of nitrate containing water","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.115169","Impact of organic and inorganic carbon on the formation of nitrite during the VUV photolysis of nitrate containing water","Water Research","2019-10-10"
"Impact of pH on the kinetics of photocatalytic oxidation of 2, 4-dichlorophenoxy acetic acid in a fluidized bed photocatalytic reactor","Q13442814","Madjid Mohseni","10.1016/j.apcatb.2016.12.038","Impact of pH on the kinetics of photocatalytic oxidation of 2, 4-dichlorophenoxy acetic acid in a fluidized bed photocatalytic reactor","Applied Catalysis B: Environmental","2016-12-15"
"Impact of vacuum UV on natural and algal organic matter from cyanobacterial impacted waters","Q13442814","Madjid Mohseni","10.1039/c9ew01068h","Impact of vacuum UV on natural and algal organic matter from cyanobacterial impacted waters","Environmental Science: Water Research & Technology","2020-01-22"
"Impacts of hydraulic fracturing on water quality: a review of literature, regulatory frameworks and an analysis of information gaps","Q13442814","Madjid Mohseni","10.1139/er-2015-0043","Impacts of hydraulic fracturing on water quality: a review of literature, regulatory frameworks and an analysis of information gaps","Environmental Reviews","2015-11-12"
"Improved performance of a passive air breathing flat-plate microbial fuel cell","Q13442814","Madjid Mohseni","10.1002/cjce.22147","Improved performance of a passive air breathing flat-plate microbial fuel cell","The Canadian Journal of Chemical Engineering","2014-12-05"
"In-situ determination of current density distribution and fluid modeling of an electrocoagulation process and its effects on natural organic matter removal for drinking water …","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.115404","In-situ determination of current density distribution and fluid modeling of an electrocoagulation process and its effects on natural organic matter removal for drinking water …","Water Research","2019-12-20"
"In-situ electrochemical Fe(VI) for removal of microcystin-LR from drinking water: comparing dosing of the ferrate ion by electrochemical and chemical means","Q13442814","Madjid Mohseni","10.2166/wh.2018.187","In-situ electrochemical Fe(VI) for removal of microcystin-LR from drinking water: comparing dosing of the ferrate ion by electrochemical and chemical means","Journal of Water and Health","2018-02-20"
"In-situ identification of iron electrocoagulation speciation and application for natural organic matter (NOM) removal","Q13442814","Madjid Mohseni","10.1016/j.watres.2013.06.021","In-situ identification of iron electrocoagulation speciation and application for natural organic matter (NOM) removal","Water Research","2013-06-20"
"Influence of chloride on the 185 nm advanced oxidation process","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2018.01.138","Influence of chloride on the 185 nm advanced oxidation process","Chemosphere","2018-02-03"
"Integrated ozone and biotreatment of pulp mill effluent and changes in biodegradability and molecular weight distribution of organic compounds","Q13442814","Madjid Mohseni","10.1016/j.watres.2005.07.018","Integrated ozone and biotreatment of pulp mill effluent and changes in biodegradability and molecular weight distribution of organic compounds","Water Research","2005-09-03"
"Inuence of major anions on the 185 nm advanced oxidation process-Sulphate, bicarbonate, and chloride","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2018.02.160","Inuence of major anions on the 185 nm advanced oxidation process-Sulphate, bicarbonate, and chloride","Chemosphere","2018-03-01"
"Investigating separators to improve performance of flat-plate microbial fuel cells","Q13442814","Madjid Mohseni","10.1149/ma2012-02/52/3593","Investigating separators to improve performance of flat-plate microbial fuel cells","ECS Meeting Abstracts","2020-02-27"
"Ion exchange and vacuum UV: A combined approach for removing organic matter and microcystins from natural waters","Q13442814","Madjid Mohseni","10.1016/j.cej.2021.128855","Ion exchange and vacuum UV: A combined approach for removing organic matter and microcystins from natural waters","Chemical Engineering Journal","2021-02-10"
"Irradiance modeling in annular photoreactors using the finite-volume method","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2010.07.027","Irradiance modeling in annular photoreactors using the finite-volume method","Journal of Photochemistry and Photobiology A: Chemistry","2010-08-03"
"Kinetic study and modeling of the vacuum-UV photoinduced degradation of 2, 4-D","Q13442814","Madjid Mohseni","10.1016/j.cej.2012.01.107","Kinetic study and modeling of the vacuum-UV photoinduced degradation of 2, 4-D","Chemical Engineering Journal","2012-01-31"
"Long-Term Evaluation of Modified Activated Carbon Electrodes for Capacitive Deionization","Q13442814","Madjid Mohseni","10.1149/ma2018-01/20/1290","Long-Term Evaluation of Modified Activated Carbon Electrodes for Capacitive Deionization","ECS Meeting Abstracts","2020-02-27"
"Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Q13442814","Madjid Mohseni","10.1016/j.watres.2018.07.057","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Water Research","2018-07-25"
"Mechanisms investigation on bacterial inactivation through combinations of UV wavelengths","Q13442814","Madjid Mohseni","10.1016/j.watres.2019.114875","Mechanisms investigation on bacterial inactivation through combinations of UV wavelengths","Water Research","2019-07-16"
"Membranes based on electrospun lignin-zeolite composite nanofibers","Q13442814","Madjid Mohseni","10.1016/j.seppur.2017.06.015","Membranes based on electrospun lignin-zeolite composite nanofibers","Separation and Purification Technology","2017-06-16"
"Metal type and natural organic matter source for direct filtration electrocoagulation of drinking water","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2012.11.027","Metal type and natural organic matter source for direct filtration electrocoagulation of drinking water","Journal of Hazardous Materials","2012-11-20"
"Microcystin-LR removal by ion exchange: Investigating multicomponent interactions in natural waters","Q13442814","Madjid Mohseni","10.1016/j.envpol.2019.07.062","Microcystin-LR removal by ion exchange: Investigating multicomponent interactions in natural waters","Environmental Pollution","2019-07-12"
"Microorganisms inactivation by continuous and pulsed irradiation of ultraviolet light-emitting diodes (UV-LEDs)","Q13442814","Madjid Mohseni","10.1016/j.cej.2018.03.020","Microorganisms inactivation by continuous and pulsed irradiation of ultraviolet light-emitting diodes (UV-LEDs)","Chemical Engineering Journal","2018-03-05"
"Microorganisms inactivation by wavelength combinations of ultraviolet light-emitting diodes (UV-LEDs)","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2019.02.041","Microorganisms inactivation by wavelength combinations of ultraviolet light-emitting diodes (UV-LEDs)","Science of The Total Environment","2019-02-10"
"Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001269","Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process","Journal of Environmental Engineering","2017-07-19"
"Modeling and experimental evaluation of vacuum-UV photoreactors for water treatment","Q13442814","Madjid Mohseni","10.1016/j.ces.2010.12.020","Modeling and experimental evaluation of vacuum-UV photoreactors for water treatment","Chemical Engineering Science","2010-12-22"
"Modeling of annular reactors with surface reaction using computational fluid dynamics (CFD)","Q13442814","Madjid Mohseni","10.1016/j.ces.2009.09.075","Modeling of annular reactors with surface reaction using computational fluid dynamics (CFD)","Chemical Engineering Science","2009-10-09"
"Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000390","Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation","Journal of Environmental Engineering","2011-03-10"
"Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Q13442814","Madjid Mohseni","10.1111/php.12157","Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Photochemistry and Photobiology","2013-08-19"
"Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Q13442814","Madjid Mohseni","10.1089/ees.2006.0264","Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Environmental Engineering Science","2008-02-26"
"Novel composite photocatalyst made of TiO2 nanoparticles","Q13442814","Madjid Mohseni","10.2166/wst.2010.790","Novel composite photocatalyst made of TiO2 nanoparticles","Water Science and Technology","2010-02-25"
"Oxidation of gas phase trichloroethylene and toluene using composite sol–gel TiO2 photocatalytic coatings","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2005.07.060","Oxidation of gas phase trichloroethylene and toluene using composite sol–gel TiO2 photocatalytic coatings","Journal of Hazardous Materials","2005-09-09"
"Ozone Application for Arsenic and Manganese Treatment at the City of White Rock, BC, Canada","Q13442814","Madjid Mohseni","10.1080/01919512.2019.1608811","Ozone Application for Arsenic and Manganese Treatment at the City of White Rock, BC, Canada","Ozone: Science & Engineering","2019-05-21"
"Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter","Q13442814","Madjid Mohseni","10.1080/01919510701817914","Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter","Ozone: Science & Engineering","2008-03-04"
"PFAS and DOM removal using an organic scavenger and PFAS-specific resin: Trade-off between regeneration and faster kinetics","Q13442814","Madjid Mohseni","10.1016/j.scitotenv.2020.142107","PFAS and DOM removal using an organic scavenger and PFAS-specific resin: Trade-off between regeneration and faster kinetics","Science of The Total Environment","2020-09-01"
"PFAS removal by ion exchange resins: A review","Q13442814","Madjid Mohseni","10.1016/j.chemosphere.2021.129777","PFAS removal by ion exchange resins: A review","Chemosphere","2021-02-04"
"PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics","Q13442814","Madjid Mohseni","10.1039/c9ew00409b","PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics","Environmental Science: Water Research & Technology","2019-09-02"
"Parameter estimation and characterization of a single-chamber microbial fuel cell for dairy wastewater treatment","Q13442814","Madjid Mohseni","10.1016/j.biortech.2013.07.054","Parameter estimation and characterization of a single-chamber microbial fuel cell for dairy wastewater treatment","Bioresource Technology","2013-07-20"
"Passive air breathing flat-plate microbial fuel cell operation","Q13442814","Madjid Mohseni","10.1002/jctb.4325","Passive air breathing flat-plate microbial fuel cell operation","Journal of Chemical Technology & Biotechnology","2014-01-11"
"Performance evaluation of a thermophilic biofilter for the removal of MTBE from waste air stream: Effects of inlet concentration and EBRT","Q13442814","Madjid Mohseni","10.1016/j.bej.2009.03.008","Performance evaluation of a thermophilic biofilter for the removal of MTBE from waste air stream: Effects of inlet concentration and EBRT","Biochemical Engineering Journal","2009-03-26"
"Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters","Q13442814","Madjid Mohseni","10.1039/c9ew00538b","Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters","Environmental Science: Water Research & Technology","2019-09-09"
"Photocatalytic degradation of 2, 4-dichlorophenoxyacetic acid in a fluidized bed photoreactor with composite template-free TiO2 photocatalyst","Q13442814","Madjid Mohseni","10.1016/j.apcata.2011.07.033","Photocatalytic degradation of 2, 4-dichlorophenoxyacetic acid in a fluidized bed photoreactor with composite template-free TiO2 photocatalyst","Applied Catalysis A: General","2011-08-06"
"Pilot-scale UV/H2O2 advanced oxidation process for surface water treatment and downstream biological treatment: effects on natural organic matter characteristics and DBP …","Q13442814","Madjid Mohseni","10.1080/09593330.2011.553843","Pilot-scale UV/H2O2 advanced oxidation process for surface water treatment and downstream biological treatment: effects on natural organic matter characteristics and DBP …","Environmental Technology","2011-02-13"
