"Len","P31","P50","P356","P1476","P1433","P577"
"Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations","Q13442814","Pierre Bérubé","10.1139/s05-001","Book Review: Safe Drinking Water: Lessons from Recent Outbreaks in Affluent Nations","Journal of Environmental Engineering and Science","2005-05-24"
"Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation","Q13442814","Pierre Bérubé","10.1080/01919510802169272","Characteristics of natural organic matter and formation of chlorinated disinfection by-products from two source waters that respond differently to ozonation","Ozone: Science & Engineering","2008-10-01"
"Characterization and modelling of soluble microbial products in activated sludge systems treating municipal wastewater with special emphasis on temperature effect","Q13442814","Pierre Bérubé","10.1016/j.scitotenv.2021.146471","Characterization and modelling of soluble microbial products in activated sludge systems treating municipal wastewater with special emphasis on temperature effect","Science of The Total Environment","2021-03-18"
"Characterization of Shear Forces Inside Gas-Sparged Hollow Fiber Membrane Modules","Q13442814","Pierre Bérubé","10.1016/j.memsci.2007.03.032","Characterization of Shear Forces Inside Gas-Sparged Hollow Fiber Membrane Modules","Journal of Membrane Science","2007-03-21"
"Characterization of anionic surfactant-induced toxicity in a primary effluent","Q13442814","Pierre Bérubé","10.1139/s07-036","Characterization of anionic surfactant-induced toxicity in a primary effluent","Journal of Environmental Engineering and Science","2008-04-03"
"Characterization of fouling of tertiary membranes","Q13442814","Pierre Bérubé","10.2175/193864718825138132","Characterization of fouling of tertiary membranes","Proceedings of the Water Environment Federation","2018-12-12"
"Characterization of performance of full-scale tertiary membranes under stressed operating conditions","Q13442814","Pierre Bérubé","10.2166/wst.2020.140","Characterization of performance of full-scale tertiary membranes under stressed operating conditions","Water Science and Technology","2020-04-02"
"Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential","Q13442814","Pierre Bérubé","10.2166/ws.2015.157","Coagulation optimization for DOC removal: pilot-scale analysis of UF fouling and disinfection byproduct formation potential","Water Supply","2016-04-09"
"Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review","Q13442814","Pierre Bérubé","10.1039/d0ew00461h","Coagulation/flocculation prior to low pressure membranes in drinking water treatment: a review","Environmental Science: Water Research & Technology","2020-09-08"
"Committee report: recent advances and research needs in membrane fouling","Q13442814","Pierre Bérubé","10.1002/j.1551-8833.2005.tb07452.x","Committee report: recent advances and research needs in membrane fouling","Journal - American Water Works Association","2018-02-23"
"Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2020.117336","Contribution of biofilm layer to virus removal in gravity-driven membrane systems with passive fouling control","Separation and Purification Technology","2020-07-08"
"Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes","Q13442814","Pierre Bérubé","10.33915/etd.2325","Development of a membrane resistance based modeling framework for comparison of ultrafiltration processes","West Virginia University Libraries","2019-10-02"
"Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules","Q13442814","Pierre Bérubé","10.1016/j.desal.2011.07.050","Distribution of surface shear forces and bubble characteristics in full-scale gas sparged submerged hollow fiber membrane modules","Desalination","2011-08-18"
"Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.desal.2014.11.014","Distribution of surface shear stress for a densely packed submerged hollow fiber membrane system","Desalination","2014-11-27"
"EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM","Q13442814","Pierre Bérubé","10.2166/wst.2011.521","EXPERIMENTAL MEASUREMENTS OF SHEAR STRESS IN A TUBULAR AIR LIFT MEMBRANE SYSTEM","Water Science and Technology","2011-07-14"
"Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor","Q13442814","Pierre Bérubé","10.1016/s0043-1354(00)00203-7","Effects of elevated operating temperatures on methanol removal kinetics from synthetic kraft pulp mill condensate using a membrane bioreactor","Water Research","2002-07-25"
"Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor","Q13442814","Pierre Bérubé","10.1016/s0273-1223(99)00735-0","Effects of kraft evaporator condensate matrix on methanol removal in a high temperature membrane bioreactor","Water Science and Technology","2002-07-26"
"Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment","Q13442814","Pierre Bérubé","10.2478/v10173-012-0012-1","Energy consumption related to shear stress for membrane bioreactors used for wastewater treatment","Archives of Thermodynamics","2013-01-18"
"Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]","Q13442814","Pierre Bérubé","10.1016/j.memsci.2006.01.048","Erratum to¿ The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system¿[J. Membr. Sci. 271 (2006) 29¿ 37]","Journal of Membrane Science","2006-03-10"
"Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems","Q13442814","Pierre Bérubé","10.1016/j.proeng.2012.08.985","Euromembrane Conference 2012 [P3. 089] Efficient gas sparging design through characterising the hydrodynamics inside submerged HF membrane systems","Procedia Engineering","2012-11-08"
"Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors","Q13442814","Pierre Bérubé","10.1139/s02-035","Evaluation of adsorption and coagulation as membrane pretreatment steps for the removal of organic material and disinfection-by-product precursors","Journal of Environmental Engineering and Science","2003-03-28"
"Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane","Q13442814","Pierre Bérubé","10.1016/j.ces.2009.04.048","Experimental study and CFD modelling of a two-phase slug flow for an airlift tubular membrane","Chemical Engineering Science","2009-05-14"
"Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements","Q13442814","Pierre Bérubé","10.2175/193864710798217151","Experimental validation of a hydrodynamic CFD model of a hollow fiber MBR using shear intensity measurements","Proceedings of the Water Environment Federation","2012-08-22"
"Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite","Q13442814","Pierre Bérubé","10.1016/j.seppur.2017.12.004","Filtration and cleaning performances of PVDF membranes aged with exposure to sodium hypochlorite","Separation and Purification Technology","2017-12-06"
"Fouling in air sparged submerged hollow fiber membranes at sub-and super-critical flux conditions","Q13442814","Pierre Bérubé","10.1016/j.memsci.2007.09.039","Fouling in air sparged submerged hollow fiber membranes at sub-and super-critical flux conditions","Journal of Membrane Science","2007-10-02"
"Hybrid membrane processes using activated carbon treatment for drinking water: a review","Q13442814","Pierre Bérubé","10.1016/j.memsci.2012.04.012","Hybrid membrane processes using activated carbon treatment for drinking water: a review","Journal of Membrane Science","2012-04-17"
"Impact of low coagulant dosages on protein fouling of ultrafiltration membranes","Q13442814","Pierre Bérubé","10.1016/j.jwpe.2019.100801","Impact of low coagulant dosages on protein fouling of ultrafiltration membranes","Journal of Water Process Engineering","2019-04-08"
"Impact of pac fines in fouling of polymeric and ceramic low-pressure membranes for drinking water treatment","Q13442814","Pierre Bérubé","10.3390/membranes6030038","Impact of pac fines in fouling of polymeric and ceramic low-pressure membranes for drinking water treatment","Membranes","2016-07-07"
"Integrated oxidation membrane filtration process–NOM rejection and membrane fouling","Q13442814","Pierre Bérubé","10.1016/j.watres.2016.08.024","Integrated oxidation membrane filtration process–NOM rejection and membrane fouling","Water Research","2016-08-15"
"Investigation of the effect of viscosity on slug flow in airlift tubular membranes in search of a sludge surrogate","Q13442814","Pierre Bérubé","10.2166/wst.2010.118","Investigation of the effect of viscosity on slug flow in airlift tubular membranes in search of a sludge surrogate","Water Science and Technology","2010-04-07"
"Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.07.057","Long-term performance of biological ion exchange for the removal of natural organic matter and ammonia from surface waters","Water Research","2018-07-25"
"Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector","Q13442814","Pierre Bérubé","10.1016/s0021-9673(98)00882-6","Measurement of reduced sulphur compounds contained in aqueous matrices by direct injection into a gas chromatograph with a flame photometric detector","Journal of Chromatography A","2002-07-25"
"Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review","Q13442814","Pierre Bérubé","10.2175/106143005x72858","Mechanisms Governing the Permeate Flux in an Anaerobic Membrane Bioreactor Treating Low-Strength/Municipal Wastewaters: A Literature Review","Water Environment Research","2006-10-06"
"Membrane ageing in full-scale water treatment plants","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.115212","Membrane ageing in full-scale water treatment plants","Water Research","2019-10-18"
"Membrane bioreactors for anaerobic treatment of wastewaters: phase II","Q13442814","Pierre Bérubé","10.2166/9781780403946","Membrane bioreactors for anaerobic treatment of wastewaters: phase II","Water Intelligence Online","2015-12-21"
"Membrane bioreactors: Theory and applications to wastewater reuse","Q13442814","Pierre Bérubé","10.1016/s1871-2711(09)00209-8","Membrane bioreactors: Theory and applications to wastewater reuse","Sustainable Water for the Future: Water Recycling versus Desalination","2009-10-07"
"Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process","Q13442814","Pierre Bérubé","10.1016/j.memsci.2007.03.019","Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process","Journal of Membrane Science","2007-03-16"
"Messung von Schubspannungen beim Aufstieg von Einzelblasen","Q13442814","Pierre Bérubé","10.1002/cite.201050247","Messung von Schubspannungen beim Aufstieg von Einzelblasen","Chemie Ingenieur Technik","2010-09-10"
"Model development to access the ageing of polymeric membranes due to chemical cleaning","Q13442814","Pierre Bérubé","10.1016/j.proeng.2012.08.605","Model development to access the ageing of polymeric membranes due to chemical cleaning","Procedia Engineering","2012-11-07"
"Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes","Q13442814","Pierre Bérubé","10.2166/ws.2007.139","Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes","Water Supply","2007-12-20"
"Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Q13442814","Pierre Bérubé","10.3390/membranes7030034","Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Membranes","2017-07-03"
"Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Q13442814","Pierre Bérubé","10.1016/j.watres.2019.05.056","Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Water Research","2019-05-20"
"Operation of passive membrane systems for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.watres.2017.02.065","Operation of passive membrane systems for drinking water treatment","Water Research","2017-02-28"
"Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Q13442814","Pierre Bérubé","10.2175/193864710798216792","Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Proceedings of the Water Environment Federation","2012-08-22"
"Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2017.06.064","Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Separation and Purification Technology","2017-06-27"
"Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.5004/dwt.2012.2443","Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","DESALINATION AND WATER TREATMENT","2018-12-22"
"PFAS removal by ion exchange resins: A review","Q13442814","Pierre Bérubé","10.1016/j.chemosphere.2021.129777","PFAS removal by ion exchange resins: A review","Chemosphere","2021-02-04"
"Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.08.032","Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies","Water Research","2018-08-22"
"Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications.","Q13442814","Pierre Bérubé","10.5004/dwt.2017.20184","Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications.","DESALINATION AND WATER TREATMENT","2017-02-20"
"Power induced by bubbles of different sizes and frequencies on to hollow fibers in submerged membrane systems","Q13442814","Pierre Bérubé","10.1016/j.watres.2013.08.020","Power induced by bubbles of different sizes and frequencies on to hollow fibers in submerged membrane systems","Water Research","2013-09-11"
"Promoting the biological oxidation of reduced sulphur compounds by pH adjustment in a high temperature membrane bioreactor treating Kraft Pulp Mill Foul Condensate","Q13442814","Pierre Bérubé","10.2166/wqrj.2001.006","Promoting the biological oxidation of reduced sulphur compounds by pH adjustment in a high temperature membrane bioreactor treating Kraft Pulp Mill Foul Condensate","Water Quality Research Journal","2018-05-28"
"Pulse bubble sparging for fouling control","Q13442814","Pierre Bérubé","10.1016/j.seppur.2014.07.023","Pulse bubble sparging for fouling control","Separation and Purification Technology","2014-07-21"
"Pulse bubble sparging for the control of hydraulically reversible fouling in submerged hollow fiber membrane systems","Q13442814","Pierre Bérubé","10.1016/j.seppur.2013.12.011","Pulse bubble sparging for the control of hydraulically reversible fouling in submerged hollow fiber membrane systems","Separation and Purification Technology","2013-12-20"
"Quantifying the shear at the surface of submerged hollow fiber membranes","Q13442814","Pierre Bérubé","10.1016/j.memsci.2005.12.043","Quantifying the shear at the surface of submerged hollow fiber membranes","Journal of Membrane Science","2006-01-31"
"Rate and extent NOM removal during oxidation and biofiltration","Q13442814","Pierre Bérubé","10.1016/j.watres.2013.12.017","Rate and extent NOM removal during oxidation and biofiltration","Water Research","2013-12-21"
"Relationship between types of surface shear stress profiles and membrane fouling","Q13442814","Pierre Bérubé","10.1016/j.watres.2011.09.031","Relationship between types of surface shear stress profiles and membrane fouling","Water Research","2011-09-22"
"Removal of disinfection by-product precursors with ozone-UV advanced oxidation process","Q13442814","Pierre Bérubé","10.1016/j.watres.2005.03.021","Removal of disinfection by-product precursors with ozone-UV advanced oxidation process","Water Research","2005-05-11"
"Reuse of Air for Return Activated Sludge Pumping in Submerged Membrane Bioreactors","Q13442814","Pierre Bérubé","10.1002/cite.201500080","Reuse of Air for Return Activated Sludge Pumping in Submerged Membrane Bioreactors","Chemie Ingenieur Technik","2015-09-17"
"Roles of various mixed liquor constituents in membrane filtration of activated sludge","Q13442814","Pierre Bérubé","10.5004/dwt.2009.108","Roles of various mixed liquor constituents in membrane filtration of activated sludge","Desalination and Water Treatment","2010-04-10"
"SEM imaging of membranes: Importance of sample preparation and imaging parameters","Q13442814","Pierre Bérubé","10.1016/j.memsci.2014.03.048","SEM imaging of membranes: Importance of sample preparation and imaging parameters","Journal of Membrane Science","2014-03-26"
"Seeking realistic membrane ageing at bench-scale","Q13442814","Pierre Bérubé","10.1016/j.memsci.2020.118606","Seeking realistic membrane ageing at bench-scale","Journal of Membrane Science","2020-08-14"
"Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Q13442814","Pierre Bérubé","10.11120/ened.2007.02010002","Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Engineering Education","2013-04-10"
"Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Q13442814","Pierre Bérubé","10.2175/193864710798182060","Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Proceedings of the Water Environment Federation","2012-09-27"
"Surface shear stress and membrane fouling when considering natural water matrices","Q13442814","Pierre Bérubé","10.1016/j.desal.2013.09.018","Surface shear stress and membrane fouling when considering natural water matrices","Desalination","2013-10-13"
"Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Q13442814","Pierre Bérubé","10.1016/j.seppur.2013.11.003","Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Separation and Purification Technology","2013-11-15"
"The effect of concentration factor on membrane fouling","Q13442814","Pierre Bérubé","10.3390/membranes7030050","The effect of concentration factor on membrane fouling","Membranes","2017-09-01"
"The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Q13442814","Pierre Bérubé","10.1016/j.memsci.2005.07.006","The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Journal of Membrane Science","2005-08-31"
"The impact of loading approach and biological activity on NOM removal by ion exchange resins","Q13442814","Pierre Bérubé","10.1016/j.watres.2018.01.052","The impact of loading approach and biological activity on NOM removal by ion exchange resins","Water Research","2018-02-20"
"The importance of fluid dynamics for MBR fouling mitigation","Q13442814","Pierre Bérubé","10.1016/j.biortech.2012.05.069","The importance of fluid dynamics for MBR fouling mitigation","Bioresource Technology","2012-05-23"
"Ultrafiltration fouling: Impact of backwash frequency and air sparging","Q13442814","Pierre Bérubé","10.1080/01496395.2014.948964","Ultrafiltration fouling: Impact of backwash frequency and air sparging","Separation Science and Technology","2014-09-02"
"Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation","Q13442814","Pierre Bérubé","10.5942/jawwa.2014.106.0018","Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation","Journal - American Water Works Association","2013-12-05"
"Variability and limits of the unified membrane fouling index: application to the reduction of low-pressure membrane fouling by ozonation and biofiltration","Q13442814","Pierre Bérubé","10.1080/19443994.2012.672214","Variability and limits of the unified membrane fouling index: application to the reduction of low-pressure membrane fouling by ozonation and biofiltration","Desalination and Water Treatment","2012-04-30"
