"Len","P31","P50","P356","P1476","P1433","P577"
"Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts","Q13442814","Mark Johnson","10.1002/ldr.832","Fallow management practices in Guatemala's Western Highlands: Social drivers and biophysical impacts","Land Degradation & Development","2007-08-27"
"Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds","Q13442814","Mark Johnson","10.1007/s10533-011-9595-x","Fluorescence index as an indicator of dissolved organic carbon quality in hydrologic flowpaths of forested tropical watersheds","Biogeochemistry","2011-03-16"
"Future water supply and demand in the Okanagan Basin, British Columbia: a scenario-based analysis of multiple, interacting stressors","Q13442814","Mark Johnson","10.1007/s11269-011-9938-3","Future water supply and demand in the Okanagan Basin, British Columbia: a scenario-based analysis of multiple, interacting stressors","Water Resources Management","2011-11-02"
"Gap‐filling approaches for eddy covariance methane fluxes: A comparison of three machine learning algorithms and a traditional method with principal component analysis","Q13442814","Mark Johnson","10.1111/gcb.14845","Gap‐filling approaches for eddy covariance methane fluxes: A comparison of three machine learning algorithms and a traditional method with principal component analysis","Global Change Biology","2019-09-25"
"Gas Transfer Velocities Evaluated Using Carbon Dioxide as a Tracer Show High Streamflow to Be a Major Driver of Total CO2 Evasion Flux for a Headwater Stream","Q13442814","Mark Johnson","10.1029/2018jg004388","Gas Transfer Velocities Evaluated Using Carbon Dioxide as a Tracer Show High Streamflow to Be a Major Driver of Total CO2 Evasion Flux for a Headwater Stream","Journal of Geophysical Research: Biogeosciences","2018-07-02"
"Groundwater recharge indicator as tool for decision makers to increase socio-hydrological resilience to seasonal drought","Q13442814","Mark Johnson","10.1016/j.jhydrol.2018.05.069","Groundwater recharge indicator as tool for decision makers to increase socio-hydrological resilience to seasonal drought","Journal of Hydrology","2018-05-31"
"High-frequency analysis of dissolved organic carbon storm responses in headwater streams of contrasting forest harvest history","Q13442814","Mark Johnson","10.1016/j.jhydrol.2020.125371","High-frequency analysis of dissolved organic carbon storm responses in headwater streams of contrasting forest harvest history","Journal of Hydrology","2020-08-05"
"Hydrochemistry of shallow groundwater and springs used for potable supply in Southern Brazil","Q13442814","Mark Johnson","10.1007/s12665-018-7254-4","Hydrochemistry of shallow groundwater and springs used for potable supply in Southern Brazil","Environmental Earth Sciences","2018-01-24"
"Hyperspectral and Thermal Sensing of Stomatal Conductance, Transpiration, and Photosynthesis for Soybean and Maize under Drought","Q13442814","Mark Johnson","10.3390/rs12193182","Hyperspectral and Thermal Sensing of Stomatal Conductance, Transpiration, and Photosynthesis for Soybean and Maize under Drought","Remote Sensing","2020-09-29"
"Identifying socio economic levers for a sustainable provision of ecosystem services in Amazonia landscapes","Q13442814","Mark Johnson","10.1088/1755-1307/6/37/372027","Identifying socio economic levers for a sustainable provision of ecosystem services in Amazonia landscapes","IOP Conference Series: Earth and Environmental Science","2009-03-10"
"Impact of different agricultural waste biochars on maize biomass and soil water content in a Brazilian Cerrado Arenosol","Q13442814","Mark Johnson","10.3390/agronomy7030049","Impact of different agricultural waste biochars on maize biomass and soil water content in a Brazilian Cerrado Arenosol","Agronomy","2017-07-20"
"Improving agricultural water use efficiency with biochar–A synthesis of biochar effects on water storage and fluxes across scales","Q13442814","Mark Johnson","10.1016/j.scitotenv.2018.11.312","Improving agricultural water use efficiency with biochar–A synthesis of biochar effects on water storage and fluxes across scales","Science of The Total Environment","2018-11-22"
"Indicativos de descontinuidade litológica de regolitos derivados de granitos em uma microbacia sob floresta Amazônica, em Juruena-MT","Q13442814","Mark Johnson","10.1590/s0100-06832012000200001","Indicativos de descontinuidade litológica de regolitos derivados de granitos em uma microbacia sob floresta Amazônica, em Juruena-MT","Revista Brasileira de Ciência do Solo","2012-06-04"
"Inundation and groundwater dynamics for quantification of evaporative water loss in tropical wetlands","Q13442814","Mark Johnson","10.5194/hess-18-4407-2014","Inundation and groundwater dynamics for quantification of evaporative water loss in tropical wetlands","Hydrology and Earth System Sciences","2014-11-05"
"Investigating the impacts of biochar on water fluxes in tropical agriculture using stable isotopes","Q13442814","Mark Johnson","10.5194/hess-2020-404","Investigating the impacts of biochar on water fluxes in tropical agriculture using stable isotopes","Copernicus GmbH","2020-08-20"
"Isotopic estimation of water balance and groundwater-surface water interactions of tropical wetland lakes in the Pantanal, Brazil","Q13442814","Mark Johnson","10.1080/02626667.2013.870665","Isotopic estimation of water balance and groundwater-surface water interactions of tropical wetland lakes in the Pantanal, Brazil","Hydrological Sciences Journal","2013-12-09"
"Land occupation and transformation impacts of soybean production in Southern Amazonia, Brazil","Q13442814","Mark Johnson","10.1016/j.jclepro.2017.02.120","Land occupation and transformation impacts of soybean production in Southern Amazonia, Brazil","Journal of Cleaner Production","2017-02-17"
"Land use in LCA: including regionally altered precipitation to quantify ecosystem damage","Q13442814","Mark Johnson","10.1021/acs.est.6b02311.s001","Land use in LCA: including regionally altered precipitation to quantify ecosystem damage","American Chemical Society (ACS)","2020-04-07"
"Land-use change and stream water fluxes: Decadal dynamics in watershed nitrate exports","Q13442814","Mark Johnson","10.1007/s10021-007-9091-2","Land-use change and stream water fluxes: Decadal dynamics in watershed nitrate exports","Ecosystems","2007-09-19"
"Land–Water interactions in the amazon","Q13442814","Mark Johnson","10.1007/s10533-011-9622-y","Land–Water interactions in the amazon","Biogeochemistry","2011-07-27"
"Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed","Q13442814","Mark Johnson","10.35648/20.500.12413/11781/ii250","Life Cycle Assessment of Greenhouse Gas Emissions from Dairy Production in a Central New York State Watershed","Taiwan Water Conservancy Journal","2020-05-31"
"Litterfall production and fluvial export in headwater catchments of the southern Amazon","Q13442814","Mark Johnson","10.1017/s0266467406003956","Litterfall production and fluvial export in headwater catchments of the southern Amazon","Journal of Tropical Ecology","2007-04-24"
"Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation","Q13442814","Mark Johnson","10.1016/j.geoderma.2020.114177","Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation","Geoderma","2020-01-16"
"Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada","Q13442814","Mark Johnson","10.1016/j.agrformet.2020.108152","Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada","Agricultural and Forest Meteorology","2020-09-08"
"Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Q13442814","Mark Johnson","10.1111/j.1365-2486.2010.02298.x","Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Global Change Biology","2010-07-23"
"Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Q13442814","Mark Johnson","10.1590/s0100-06832013000300009","Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Revista Brasileira de Ciência do Solo","2013-07-21"
"Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Q13442814","Mark Johnson","10.1029/2019jg005123","Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Journal of Geophysical Research: Biogeosciences","2019-03-19"
"Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Q13442814","Mark Johnson","10.1111/j.1365-2486.2009.02068.x","Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Global Change Biology","2009-09-15"
"Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Q13442814","Mark Johnson","10.1016/j.jenvman.2015.01.021","Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Journal of Environmental Management","2015-01-23"
"Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon","Q13442814","Mark Johnson","10.1002/hyp.6218","Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon","Hydrological Processes","2006-07-24"
"PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education","Q13442814","Mark Johnson","10.1525/bio.2009.59.6.10","PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education","BioScience","2009-06-02"
"Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species","Q13442814","Mark Johnson","10.1111/jvs.12379","Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species","Journal of Vegetation Science","2016-01-11"
"Public participation and perceptions of watershed modeling","Q13442814","Mark Johnson","10.1080/08941920802220347","Public participation and perceptions of watershed modeling","Society & Natural Resources","2008-12-19"
"Radiative forcing of methane fluxes offsets net carbon dioxide uptake for a tropical flooded forest","Q13442814","Mark Johnson","10.1111/gcb.14615","Radiative forcing of methane fluxes offsets net carbon dioxide uptake for a tropical flooded forest","Global Change Biology","2019-03-11"
"Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia","Q13442814","Mark Johnson","10.1016/j.agrformet.2018.03.023","Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia","Agricultural and Forest Meteorology","2018-04-09"
"Relationships between soil hydrology and forest structure and composition in the southern Brazilian Amazon","Q13442814","Mark Johnson","10.1111/j.1654-1103.2007.tb02529.x","Relationships between soil hydrology and forest structure and composition in the southern Brazilian Amazon","Journal of Vegetation Science","2009-02-24"
"Relative humidity gradients as a key constraint on terrestrial water and energy fluxes","Q13442814","Mark Johnson","10.31223/x59880","Relative humidity gradients as a key constraint on terrestrial water and energy fluxes","California Digital Library (CDL)","2020-12-01"
"Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds","Q13442814","Mark Johnson","10.1007/s10533-011-9597-8","Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds","Biogeochemistry","2011-04-02"
"Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy","Q13442814","Mark Johnson","10.2134/ael2015.12.0014","Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy","Agricultural & Environmental Letters","2016-09-28"
"Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential","Q13442814","Mark Johnson","10.1371/journal.pone.0064874","Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential","PLoS ONE","2013-06-10"
"Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland","Q13442814","Mark Johnson","10.1002/2017jg003877","Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland","Journal of Geophysical Research: Biogeosciences","2017-08-14"
"Spatial and temporal variability of soil water repellency of Amazonian pastures","Q13442814","Mark Johnson","10.1071/sr04097","Spatial and temporal variability of soil water repellency of Amazonian pastures","Soil Research","2005-05-27"
"Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Q13442814","Mark Johnson","10.1002/2017jg003797","Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Journal of Geophysical Research: Biogeosciences","2017-07-15"
"Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Q13442814","Mark Johnson","10.1002/essoar.95a79bd46e3a0342.6bebb835b5a94839.1","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Wiley","2019-11-13"
"Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Q13442814","Mark Johnson","10.1029/2007wr006359","Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Water Resources Research","2007-11-14"
"Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Q13442814","Mark Johnson","10.1175/2012ei000439.1","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Earth Interactions","2012-08-10"
"Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Q13442814","Mark Johnson","10.1007/s10705-013-9554-0","Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Nutrient Cycling in Agroecosystems","2013-01-30"
"Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Q13442814","Mark Johnson","10.3390/w11020390","Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Water","2019-02-25"
"Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Q13442814","Mark Johnson","10.3390/s120403798","Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Sensors","2012-03-24"
"Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Q13442814","Mark Johnson","10.5194/bg-14-2799-2017","Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Biogeosciences","2017-06-08"
"Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","Q13442814","Mark Johnson","10.1080/03680770.1995.11900941","Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","SIL Proceedings, 1922-2010","2017-12-01"
"Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Q13442814","Mark Johnson","10.2136/sssaj2012.0039","Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Soil Science Society of America Journal","2012-09-12"
"The role of rivers in the regional carbon balance","Q13442814","Mark Johnson","10.1029/2008gm000734","The role of rivers in the regional carbon balance","Amazonia and Global Change","2011-09-09"
"Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia","Q13442814","Mark Johnson","10.1016/j.scitotenv.2020.138994","Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia","Science of The Total Environment","2020-05-05"
"Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Q13442814","Mark Johnson","10.1161/circulationaha.109.924613","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Circulation","2010-04-13"
"Variabilidade espacial de atributos físicos de solo usada na identificação de classes pedológicas de microbacias na Amazônia meridional","Q13442814","Mark Johnson","10.1590/s0100-06832007000100010","Variabilidade espacial de atributos físicos de solo usada na identificação de classes pedológicas de microbacias na Amazônia meridional","Revista Brasileira de Ciência do Solo","2007-10-04"
"Variação Sazonal do Carbono Orgânico Dissolvido (COD) e Propriedades Ópticas da Matéria Orgânica em Diferentes Sistemas de Pastagem e de Soja no Estado de Mato Grosso","Q13442814","Mark Johnson","10.5902/2179460x27649","Variação Sazonal do Carbono Orgânico Dissolvido (COD) e Propriedades Ópticas da Matéria Orgânica em Diferentes Sistemas de Pastagem e de Soja no Estado de Mato Grosso","Ciência e Natura","2017-11-20"
"Water quality and greenhouse gas fluxes for stormwater detained in a constructed wetland","Q13442814","Mark Johnson","10.1016/j.jenvman.2018.10.106","Water quality and greenhouse gas fluxes for stormwater detained in a constructed wetland","Journal of Environmental Management","2018-11-17"
"Water use by terrestrial ecosystems: temporal variability in rainforest and agricultural contributions to evapotranspiration in Mato Grosso, Brazil","Q13442814","Mark Johnson","10.1088/1748-9326/7/2/024024","Water use by terrestrial ecosystems: temporal variability in rainforest and agricultural contributions to evapotranspiration in Mato Grosso, Brazil","Environmental Research Letters","2012-06-25"
"Water use dynamics in double cropping of rainfed upland rice and irrigated melons produced under drought‐prone tropical conditions","Q13442814","Mark Johnson","10.1029/2018wr023757","Water use dynamics in double cropping of rainfed upland rice and irrigated melons produced under drought‐prone tropical conditions","Water Resources Research","2019-04-18"
"Watershed services in the humid tropics: Opportunities from recent advances in ecohydrology","Q13442814","Mark Johnson","10.1002/eco.1921","Watershed services in the humid tropics: Opportunities from recent advances in ecohydrology","Ecohydrology","2017-11-04"
