"Len","P31","P50","P356","P1476","P1433","P577"
"Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future","Q13442814","Nadja Kunz","10.1016/j.jclepro.2014.09.016","Sustainability in mining, minerals and energy: new processes, pathways and human interactions for a cautiously optimistic future","Journal of Cleaner Production","2014-10-14"
"Sustainable water management by coupling human and engineered systems","Q13442814","Nadja Kunz","10.2495/wrm150041","Sustainable water management by coupling human and engineered systems","Water Resources Management VIII","2015-05-22"
"The role of institutional mining investors in driving responsible tailings management","Q13442814","Nadja Kunz","10.1016/j.exis.2020.10.014","The role of institutional mining investors in driving responsible tailings management","The Extractive Industries and Society","2020-11-07"
"The sustainability agenda of the minerals and energy supply and demand network: an integrative analysis of ecological, ethical, economic, and technological dimensions","Q13442814","Nadja Kunz","10.1016/j.jclepro.2012.09.038","The sustainability agenda of the minerals and energy supply and demand network: an integrative analysis of ecological, ethical, economic, and technological dimensions","Journal of Cleaner Production","2012-11-07"
"The utility of a systems approach for managing strategic water risks at a mine site level","Q13442814","Nadja Kunz","10.1016/j.wri.2016.02.001","The utility of a systems approach for managing strategic water risks at a mine site level","Water Resources and Industry","2016-02-04"
"Too small to be viable? The potential market for small modular reactors in mining and remote communities in Canada","Q13442814","Nadja Kunz","10.1016/j.enpol.2020.111587","Too small to be viable? The potential market for small modular reactors in mining and remote communities in Canada","Energy Policy","2020-06-23"
"Towards a broadened view of water security in mining regions","Q13442814","Nadja Kunz","10.1016/j.wasec.2020.100079","Towards a broadened view of water security in mining regions","Water Security","2020-12-07"
"Understanding the Innovation Ecosystem in Mining and What the Digital Revolution Means for It","Q13442814","Nadja Kunz","10.1201/b22353-1","Understanding the Innovation Ecosystem in Mining and What the Digital Revolution Means for It","Extracting Innovations","2019-06-03"
"Water Resources and Industry","Q13442814","Nadja Kunz","10.1016/j.wri.2013.08.001","Water Resources and Industry","Water Resources and Industry","2013-08-22"
"Water stewardship: Attributes of collaborative partnerships between mining companies and communities","Q13442814","Nadja Kunz","10.3390/w10081081","Water stewardship: Attributes of collaborative partnerships between mining companies and communities","Water","2018-08-14"
"What participation? Distinguishing water monitoring programs in mining regions based on community participation","Q13442814","Nadja Kunz","10.3390/w10101325","What participation? Distinguishing water monitoring programs in mining regions based on community participation","Water","2018-09-25"
"Why do some water utilities recycle more than others? A qualitative comparative analysis in New South Wales, Australia","Q13442814","Nadja Kunz","10.1021/acs.est.5b01827","Why do some water utilities recycle more than others? A qualitative comparative analysis in New South Wales, Australia","Environmental Science & Technology","2015-06-23"
