"qid","Len","P31","P50","P356","P921","P1476"
"","Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream","Q13442814","Q56794616","10.1139/f2012-090","","Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream"
"","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters","Q13442814","Jongho Lee","10.1021/acs.estlett.9b00076","","Dissolved Methane Harvesting Using Omniphobic Membranes for Anaerobically Treated Wastewaters"
"","Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212","","Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation"
"","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation","Q13442814","Jongho Lee","10.1021/acs.est.0c02547","","Elucidating the Trade-off between Membrane Wetting Resistance and Water Vapor Flux in Membrane Distillation"
"","Commentary on the Absence of Experiments in Planning","Q13442814","Jordi Honey-Rosés","10.1177/0739456x17739352","","Commentary on the Absence of Experiments in Planning"
"","Book Review: “Water in Plain Sight: Hope for a Thirsty World”","Q13442814","Jordi Honey-Rosés","10.1142/s2382624x17800017","","Book Review: “Water in Plain Sight: Hope for a Thirsty World”"
"","A Review of Field Experiments in Planning and Urban Research","Q13442814","Jordi Honey-Rosés","10.1080/02697459.2019.1647394","","A Review of Field Experiments in Planning and Urban Research"
"","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment","Q13442814","Jordi Honey-Rosés","10.1177/0013916520953147","","The Behavioral Response to Increased Pedestrian and Staying Activity in Public Space: A Field Experiment"
"","Percent Change as a Measure of Price Escalation in Water and Energy Utilities","Q13442814","Jordi Honey-Rosés","10.1177/1087724x18822587","","Percent Change as a Measure of Price Escalation in Water and Energy Utilities"
"","Metrics and Methods for Comparing Water Utility Rate Structures","Q13442814","Jordi Honey-Rosés","10.1142/s2382624x18500182","","Metrics and Methods for Comparing Water Utility Rate Structures"
"","Leveraging support for conservation from ecotourists: can relational values play a role?","Q13442814","Jordi Honey-Rosés","10.1080/09669582.2019.1683184","","Leveraging support for conservation from ecotourists: can relational values play a role?"
"","Rule compliance and desire lines in Barcelona’s cycling network","Q13442814","Jordi Honey-Rosés","10.1080/19427867.2020.1803542","","Rule compliance and desire lines in Barcelona’s cycling network"
"","Implementation strategies and a cost/benefit comparison for compliance with an environmental flow regime in a Mediterranean river affected by hydropower","Q13442814","Jordi Honey-Rosés","10.2166/wp.2015.169","","Implementation strategies and a cost/benefit comparison for compliance with an environmental flow regime in a Mediterranean river affected by hydropower"
"","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua","Q13442814","Jordi Honey-Rosés","10.1177/1940082920922676","","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua"
"","Quantifying active and passive restoration in Central Mexico from 1986-2012: assessing the evidence of a forest transition","Q13442814","Jordi Honey-Rosés","10.1111/rec.12703","","Quantifying active and passive restoration in Central Mexico from 1986-2012: assessing the evidence of a forest transition"
"","Academia in the Time of COVID-19: Towards an Ethics of Care","Q13442814","Jordi Honey-Rosés","10.1080/14649357.2020.1757891","","Academia in the Time of COVID-19: Towards an Ethics of Care"
"","Is this trail too crowded? A choice experiment to evaluate tradeoffs and preferences of park visitors in Garibaldi Park, British Columbia","Q13442814","Jordi Honey-Rosés","10.1080/09640568.2017.1284047","","Is this trail too crowded? A choice experiment to evaluate tradeoffs and preferences of park visitors in Garibaldi Park, British Columbia"
"","Young families and children in gentrifying neighbourhoods: how gentrification reshapes use and perception of green play spaces","Q13442814","Jordi Honey-Rosés","10.1080/13549839.2020.1835849","","Young families and children in gentrifying neighbourhoods: how gentrification reshapes use and perception of green play spaces"
"","The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities","Q13442814","Jordi Honey-Rosés","10.1080/23748834.2020.1780074","","The impact of COVID-19 on public space: an early review of the emerging questions – design, perceptions and inequities"
"","Mainstreaming Impact Evaluation in Nature Conservation","Q13442814","Jordi Honey-Rosés","10.1111/conl.12180","","Mainstreaming Impact Evaluation in Nature Conservation"
"","Negotiated resilience","Q13442814","Leila M. Harris","10.1080/21693293.2017.1353196","","Negotiated resilience"
"","Improving fisheries estimates by including women’s catch in the Central Philippines","Q13442814","Leila M. Harris","10.1139/cjfas-2013-0177","","Improving fisheries estimates by including women’s catch in the Central Philippines"
"","Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey","Q13442814","Leila M. Harris","10.1080/00045608.2014.892356","","Imaginative Geographies of Green: Difference, Postcoloniality, and Affect in Environmental Narratives in Contemporary Turkey"
"","The antinomies of nature and space","Q13442814","Leila M. Harris","10.1177/2514848618777162","","The antinomies of nature and space"
"","Small systems, big challenges: review of small drinking water system governance","Q13442814","Leila M. Harris","10.1139/er-2018-0033","","Small systems, big challenges: review of small drinking water system governance"
"","Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization","Q13442814","Leila M. Harris","10.1080/19460171.2017.1282377","","Whose input counts? Evaluating the process and outcomes of public consultation through the BC Water Act Modernization"
"","Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town","Q13442814","Leila M. Harris","10.1080/07900627.2018.1509787","","Developing new urban water supplies: investigating motivations and barriers to groundwater use in Cape Town"
"","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Q13442814","Leila M. Harris","10.1080/08941920.2017.1364818","","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa"
"","Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana","Q13442814","Leila M. Harris","10.1080/09669582.2018.1546711","","Social Capital, political empowerment and social difference: a mixed-methods study of an ecotourism project in the rural Volta region of Ghana"
"","The rural–urban equity nexus of Metro Manila’s water system","Q13442814","Leila M. Harris","10.1080/02508060.2019.1560559","","The rural–urban equity nexus of Metro Manila’s water system"
"","Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583311","","Rural–urban water struggles: urbanizing hydrosocial territories and evolving connections, discourses and identities"
"","Evolving connections, discourses and identities in rural–urban water struggles","Q13442814","Leila M. Harris","10.1080/02508060.2019.1583312","","Evolving connections, discourses and identities in rural–urban water struggles"
"","Defining “water resilience”: Debates, concepts, approaches, and gaps","Q13442814","Q58348879","10.1002/wat2.1334","","Defining “water resilience”: Debates, concepts, approaches, and gaps"
"","Water resilience lessons from Cape Town's water crisis","Q13442814","Q58348879","10.1002/wat2.1376","","Water resilience lessons from Cape Town's water crisis"
"","Water ethics, justice, and equity in social-ecological systems conservation: lessons from the Queensland Wild Rivers Act","Q13442814","Q58348879","10.2166/wp.2018.016","","Water ethics, justice, and equity in social-ecological systems conservation: lessons from the Queensland Wild Rivers Act"
"","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa","Q13442814","Q58348879","10.1080/08941920.2017.1364818","","Water Materialities and Citizen Engagement: Testing the Implications of Water Access and Quality for Community Engagement in Ghana and South Africa"
"","Unpacking social-ecological transformations: Conceptual, ethical and methodological insights","Q13442814","Q58348879","10.1177/2053019618817928","","Unpacking social-ecological transformations: Conceptual, ethical and methodological insights"
"","Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation","Q13442814","Madjid Mohseni","10.1080/10934529.2017.1282770","","Effects of inorganics on the degradation of micropollutants with vacuum UV (VUV) advanced oxidation"
"","Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter","Q13442814","Madjid Mohseni","10.1080/01919510701817914","","Ozone Oxidation of Pulp and Paper Wastewater and its Impact on Molecular Weight Distribution of Organic Matter"
"","PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics","Q13442814","Madjid Mohseni","10.1039/c9ew00409b","","PFOA and PFOS removal by ion exchange for water reuse and drinking applications: role of organic matter characteristics"
"","Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001111","","Evaluation of Weak and Strong Basic Anion Exchange Resins for NOM Removal"
"","Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2016-0315","","Analytical quantification of electrochemical ferrates for drinking water treatments"
"","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process","Q13442814","Madjid Mohseni","10.1039/c8ew00302e","","Temperature dependence of the absorbance of 185 nm photons by water and commonly occurring solutes and its influence on the VUV advanced oxidation process"
"","Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000804","","Comparative Study of the Effect of Vacuum-Ultraviolet Irradiation on Natural Organic Matter of Different Sources"
"","Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications","Q13442814","Madjid Mohseni","10.1002/cjce.23142","","Electrosynthesis of ferrate in a batch reactor at neutral conditions for drinking water applications"
"","The role of hydrophobic properties in ion exchange removal of organic compounds from water","Q13442814","Madjid Mohseni","10.1002/cjce.22823","","The role of hydrophobic properties in ion exchange removal of organic compounds from water"
"","Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation","Q13442814","Madjid Mohseni","10.1089/ees.2006.0264","","Novel Membrane Pretreatment to Increase the Efficiency of Ozonation-BioOxidation"
"","Degradation of ferrate species produced electrochemically for use in drinking water treatment applications","Q13442814","Madjid Mohseni","10.1002/cjce.23073","","Degradation of ferrate species produced electrochemically for use in drinking water treatment applications"
"","Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters","Q13442814","Madjid Mohseni","10.1039/c9ew00538b","","Performance of vacuum UV (VUV) for the degradation of MC-LR, geosmin, and MIB from cyanobacteria-impacted waters"
"","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Q13442814","Madjid Mohseni","10.1039/c8re00306h","","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions"
"","Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0001269","","Micropollutants Removal from Surface Water Using a Pilot Vacuum-UV Advanced Oxidation Process"
"","Computational modeling of UV photocatalytic reactors: model development, evaluation, and application","Q13442814","Madjid Mohseni","10.2166/wqrjc.2014.031","","Computational modeling of UV photocatalytic reactors: model development, evaluation, and application"
"","Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2017-0583","","Corrigendum: Analytical quantification of electrochemical ferrates for drinking water treatments"
"","Impact of natural organic matter characteristics and inorganic anions on the performance of ion exchange resins in natural waters","Q13442814","Madjid Mohseni","10.2166/ws.2020.197","","Impact of natural organic matter characteristics and inorganic anions on the performance of ion exchange resins in natural waters"
"","Pretreatment of natural organic matter to control biological stability","Q13442814","Madjid Mohseni","10.1039/c5ew00235d","","Pretreatment of natural organic matter to control biological stability"
"","Impact of vacuum UV on natural and algal organic matter from cyanobacterial impacted waters","Q13442814","Madjid Mohseni","10.1039/c9ew01068h","","Impact of vacuum UV on natural and algal organic matter from cyanobacterial impacted waters"
"","Production and Transformation of Mixed-Valent Nanoparticles Generated by Fe(0) Electrocoagulation","Q13442814","Madjid Mohseni","10.1021/es505059d","","Production and Transformation of Mixed-Valent Nanoparticles Generated by Fe(0) Electrocoagulation"
"","Improved performance of a passive air breathing flat-plate microbial fuel cell","Q13442814","Madjid Mohseni","10.1002/cjce.22147","","Improved performance of a passive air breathing flat-plate microbial fuel cell"
"","Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions","Q13442814","Madjid Mohseni","10.1111/php.12157","","Novel Collimated Beam Setup to Study the Kinetics of VUV-Induced Reactions"
"","Passive air breathing flat-plate microbial fuel cell operation","Q13442814","Madjid Mohseni","10.1002/jctb.4325","","Passive air breathing flat-plate microbial fuel cell operation"
"","Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation","Q13442814","Madjid Mohseni","10.1061/(asce)ee.1943-7870.0000390","","Modeling the Transformation of Chromophoric Natural Organic Matter during UV/H2O2 Advanced Oxidation"
"","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science.","Q13442814","Madjid Mohseni","10.1139/s08-045","","The fate of natural organic matter during UV/H2O2 advanced oxidation of drinking waterA paper submitted to the Journal of Environmental Engineering and Science."
"","Protocol for Determining Ultraviolet Light Emitting Diode (UV-LED) Fluence for Microbial Inactivation Studies","Q13442814","Madjid Mohseni","10.1021/acs.est.7b05797","","Protocol for Determining Ultraviolet Light Emitting Diode (UV-LED) Fluence for Microbial Inactivation Studies"
"","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Q13442814","Mark Johnson","10.1175/2012ei000439.1","","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation"
"","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Q13442814","Mark Johnson","10.1002/essoar.95a79bd46e3a0342.6bebb835b5a94839.1","","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment"
"","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Q13442814","Mark Johnson","10.1161/circulationaha.109.924613","","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves"
"","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Q13442814","Marwan Hassan","10.1002/esp.4784","","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance"
"","Interplay of Turbulent Flow and Various Sized Particles in Sediment Transport","Q13442814","Marwan Hassan","10.1002/essoar.10502687.1","","Interplay of Turbulent Flow and Various Sized Particles in Sediment Transport"
"","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport","Q13442814","Marwan Hassan","10.1002/essoar.10502258.1","","Back to Einstein: burial-induced three range diffusion in fluvial sediment transport"
"","Identifying Drivers of China's Provincial Wastewater Reuse Outcomes Using Qualitative Comparative Analysis","Q13442814","Nadja Kunz","10.1111/jiec.12584","","Identifying Drivers of China's Provincial Wastewater Reuse Outcomes Using Qualitative Comparative Analysis"
"","Identification of fecal contamination sources in water using host-associated markers","Q13442814","Natalie Prystajecky","10.1139/cjm-2012-0618","","Identification of fecal contamination sources in water using host-associated markers"
"","Personalized Genetic Testing and Norovirus Susceptibility","Q13442814","Natalie Prystajecky","10.1155/2014/708579","","Personalized Genetic Testing and Norovirus Susceptibility"
"","TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE","Q13442814","Natalie Prystajecky","10.7589/2019-05-135","","TARGETED RESEQUENCING OF WETLAND SEDIMENT AS A TOOL FOR AVIAN INFLUENZA VIRUS SURVEILLANCE"
"","A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS","Q13442814","Natalie Prystajecky","10.7589/jwd-d-20-00082","","A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS"
"","Identifying host sources, human health risk and indicators of Cryptosporidium and Giardia in a Canadian watershed influenced by urban and rural activities","Q13442814","Natalie Prystajecky","10.2166/wh.2012.131","","Identifying host sources, human health risk and indicators of Cryptosporidium and Giardia in a Canadian watershed influenced by urban and rural activities"
"","Characterization of Legionella Species from Watersheds in British Columbia, Canada","Q13442814","Natalie Prystajecky","10.1128/msphere.00246-17","","Characterization of Legionella Species from Watersheds in British Columbia, Canada"
"","Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations","Q13442814","Natalie Prystajecky","10.1093/nar/gkx702","","Neptune: a bioinformatics tool for rapid discovery of genomic variation in bacterial populations"
"","Characterization of performance of full-scale tertiary membranes under stressed operating conditions","Q13442814","Pierre Bérubé","10.2166/wst.2020.140","","Characterization of performance of full-scale tertiary membranes under stressed operating conditions"
"","A framework for the use of artificial neural networks for water treatment: development and application","Q13442814","Pierre Bérubé","10.2166/ws.2020.205","","A framework for the use of artificial neural networks for water treatment: development and application"
"","Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000765","","Water–Energy–Carbon Nexus Modeling for Urban Water Systems: System Dynamics Approach"
"","A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","","A new closeness centrality measure via effective distance in complex networks"
"","Reliability Assessment for Water Supply Systems under Uncertainties","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000349","","Reliability Assessment for Water Supply Systems under Uncertainties"
"","Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach","Q13442814","Rehan Sadiq","10.2166/aqua.2009.011","","Prioritizing monitoring locations in a water distribution network: a fuzzy risk approach"
"","Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000032","","Exploring the Relationship between Soil Properties and Deterioration of Metallic Pipes Using Predictive Data Mining Methods"
"","Reviewing source water protection strategies: A conceptual model for water quality assessment","Q13442814","Rehan Sadiq","10.1139/a11-001","","Reviewing source water protection strategies: A conceptual model for water quality assessment"
"","Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000552","","Inter-Utility Performance Benchmarking Model for Small-to-Medium-Sized Water Utilities: Aggregated Performance Indices"
"","Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model","Q13442814","Rehan Sadiq","10.1061/(asce)0887-3801(2008)22:2(114)","","Condition Assessment of Buried Pipes Using Hierarchical Evidential Reasoning Model"
"","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach"
"","Modelling the potential for water quality failures in distribution networks: framework (I)","Q13442814","Rehan Sadiq","10.2166/aqua.2010.059","","Modelling the potential for water quality failures in distribution networks: framework (I)"
"","Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities","Q13442814","Rehan Sadiq","10.1061/(asce)me.1943-5479.0000435","","Risk-Based Framework for Improving Customer Satisfaction through System Reliability in Small-Sized to Medium-Sized Water Utilities"
"","Management of Civil Infrastructure Systems: QFD-Based Approach","Q13442814","Rehan Sadiq","10.1061/(asce)is.1943-555x.0000150","","Management of Civil Infrastructure Systems: QFD-Based Approach"
"","Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000820","","Integrating Bayesian Linear Regression with Ordered Weighted Averaging: Uncertainty Analysis for Predicting Water Main Failures"
"","Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making","Q13442814","Rehan Sadiq","10.1139/er-2014-0069","","Contaminant intrusion in water distribution networks: review and proposal of an integrated model for decision making"
"","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities","Q13442814","Rehan Sadiq","10.1139/cjce-2015-0374","","Bayesian model averaging for the prediction of water main failure for small to large Canadian municipalities"
"","Performance evaluation of employees using Bayesian belief network model","Q13442814","Rehan Sadiq","10.1080/17509653.2017.1312583","","Performance evaluation of employees using Bayesian belief network model"
"","Performance management of small water treatment plant operations: a decision support system","Q13442814","Rehan Sadiq","10.1111/wej.12248","","Performance management of small water treatment plant operations: a decision support system"
"","Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent","Q13442814","Rehan Sadiq","10.1061/(asce)cp.1943-5487.0000149","","Dempster-Shafer Theory for Handling Conflict in Hydrological Data: Case of Snow Water Equivalent"
"","Performance of low-impact development best management practices: a critical review","Q13442814","Rehan Sadiq","10.1139/er-2018-0048","","Performance of low-impact development best management practices: a critical review"
"","Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach","Q13442814","Rehan Sadiq","10.1080/1573062x.2016.1223321","","Water mains renewal planning framework for small to medium sized water utilities: a life cycle cost analysis approach"
"","Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/ajrua6.0000920","","Prediction of Pipe Failure by Considering Time-Dependent Factors: Dynamic Bayesian Belief Network Model"
"","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks","Q13442814","Rehan Sadiq","10.1061/(asce)wr.1943-5452.0000759","","Optimizing Locations for Chlorine Booster Stations in Small Water Distribution Networks"
"","Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000229","","Considering Soil Parameters in Prediction of Remaining Service Life of Metallic Pipes: Bayesian Belief Network Model"
"","Handling incomplete and missing data in water network database using imputation methods","Q13442814","Rehan Sadiq","10.1080/23789689.2019.1600960","","Handling incomplete and missing data in water network database using imputation methods"
"","Water–energy nexus for water distribution systems: a literature review","Q13442814","Rehan Sadiq","10.1139/er-2018-0106","","Water–energy nexus for water distribution systems: a literature review"
"","Ecological risk assessment of accidental release of flowback water: A conceptual framework","Q13442814","Rehan Sadiq","10.1080/10807039.2017.1385384","","Ecological risk assessment of accidental release of flowback water: A conceptual framework"
"","Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000324","","Prioritizing Water Mains for Inspection and Maintenance Considering System Reliability and Risk"
"","Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water","Q13442814","Rehan Sadiq","10.2166/wp.2018.040","","Drinking-water management in Canadian provinces and territories: a review and comparison of management approaches for ensuring safe drinking water"
"","Impacts of Water Quality on the Spatiotemporal Susceptibility of Water Distribution Systems","Q13442814","Rehan Sadiq","10.1002/clen.201800247","","Impacts of Water Quality on the Spatiotemporal Susceptibility of Water Distribution Systems"
"","Life Cycle Thinking–Based Selection of Building Facades","Q13442814","Rehan Sadiq","10.1061/(asce)ae.1943-5568.0000333","","Life Cycle Thinking–Based Selection of Building Facades"
"","IMPAKT: Oil and Gas Pipeline Integrity Management Program Assessment","Q13442814","Rehan Sadiq","10.1061/(asce)ps.1949-1204.0000326","","IMPAKT: Oil and Gas Pipeline Integrity Management Program Assessment"
