"Len","P31","P50","P356","P1476","P1433","P577"
"A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS","Q13442814","Natalie Prystajecky","10.7589/jwd-d-20-00082","A SYSTEMATIC REVIEW AND NARRATIVE SYNTHESIS OF THE USE OF ENVIRONMENTAL SAMPLES FOR THE SURVEILLANCE OF AVIAN INFLUENZA VIRUSES IN WILD WATERBIRDS","Journal of Wildlife Diseases","2021-01-07"
"A chloroperoxidase-like catalyst in soil: detection and characterization of some properties","Q13442814","Gunilla Öberg","10.1016/0038-0717(93)90239-8","A chloroperoxidase-like catalyst in soil: detection and characterization of some properties","Soil Biology and Biochemistry","2002-12-28"
"A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Q13442814","Leila M. Harris","10.1016/j.scitotenv.2013.08.004","A comparative analysis of current microbial water quality risk assessment and management practices in British Columbia and Ontario, Canada","Science of The Total Environment","2013-09-19"
"A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","Q13442814","Rehan Sadiq","10.1007/s13198-014-0318-2","A comparison of membership function shapes in a fuzzy-based fugacity model for disinfection byproducts in indoor swimming pools","International Journal of System Assurance Engineering and Management","2014-12-05"
"A comparison of various uncertainty models: An example of subsurface contaminant transport","Q13442814","Rehan Sadiq","10.1016/j.jher.2011.09.001","A comparison of various uncertainty models: An example of subsurface contaminant transport","Journal of Hydro-environment Research","2011-10-14"
"A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Q13442814","Q57582079","10.1038/s41597-020-00583-2","A comprehensive, multisource database for hydrometeorological modeling of 14,425 North American watersheds","Scientific Data","2020-07-20"
"A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Q13442814","Marwan Hassan","10.1029/2011jg001891","A conceptual model for the growth, persistence, and blooming behavior of the benthic mat-forming diatom Didymosphenia geminata","Journal of Geophysical Research: Biogeosciences","2012-04-18"
"A contribution to harmonize water footprint assessments","Q13442814","Mark Johnson","10.1016/j.gloenvcha.2018.10.004","A contribution to harmonize water footprint assessments","Global Environmental Change","2018-10-25"
"A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Q13442814","Madjid Mohseni","10.1016/j.jwpe.2020.101778","A critical review of advanced oxidation processes for emerging trace organic contaminant degradation: Mechanisms, factors, degradation products, and effluent toxicity","Journal of Water Process Engineering","2020-11-20"
"A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Q13442814","Q56794616","10.1007/s00027-013-0308-5","A cross-continental comparison of stream invertebrate community assembly to assess convergence in forested headwater streams","Aquatic Sciences","2013-09-05"
"A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Q13442814","Marwan Hassan","10.1002/esp.4784","A decadal‐scale numerical model for wandering, cobble‐bedded rivers subject to disturbance","Earth Surface Processes and Landforms","2019-12-12"
"A decision support system for the design and evaluation of sustainable wastewater solutions","Q13442814","Gunilla Öberg","10.1109/tc.2013.140","A decision support system for the design and evaluation of sustainable wastewater solutions","IEEE Transactions on Computers","2013-07-01"
"A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Journal of Water Supply: Research and Technology-Aqua","2014-06-25"
"A discussion","Q13442814","Leila M. Harris","10.1111/j.1751-5823.2011.00170.x","A discussion","International Statistical Review","2012-04-10"
"A framework for the use of artificial neural networks for water treatment: development and application","Q13442814","Pierre Bérubé","10.2166/ws.2020.205","A framework for the use of artificial neural networks for water treatment: development and application","Water Supply","2020-09-03"
"A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Q13442814","Rehan Sadiq","10.1080/15732479.2015.1053093","A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Structure and Infrastructure Engineering","2015-07-17"
"A fuzzy expert system for deterioration modeling of buried metallic pipes","Q13442814","Rehan Sadiq","10.1109/nafips.2004.1336311","A fuzzy expert system for deterioration modeling of buried metallic pipes","IEEE Annual Meeting of the Fuzzy Information, 2004. Processing NAFIPS '04.","2004-11-08"
"A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","Q13442814","Rehan Sadiq","10.1504/ijee.2014.062156","A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","International Journal of Environmental Engineering","2014-06-01"
"A fuzzy rule-based approach for water quality assessment in the distribution network","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608562","A fuzzy rule-based approach for water quality assessment in the distribution network","2013 Joint IFSA World Congress and NAFIPS Annual Meeting (IFSA/NAFIPS)","2013-10-01"
"A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2013.06.061","A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Journal of Cleaner Production","2013-07-12"
"A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2003.12.007","A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Environmental Modelling & Software","2004-03-09"
"A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Q13442814","Rehan Sadiq","10.1007/s10098-016-1322-9","A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Clean Technologies and Environmental Policy","2017-01-02"
"A healthy Fraser River? How will we know when we achieve this state?","Q13442814","Q56794616","10.1007/bf00662799","A healthy Fraser River? How will we know when we achieve this state?","Journal of Aquatic Ecosystem Health","2004-11-27"
"A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Q13442814","Marwan Hassan","10.1007/s10933-010-9485-6","A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Journal of Paleolimnology","2010-12-15"
"A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Q13442814","Madjid Mohseni","10.1039/c8re00306h","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Reaction Chemistry & Engineering","2019-03-11"
"A method of measuring uncertainty for Z-number","Q13442814","Rehan Sadiq","10.1109/tfuzz.2018.2868496","A method of measuring uncertainty for Z-number","IEEE Transactions on Fuzzy Systems","2018-09-03"
"A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Q13442814","Marwan Hassan","10.1016/j.advwatres.2015.10.013","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Advances in Water Resources","2015-11-10"
"A model for analyzing water reuse and resource recovery potential in urban areas","Q13442814","Pierre Bérubé","10.1139/l2012-109","A model for analyzing water reuse and resource recovery potential in urban areas","Canadian Journal of Civil Engineering","2012-11-09"
"A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Q13442814","Q56794616","10.2478/remc-2014-0001","A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Riparian Ecology and Conservation","2014-06-05"
"A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","Q13442814","Valentina Radić","10.5194/tc-13-1051-2019","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","The Cryosphere","2019-04-02"
"A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Q13442814","Marwan Hassan","10.1029/2012jf002400","A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Journal of Geophysical Research: Earth Surface","2012-10-09"
"A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","A new closeness centrality measure via effective distance in complex networks","Chaos: An Interdisciplinary Journal of Nonlinear Science","2015-03-24"
"A new method in failure mode and effects analysis based on evidential reasoning","Q13442814","Rehan Sadiq","10.1109/access.2019.2934495","A new method in failure mode and effects analysis based on evidential reasoning","IEEE Access","2019-08-12"
"A new method of mapping relations from data based on artificial neural network","Q13442814","Rehan Sadiq","10.1007/s13198-013-0204-3","A new method of mapping relations from data based on artificial neural network","International Journal of System Assurance Engineering and Management","2013-10-31"
"A new method to construct co-author networks","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.10.006","A new method to construct co-author networks","Physica A: Statistical Mechanics and its Applications","2014-10-15"
"A new method to determine basic probability assignment using core samples","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.06.015","A new method to determine basic probability assignment using core samples","Knowledge-Based Systems","2014-07-09"
"A new weighting factor in combining belief function","Q13442814","Rehan Sadiq","10.1371/journal.pone.0177695","A new weighting factor in combining belief function","PLOS ONE","2017-05-25"
"A philosophical basis for hydrological uncertainty","Q13442814","Steven Weijs","10.1080/02626667.2016.1183009","A philosophical basis for hydrological uncertainty","Hydrological Sciences Journal","2016-04-27"
"A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122372","A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Journal of Cleaner Production","2020-05-25"
"A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Q13442814","Madjid Mohseni","10.1080/10934529.2013.774608","A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Journal of Environmental Science and Health, Part A","2013-07-09"
"A reduced-complexity model for sediment transport and step-pool morphology","Q13442814","Marwan Hassan","10.5194/esurf-4-549-2016","A reduced-complexity model for sediment transport and step-pool morphology","Earth Surface Dynamics","2016-07-20"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1007/978-90-481-2500-5_5","A review of drought indices","Drought Assessment","2010-09-06"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","A review of drought indices","Environmental Reviews","2011-09-13"
"A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Q13442814","Mark Johnson","10.5194/hess-20-2179-2016","A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Hydrology and Earth System Sciences","2016-06-07"
"A review of multi-criteria decision-making methods for infrastructure management","Q13442814","Rehan Sadiq","10.1080/15732479.2013.795978","A review of multi-criteria decision-making methods for infrastructure management","Structure and Infrastructure Engineering","2013-05-29"
"A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2011.04.005","A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Journal of Cleaner Production","2011-04-30"
"A simple, direct method to measure dissolved CO2 using soda lime","Q13442814","Mark Johnson","10.4257/oeco.2008.1201.08","A simple, direct method to measure dissolved CO2 using soda lime","Oecologia Australis","2009-08-31"
"A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2015.03.036","A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Journal of Hazardous Materials","2015-03-26"
"A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Q13442814","Madjid Mohseni","10.1016/j.watres.2004.03.002","A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Water Research","2004-05-08"
"A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Q13442814","Madjid Mohseni","10.3390/en9020078","A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Energies","2016-01-28"
"A test of the umbrella species approach in restored floodplain ponds","Q13442814","Q56794616","10.1111/1365-2664.12248","A test of the umbrella species approach in restored floodplain ponds","Journal of Applied Ecology","2014-03-07"
"AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Q13442814","Rehan Sadiq","10.1080/09640568.2014.920704","AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Journal of Environmental Planning and Management","2014-06-11"
"Abrupt drainage basin reorganization following a Pleistocene river capture","Q13442814","Marwan Hassan","10.1038/s41467-018-06238-6","Abrupt drainage basin reorganization following a Pleistocene river capture","Nature Communications","2018-09-10"
"Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Q13442814","Q56794616","10.1898/1051-1733-90.2.163","Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Northwestern Naturalist","2009-08-14"
"Academia in the Time of COVID-19: Towards an Ethics of Care","Q13442814","Jordi Honey-Rosés","10.1080/14649357.2020.1757891","Academia in the Time of COVID-19: Towards an Ethics of Care","Planning Theory & Practice","2020-05-18"
"Academic Snobbishness and Interdisciplinary Studies","Q13442814","Gunilla Öberg","10.36941/ajis","Academic Snobbishness and Interdisciplinary Studies","Richtmann Publishing","2020-01-25"
"Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth","Q13442814","Steven Weijs","10.1175/2011mwr3573.1","Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth","Monthly Weather Review","2011-03-11"
"Acute ecological risk associated with soot deposition: a Persian Gulf case study","Q13442814","Rehan Sadiq","10.1016/s0029-8018(00)00053-6","Acute ecological risk associated with soot deposition: a Persian Gulf case study","Ocean Engineering","2002-10-14"
"Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Q13442814","Rehan Sadiq","10.1016/j.watres.2012.03.061","Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Water Research","2012-04-05"
"Advancing catchment hydrology to deal with predictions under change","Q13442814","Steven Weijs","10.5194/hess-18-649-2014","Advancing catchment hydrology to deal with predictions under change","Hydrology and Earth System Sciences","2014-02-19"
"Advancing human capabilities for water security: A relational approach","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.07.001","Advancing human capabilities for water security: A relational approach","Water Security","2017-07-14"
"Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.09.001","Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Water Security","2017-11-20"
"Ageing of membranes for water treatment: Linking changes to performance","Q13442814","Pierre Bérubé","10.1016/j.memsci.2015.12.033","Ageing of membranes for water treatment: Linking changes to performance","Journal of Membrane Science","2015-12-23"
"Aggregative risk analysis for water quality failure in distribution networks","Q13442814","Rehan Sadiq","10.2166/aqua.2004.0020","Aggregative risk analysis for water quality failure in distribution networks","Journal of Water Supply: Research and Technology-Aqua","2018-05-18"
"Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Q13442814","Q56794616","10.1139/z06-141","Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Canadian Journal of Zoology","2006-12-08"
"Air sparging for fouling control","Q13442814","Pierre Bérubé","10.1016/b978-0-12-819809-4.00011-5","Air sparging for fouling control","Current Developments in Biotechnology and Bioengineering","2020-02-07"
"An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Q13442814","Rehan Sadiq","10.1108/14637150610710927","An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Business Process Management Journal","2007-01-15"
"An aggregative fuzzy risk analysis for flood incident management","Q13442814","Rehan Sadiq","10.1007/s13198-011-0053-x","An aggregative fuzzy risk analysis for flood incident management","International Journal of System Assurance Engineering and Management","2011-04-19"
"An evidential game theory framework in multi-criteria decision making process","Q13442814","Rehan Sadiq","10.1016/j.amc.2014.07.065","An evidential game theory framework in multi-criteria decision making process","Applied Mathematics and Computation","2014-08-07"
"An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01027.x","An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Journal of Animal Ecology","2005-12-20"
"An information-theoretical perspective on weighted ensemble forecasts","Q13442814","Steven Weijs","10.1016/j.jhydrol.2013.06.033","An information-theoretical perspective on weighted ensemble forecasts","Journal of Hydrology","2013-06-27"
"An integrated approach to environmental decision-making for offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.psep.2012.05.001","An integrated approach to environmental decision-making for offshore oil and gas operations","Process Safety and Environmental Protection","2012-05-17"
"An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.03.192","An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Journal of Cleaner Production","2018-03-21"
"An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Q13442814","Rehan Sadiq","10.1016/j.psep.2019.08.002","An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Process Safety and Environmental Protection","2019-08-11"
"An integrated performance assessment framework for water treatment plants","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.12.006","An integrated performance assessment framework for water treatment plants","Water Research","2011-12-13"
"An overview of UV-based advanced oxidation processes for drinking water treatment","Q13442814","Madjid Mohseni","10.1016/b978-0-12-382182-9.00031-1","An overview of UV-based advanced oxidation processes for drinking water treatment","Comprehensive Water Quality and Purification","2013-10-22"
"An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Q13442814","Rehan Sadiq","10.1007/s10098-014-0714-y","An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Clean Technologies and Environmental Policy","2014-01-22"
"An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Q13442814","Rehan Sadiq","10.1007/s10098-012-0481-6","An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Clean Technologies and Environmental Policy","2012-03-24"
"Anaerobic codigester feeding pattern drives long-chain fatty acid bioconversion kinetics and syntrophic community structure","Q13442814","Q88314953","10.2175/193864717821495726","Anaerobic codigester feeding pattern drives long-chain fatty acid bioconversion kinetics and syntrophic community structure","Proceedings of the Water Environment Federation","2017-09-05"
"Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics","Q13442814","Q88314953","10.2175/193864717822152248","Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics","Proceedings of the Water Environment Federation","2017-11-28"
"Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring","Q13442814","Gunilla Öberg","10.1016/0045-6535(96)00089-6","Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring","Chemosphere","2002-07-26"
"Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Q13442814","Valentina Radić","10.3189/002214308786570809","Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Journal of Glaciology","2008-11-27"
"Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2016-0315","Analytical quantification of electrochemical ferrates for drinking water treatments","Canadian Journal of Chemistry","2016-10-28"
"Analyzing energy options for small-scale off-grid communities: A Canadian case study","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119320","Analyzing energy options for small-scale off-grid communities: A Canadian case study","Journal of Cleaner Production","2019-11-18"
"Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Q13442814","Rehan Sadiq","10.1016/j.wasman.2020.10.001","Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Waste Management","2020-10-22"
"Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2011.08.010","Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Process Safety and Environmental Protection","2011-09-11"
"Anchoring your Canoe","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch9","Anchoring your Canoe","Interdisciplinary Environmental Studies","2011-06-27"
"Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer","Q13442814","Jongho Lee","10.1021/acs.est.6b05992.s001","Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer","American Chemical Society (ACS)","2020-04-07"
"Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Q13442814","Rehan Sadiq","10.3390/membranes11030213","Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Membranes","2021-03-18"
"Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212","Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation","ACS Applied Materials & Interfaces","2019-05-06"
"Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212.s001","Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation","American Chemical Society (ACS)","2020-04-09"
"Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water","Q13442814","Nicolas Peleato","10.1007/s11157-011-9243-x","Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water","Reviews in Environmental Science and Bio/Technology","2011-08-11"
"Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures","Q13442814","Steven Weijs","10.3390/e20030207","Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures","Entropy","2018-03-20"
"Application of SMR to modeling watersheds in the Catskill Mountains","Q13442814","Mark Johnson","10.1023/b:enmo.0000032096.13649.92","Application of SMR to modeling watersheds in the Catskill Mountains","Environmental Modeling & Assessment","2004-06-17"
"Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Q13442814","Mark Johnson","10.1016/j.jenvman.2016.12.066","Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Journal of Environmental Management","2017-02-03"
"Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Q13442814","Rehan Sadiq","10.1016/j.tox.2012.11.010","Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Toxicology","2012-12-04"
"Application of decision support systems in water management","Q13442814","Rehan Sadiq","10.1139/er-2013-0034","Application of decision support systems in water management","Environmental Reviews","2013-10-25"
"Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Q13442814","Valentina Radić","10.3390/e20030207","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Entropy","2018-03-20"
"Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2019.112198","Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Journal of Photochemistry and Photobiology A: Chemistry","2019-11-06"
"Application of neuro-fuzzy based expert system in water quality assessment","Q13442814","Rehan Sadiq","10.1007/s13198-014-0315-5","Application of neuro-fuzzy based expert system in water quality assessment","International Journal of System Assurance Engineering and Management","2014-12-08"
"Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Q13442814","Pierre Bérubé","10.1002/ceat.201400026","Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Chemical Engineering & Technology","2014-05-12"
"Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Q13442814","Mark Johnson","10.1016/j.jhydrol.2003.07.005","Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Journal of Hydrology","2003-10-15"
"Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Q13442814","Madjid Mohseni","10.1016/j.watres.2016.03.003","Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Water Research","2016-03-02"
