"qid","Len","P31","P50","P356","P921","P1476"
"","Litterfall production and fluvial export in headwater catchments of the southern Amazon","Q13442814","('Mark\xa0Johnson',)","10.1017/s0266467406003956","water","Litterfall production and fluvial export in headwater catchments of the southern Amazon"
"","Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation","Q13442814","('Mark\xa0Johnson',)","10.1016/j.geoderma.2020.114177","soil","Mapping soil organic carbon and clay using remote sensing to predict soil workability for enhanced climate change adaptation"
"","Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada","Q13442814","('Mark\xa0Johnson',)","10.1016/j.agrformet.2020.108152","agronomy and crop science","Measurements of Greenhouse Gas Exchange over a Conventionally Managed Highbush Blueberry Field in the Fraser River Delta in BC, Canada"
"","Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year","Q13442814","('Mark\xa0Johnson',)","10.1111/j.1365-2486.2010.02298.x","modeling","Modeling to discern nitrogen fertilization impacts on carbon sequestration in a Pacific Northwest Douglas‐fir forest in the first‐postfertilization year"
"","Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte","Q13442814","('Mark\xa0Johnson',)","10.1590/s0100-06832013000300009","agronomy and crop science","Monitoramento contínuo do potencial redox e de variáveis complementares em ambiente hipersazonal no pantanal norte"
"","Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes","Q13442814","('Mark\xa0Johnson',)","10.1029/2019jg005123","restoration","Net ecosystem carbon balance of a peat bog undergoing restoration: integrating CO2 and CH4 fluxes from eddy covariance and aquatic evasion with DOC drainage fluxes"
"","Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia","Q13442814","('Mark\xa0Johnson',)","10.1111/j.1365-2486.2009.02068.x","soil","Nitrogen aboveground turnover and soil stocks to 8 m depth in primary and selectively logged forest in southern Amazonia"
"","Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2015.01.021","","Nitrogen enrichment potential of biochar in relation to pyrolysis temperature and feedstock quality"
"","Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon","Q13442814","('Mark\xa0Johnson',)","10.1002/hyp.6218","water","Organic carbon fluxes within and streamwater exports from headwater catchments in the southern Amazon"
"","PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education","Q13442814","('Mark\xa0Johnson',)","10.1525/bio.2009.59.6.10","environmental","PS 44-82: Training tomorrow's environmental problem-solvers: An integrative approach to graduate education"
"","Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species","Q13442814","('Mark\xa0Johnson',)","10.1111/jvs.12379","wetland","Physiological responses to extreme hydrological events in the Pantanal wetland: heterogeneity of a plant community containing super‐dominant species"
"","Public participation and perceptions of watershed modeling","Q13442814","('Mark\xa0Johnson',)","10.1080/08941920802220347","modeling","Public participation and perceptions of watershed modeling"
"","Radiative forcing of methane fluxes offsets net carbon dioxide uptake for a tropical flooded forest","Q13442814","('Mark\xa0Johnson',)","10.1111/gcb.14615","ecology","Radiative forcing of methane fluxes offsets net carbon dioxide uptake for a tropical flooded forest"
"","Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia","Q13442814","('Mark\xa0Johnson',)","10.1016/j.agrformet.2018.03.023","water","Rain-fed and irrigated cropland-atmosphere water fluxes and their implications for agricultural production in Southern Amazonia"
"","Relationships between soil hydrology and forest structure and composition in the southern Brazilian Amazon","Q13442814","('Mark\xa0Johnson',)","10.1111/j.1654-1103.2007.tb02529.x","hydrology","Relationships between soil hydrology and forest structure and composition in the southern Brazilian Amazon"
"","Relative humidity gradients as a key constraint on terrestrial water and energy fluxes","Q13442814","('Mark\xa0Johnson',)","10.31223/x59880","water","Relative humidity gradients as a key constraint on terrestrial water and energy fluxes"
"","Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds","Q13442814","('Mark\xa0Johnson',)","10.1007/s10533-011-9597-8","water","Runoff sources and land cover change in the Amazon: an end-member mixing analysis from small watersheds"
"","Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy","Q13442814","('Mark\xa0Johnson',)","10.2134/ael2015.12.0014","soil","Simultaneous Measurements of Soil CO2 and CH4 Fluxes Using Laser Absorption Spectroscopy"
"","Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential","Q13442814","('Mark\xa0Johnson',)","10.1371/journal.pone.0064874","soil","Soil CO 2 Dynamics in a Tree Island Soil of the Pantanal: The Role of Soil Water Potential"
"","Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland","Q13442814","('Mark\xa0Johnson',)","10.1002/2017jg003877","soil","Soil CO2 concentrations and efflux dynamics of a tree island in the Pantanal wetland"
"","Spatial and temporal variability of soil water repellency of Amazonian pastures","Q13442814","('Mark\xa0Johnson',)","10.1071/sr04097","soil","Spatial and temporal variability of soil water repellency of Amazonian pastures"
"","Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system","Q13442814","('Mark\xa0Johnson',)","10.1002/2017jg003797","wetland","Spatial patterns of DOC concentration and DOM optical properties in a Brazilian tropical river‐wetland system"
"","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment","Q13442814","('Mark\xa0Johnson',)","10.1002/essoar.95a79bd46e3a0342.6bebb835b5a94839.1","water","Spectral entropy as a mean to quantify water stress history for natural vegetation and irrigated agriculture in a water-stressed tropical environment"
"","Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation","Q13442814","('Mark\xa0Johnson',)","10.1029/2007wr006359","water","Storm pulses of dissolved CO2 in a forested headwater Amazonian stream explored using hydrograph separation"
"","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation","Q13442814","('Mark\xa0Johnson',)","10.1175/2012ei000439.1","soil","Stream Discharge in Tropical Headwater Catchments as a Result of Forest Clearing and Soil Degradation"
"","Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient","Q13442814","('Mark\xa0Johnson',)","10.1007/s10705-013-9554-0","soil","Stream water nutrient and organic carbon exports from tropical headwater catchments at a soil degradation gradient"
"","Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia","Q13442814","('Mark\xa0Johnson',)","10.3390/w11020390","streams","Streams with Riparian Forest Buffers versus Impoundments Differ in Discharge and DOM Characteristics for Pasture Catchments in Southern Amazonia"
"","Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream","Q13442814","('Mark\xa0Johnson',)","10.3390/s120403798","water","Submersible UV-Vis spectroscopy for quantifying streamwater organic carbon dynamics: Implementation and challenges before and after forest harvest in a headwater stream"
"","Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting.","Q13442814","('Mark\xa0Johnson',)","10.5194/bg-14-2799-2017","restoration","Summertime greenhouse gas fluxes from an urban bog undergoing restoration through rewetting."
"","Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil","Q13442814","('Mark\xa0Johnson',)","10.1080/03680770.1995.11900941","soil","Temporal dynamics of soil CO2 efflux in the Northern Pantanal of Mato Grosso, Brazil"
"","Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis","Q13442814","('Mark\xa0Johnson',)","10.2136/sssaj2012.0039","land","Temporal variability of nitrous oxide from fertilized croplands: hot moment analysis"
"","The role of rivers in the regional carbon balance","Q13442814","('Mark\xa0Johnson',)","10.1029/2008gm000734","rivers","The role of rivers in the regional carbon balance"
"","Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia","Q13442814","('Mark\xa0Johnson',)","10.1016/j.scitotenv.2020.138994","british columbia","Tracking changes in soil organic carbon across the heterogeneous agricultural landscape of the Lower Fraser Valley of British Columbia"
"","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves","Q13442814","('Mark\xa0Johnson',)","10.1161/circulationaha.109.924613","","Transcatheter Valve-in-Valve Implantation for Failed Bioprosthetic Heart Valves"
"","Variabilidade espacial de atributos físicos de solo usada na identificação de classes pedológicas de microbacias na Amazônia meridional","Q13442814","('Mark\xa0Johnson',)","10.1590/s0100-06832007000100010","agronomy and crop science","Variabilidade espacial de atributos físicos de solo usada na identificação de classes pedológicas de microbacias na Amazônia meridional"
"","Variação Sazonal do Carbono Orgânico Dissolvido (COD) e Propriedades Ópticas da Matéria Orgânica em Diferentes Sistemas de Pastagem e de Soja no Estado de Mato Grosso","Q13442814","('Mark\xa0Johnson',)","10.5902/2179460x27649","","Variação Sazonal do Carbono Orgânico Dissolvido (COD) e Propriedades Ópticas da Matéria Orgânica em Diferentes Sistemas de Pastagem e de Soja no Estado de Mato Grosso"
"","Water quality and greenhouse gas fluxes for stormwater detained in a constructed wetland","Q13442814","('Mark\xa0Johnson',)","10.1016/j.jenvman.2018.10.106","water","Water quality and greenhouse gas fluxes for stormwater detained in a constructed wetland"
"","Water use by terrestrial ecosystems: temporal variability in rainforest and agricultural contributions to evapotranspiration in Mato Grosso, Brazil","Q13442814","('Mark\xa0Johnson',)","10.1088/1748-9326/7/2/024024","water","Water use by terrestrial ecosystems: temporal variability in rainforest and agricultural contributions to evapotranspiration in Mato Grosso, Brazil"
"","Water use dynamics in double cropping of rainfed upland rice and irrigated melons produced under drought‐prone tropical conditions","Q13442814","('Mark\xa0Johnson',)","10.1029/2018wr023757","water","Water use dynamics in double cropping of rainfed upland rice and irrigated melons produced under drought‐prone tropical conditions"
"","Watershed services in the humid tropics: Opportunities from recent advances in ecohydrology","Q13442814","('Mark\xa0Johnson',)","10.1002/eco.1921","ecohydrology","Watershed services in the humid tropics: Opportunities from recent advances in ecohydrology"
