"Len","P31","P50","P356","P1476"
"A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach","Q13442814","Rehan Sadiq","10.2166/aqua.2013.305","A decision support tool for water mains renewal for small to medium sized utilities: a risk index approach"
"A discussion","Q13442814","Leila M. Harris","10.1111/j.1751-5823.2011.00170.x","A discussion"
"A framework for the use of artificial neural networks for water treatment: development and application","Q13442814","Pierre Bérubé","10.2166/ws.2020.205","A framework for the use of artificial neural networks for water treatment: development and application"
"A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines","Q13442814","Rehan Sadiq","10.1080/15732479.2015.1053093","A fuzzy Bayesian belief network for safety assessment of oil and gas pipelines"
"A fuzzy expert system for deterioration modeling of buried metallic pipes","Q13442814","Rehan Sadiq","10.1109/nafips.2004.1336311","A fuzzy expert system for deterioration modeling of buried metallic pipes"
"A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge","Q13442814","Rehan Sadiq","10.1504/ijee.2014.062156","A fuzzy rule-based approach for modelling effects of bench-scale microwave pre-treatment on solubilisation and anaerobic digestion of secondary sludge"
"A fuzzy rule-based approach for water quality assessment in the distribution network","Q13442814","Rehan Sadiq","10.1109/ifsa-nafips.2013.6608562","A fuzzy rule-based approach for water quality assessment in the distribution network"
"A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2013.06.061","A fuzzy-based approach for characterization of uncertainties in emergy synthesis: an example of paved road system"
"A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste","Q13442814","Rehan Sadiq","10.1016/j.envsoft.2003.12.007","A fuzzy-based methodology for an aggregative environmental risk assessment: a case study of drilling waste"
"A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada","Q13442814","Rehan Sadiq","10.1007/s10098-016-1322-9","A health-based life cycle impact assessment (LCIA) for cement manufacturing: a comparative study of China and Canada"
"A healthy Fraser River? How will we know when we achieve this state?","Q13442814","Q56794616","10.1007/bf00662799","A healthy Fraser River? How will we know when we achieve this state?"
"A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada","Q13442814","Marwan Hassan","10.1007/s10933-010-9485-6","A lake sediment-based proxy of floods in the Rocky Mountain Front Ranges, Canada"
"A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions","Q13442814","Madjid Mohseni","10.1039/c8re00306h","A membrane-based electrochemical flow reactor for generation of ferrates at near neutral pH conditions"
"A method of measuring uncertainty for Z-number","Q13442814","Rehan Sadiq","10.1109/tfuzz.2018.2868496","A method of measuring uncertainty for Z-number"
"A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds","Q13442814","Marwan Hassan","10.1016/j.advwatres.2015.10.013","A model based on Hirano-Exner equations for two-dimensional transient flows over heterogeneous erodible beds"
"A model for analyzing water reuse and resource recovery potential in urban areas","Q13442814","Pierre Bérubé","10.1139/l2012-109","A model for analyzing water reuse and resource recovery potential in urban areas"
"A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams","Q13442814","Q56794616","10.2478/remc-2014-0001","A model-based comparison of organic matter dynamics between riparian-forested and open-canopy streams"
"A multi-season investigation of glacier surface roughness lengths through in situ and remote observation.","Q13442814","Valentina Radić","10.5194/tc-13-1051-2019","A multi-season investigation of glacier surface roughness lengths through in situ and remote observation."
"A network model for prediction and diagnosis of sediment dynamics at the watershed scale","Q13442814","Marwan Hassan","10.1029/2012jf002400","A network model for prediction and diagnosis of sediment dynamics at the watershed scale"
"A new closeness centrality measure via effective distance in complex networks","Q13442814","Rehan Sadiq","10.1063/1.4916215","A new closeness centrality measure via effective distance in complex networks"
"A new method in failure mode and effects analysis based on evidential reasoning","Q13442814","Rehan Sadiq","10.1109/access.2019.2934495","A new method in failure mode and effects analysis based on evidential reasoning"
"A new method of mapping relations from data based on artificial neural network","Q13442814","Rehan Sadiq","10.1007/s13198-013-0204-3","A new method of mapping relations from data based on artificial neural network"
"A new method to construct co-author networks","Q13442814","Rehan Sadiq","10.1016/j.physa.2014.10.006","A new method to construct co-author networks"
"A new method to determine basic probability assignment using core samples","Q13442814","Rehan Sadiq","10.1016/j.knosys.2014.06.015","A new method to determine basic probability assignment using core samples"
"A new weighting factor in combining belief function","Q13442814","Rehan Sadiq","10.1371/journal.pone.0177695","A new weighting factor in combining belief function"
"A philosophical basis for hydrological uncertainty","Q13442814","Steven Weijs","10.1080/02626667.2016.1183009","A philosophical basis for hydrological uncertainty"
"A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122372","A process-based LCA for selection of low-impact DBPs control strategy for indoor swimming pool operation"
"A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water","Q13442814","Madjid Mohseni","10.1080/10934529.2013.774608","A rapid technique for assessing assimilable organic carbon of UV/H2O2-treated water"
"A reduced-complexity model for sediment transport and step-pool morphology","Q13442814","Marwan Hassan","10.5194/esurf-4-549-2016","A reduced-complexity model for sediment transport and step-pool morphology"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1007/978-90-481-2500-5_5","A review of drought indices"
"A review of drought indices","Q13442814","Rehan Sadiq","10.1139/a11-013","A review of drought indices"
"A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?","Q13442814","Mark Johnson","10.5194/hess-20-2179-2016","A review of green-and blue-water resources and their trade-offs for future agricultural production in the Amazon Basin: what could irrigated agriculture mean for Amazonia?"
"A review of multi-criteria decision-making methods for infrastructure management","Q13442814","Rehan Sadiq","10.1080/15732479.2013.795978","A review of multi-criteria decision-making methods for infrastructure management"
"A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2011.04.005","A rough set-based quality function deployment (QFD) approach for environmental performance evaluation: a case of offshore oil and gas operations"
"A simple, direct method to measure dissolved CO2 using soda lime","Q13442814","Mark Johnson","10.4257/oeco.2008.1201.08","A simple, direct method to measure dissolved CO2 using soda lime"
"A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water","Q13442814","Madjid Mohseni","10.1016/j.jhazmat.2015.03.036","A study of enhanced performance of VUV/UV process for the degradation of micropollutants from contaminated water"
"A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide","Q13442814","Madjid Mohseni","10.1016/j.watres.2004.03.002","A study on the relationship between biodegradability enhancement and oxidation of 1, 4-dioxane using ozone and hydrogen peroxide"
"A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations","Q13442814","Madjid Mohseni","10.3390/en9020078","A systematic study of separators in air-breathing flat-plate microbial fuel cells—Part 1: Structure, properties, and performance correlations"
"A test of the umbrella species approach in restored floodplain ponds","Q13442814","Q56794616","10.1111/1365-2664.12248","A test of the umbrella species approach in restored floodplain ponds"
"AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver","Q13442814","Rehan Sadiq","10.1080/09640568.2014.920704","AHP based life cycle sustainability assessment (LCSA) framework: a case study of six storey wood frame and concrete frame buildings in Vancouver"
"Abrupt drainage basin reorganization following a Pleistocene river capture","Q13442814","Marwan Hassan","10.1038/s41467-018-06238-6","Abrupt drainage basin reorganization following a Pleistocene river capture"
"Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …","Q13442814","Q56794616","10.1898/1051-1733-90.2.163","Abstracts from the 2009 Joint Annual Meeting of the Society for Northwestern Vertebrate Biology and Washington Chapter of the Wildlife Society, Held at Skamania Lodge …"
"Academia in the Time of COVID-19: Towards an Ethics of Care","Q13442814","Jordi Honey-Rosés","10.1080/14649357.2020.1757891","Academia in the Time of COVID-19: Towards an Ethics of Care"
"Academic Snobbishness and Interdisciplinary Studies","Q13442814","Gunilla Öberg","10.36941/ajis","Academic Snobbishness and Interdisciplinary Studies"
"Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth","Q13442814","Steven Weijs","10.1175/2011mwr3573.1","Accounting for observational uncertainty in forecast verification: An information-theoretical view on forecasts, observations, and truth"
"Acute ecological risk associated with soot deposition: a Persian Gulf case study","Q13442814","Rehan Sadiq","10.1016/s0029-8018(00)00053-6","Acute ecological risk associated with soot deposition: a Persian Gulf case study"
"Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …","Q13442814","Rehan Sadiq","10.1016/j.watres.2012.03.061","Adaptation and evaluation of the Canadian Council of Ministers of the Environment Water Quality Index (CCME WQI) for use as an effective tool to characterize drinking source …"
"Advancing catchment hydrology to deal with predictions under change","Q13442814","Steven Weijs","10.5194/hess-18-649-2014","Advancing catchment hydrology to deal with predictions under change"
"Advancing human capabilities for water security: A relational approach","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.07.001","Advancing human capabilities for water security: A relational approach"
"Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance","Q13442814","Leila M. Harris","10.1016/j.wasec.2017.09.001","Advancing methods for research on household water insecurity: Studying entitlements and capabilities, socio-cultural dynamics, and political processes, institutions and governance"
"Ageing of membranes for water treatment: Linking changes to performance","Q13442814","Pierre Bérubé","10.1016/j.memsci.2015.12.033","Ageing of membranes for water treatment: Linking changes to performance"
"Aggregative risk analysis for water quality failure in distribution networks","Q13442814","Rehan Sadiq","10.2166/aqua.2004.0020","Aggregative risk analysis for water quality failure in distribution networks"
"Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?","Q13442814","Q56794616","10.1139/z06-141","Agonistic behaviours and movement in the signal crayfish, Pacifastacus leniusculus: can dominance interactions influence crayfish size-class distributions in streams?"
"Air sparging for fouling control","Q13442814","Pierre Bérubé","10.1016/b978-0-12-819809-4.00011-5","Air sparging for fouling control"
"An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes","Q13442814","Rehan Sadiq","10.1108/14637150610710927","An Integrated Approach for Risk-based Life Cycle Assessment and Multi-criteria Decision-making: Selection, Design and Evaluation of Cleaner and Greener Processes"
"An aggregative fuzzy risk analysis for flood incident management","Q13442814","Rehan Sadiq","10.1007/s13198-011-0053-x","An aggregative fuzzy risk analysis for flood incident management"
"An evidential game theory framework in multi-criteria decision making process","Q13442814","Rehan Sadiq","10.1016/j.amc.2014.07.065","An evidential game theory framework in multi-criteria decision making process"
"An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01027.x","An experimental test of the effects of food resources and hydraulic refuge on patch colonization by stream macroinvertebrates during spates"
"An information-theoretical perspective on weighted ensemble forecasts","Q13442814","Steven Weijs","10.1016/j.jhydrol.2013.06.033","An information-theoretical perspective on weighted ensemble forecasts"
"An integrated approach to environmental decision-making for offshore oil and gas operations","Q13442814","Rehan Sadiq","10.1016/j.psep.2012.05.001","An integrated approach to environmental decision-making for offshore oil and gas operations"
"An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2018.03.192","An integrated chemical management methodology for hydraulic fracturing: A fuzzy-based indexing approach"
"An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment","Q13442814","Rehan Sadiq","10.1016/j.psep.2019.08.002","An integrated hazard screening and indexing system for hydraulic fracturing chemical assessment"
"An integrated performance assessment framework for water treatment plants","Q13442814","Rehan Sadiq","10.1016/j.watres.2011.12.006","An integrated performance assessment framework for water treatment plants"
"An overview of UV-based advanced oxidation processes for drinking water treatment","Q13442814","Madjid Mohseni","10.1016/b978-0-12-382182-9.00031-1","An overview of UV-based advanced oxidation processes for drinking water treatment"
"An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada","Q13442814","Rehan Sadiq","10.1007/s10098-014-0714-y","An overview of air emission intensities and environmental performance of grey cement manufacturing in Canada"
"An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability","Q13442814","Rehan Sadiq","10.1007/s10098-012-0481-6","An overview of construction and demolition waste management in Canada: a lifecycle analysis approach to sustainability"
"Anaerobic codigester feeding pattern drives long-chain fatty acid bioconversion kinetics and syntrophic community structure","Q13442814","Q88314953","10.2175/193864717821495726","Anaerobic codigester feeding pattern drives long-chain fatty acid bioconversion kinetics and syntrophic community structure"
"Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics","Q13442814","Q88314953","10.2175/193864717822152248","Anaerobic codigester feeding strategy selects for microbial communities with higher FOG degradation kinetics"
"Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring","Q13442814","Gunilla Öberg","10.1016/0045-6535(96)00089-6","Analysis of halogenated organic compounds in coniferous forest soil from a Lepista nuda (wood blewitt) fairy ring"
"Analysis of scaling methods in deriving future volume evolutions of valley glaciers","Q13442814","Valentina Radić","10.3189/002214308786570809","Analysis of scaling methods in deriving future volume evolutions of valley glaciers"
"Analytical quantification of electrochemical ferrates for drinking water treatments","Q13442814","Madjid Mohseni","10.1139/cjc-2016-0315","Analytical quantification of electrochemical ferrates for drinking water treatments"
"Analyzing energy options for small-scale off-grid communities: A Canadian case study","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119320","Analyzing energy options for small-scale off-grid communities: A Canadian case study"
"Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India","Q13442814","Rehan Sadiq","10.1016/j.wasman.2020.10.001","Analyzing present and future availability of critical high-tech minerals in waste cellphones: A case study of India"
"Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach","Q13442814","Rehan Sadiq","10.1016/j.psep.2011.08.010","Analyzing system safety and risks under uncertainty using a bow-tie diagram: An innovative approach"
"Anchoring your Canoe","Q13442814","Gunilla Öberg","10.1002/9781444328486.ch9","Anchoring your Canoe"
"Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer","Q13442814","Jongho Lee","10.1021/acs.est.6b05992.s001","Antifouling Thin-Film Composite Membranes by Controlled Architecture of Zwitterionic Polymer Brush Layer"
"Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes","Q13442814","Rehan Sadiq","10.3390/membranes11030213","Antifouling and Flux Enhancement of Reverse Osmosis Membrane by Grafting Poly (3-Sulfopropyl Methacrylate) Brushes"
"Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212","Antiwetting and Antifouling Janus Membrane for Desalination of Saline Oily Wastewater by Membrane Distillation"
"Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation","Q13442814","Jongho Lee","10.1021/acsami.9b04212.s001","Antiwetting and antifouling janus membrane for desalination of saline oily wastewater by membrane distillation"
"Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water","Q13442814","Nicolas Peleato","10.1007/s11157-011-9243-x","Application and refinement of fluorescence spectroscopy for organic matter characterization in drinking water"
"Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures","Q13442814","Steven Weijs","10.3390/e20030207","Application of Entropy Ensemble Filter in Neural Network Forecasts of Tropical Pacific Sea Surface Temperatures"
"Application of SMR to modeling watersheds in the Catskill Mountains","Q13442814","Mark Johnson","10.1023/b:enmo.0000032096.13649.92","Application of SMR to modeling watersheds in the Catskill Mountains"
"Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil","Q13442814","Mark Johnson","10.1016/j.jenvman.2016.12.066","Application of biochar and nitrogen influences fluxes of CO2, CH4 and N2O in a forest soil"
"Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites","Q13442814","Rehan Sadiq","10.1016/j.tox.2012.11.010","Application of data fusion in human health risk assessment for hydrocarbon mixtures on contaminated sites"
"Application of decision support systems in water management","Q13442814","Rehan Sadiq","10.1139/er-2013-0034","Application of decision support systems in water management"
"Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures","Q13442814","Valentina Radić","10.3390/e20030207","Application of entropy ensemble filter in neural network forecasts of Tropical Pacific Sea Surface temperatures"
"Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization","Q13442814","Madjid Mohseni","10.1016/j.jphotochem.2019.112198","Application of impinging jet atomization in UV/H2O2 reactor operation: Design, evaluation, and optimization"
"Application of neuro-fuzzy based expert system in water quality assessment","Q13442814","Rehan Sadiq","10.1007/s13198-014-0315-5","Application of neuro-fuzzy based expert system in water quality assessment"
"Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice","Q13442814","Pierre Bérubé","10.1002/ceat.201400026","Application of the electrodiffusion method to measure wall shear stress: integrating theory and practice"
"Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR","Q13442814","Mark Johnson","10.1016/j.jhydrol.2003.07.005","Application of two hydrologic models with different runoff mechanisms to a hillslope dominated watershed in the northeastern US: a comparison of HSPF and SMR"
"Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review","Q13442814","Madjid Mohseni","10.1016/j.watres.2016.03.003","Application of ultraviolet light-emitting diodes (UV-LEDs) for water disinfection: A review"
"Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment","Q13442814","Nicolas Peleato","10.1016/j.memsci.2011.05.013","Applications of Principal Component Analysis of Fluorescence Excitation-emission Matrices for Characterization of Natural Organic Matter in Water Treatment"
"Aquatic Insects","Q13442814","Q56794616","10.1080/01650427909360994","Aquatic Insects"
"Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1","Q13442814","Q56794616","10.4039/n07-ls04","Aquatic arthropods and forestry: effects of large-scale land use on aquatic systems in Nearctic temperate regions1"
"Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation","Q13442814","Q57582079","10.1002/2015wr017199","Are all runoff processes the same? Numerical experiments comparing a D arcy‐R ichards solver to an overland flow‐based approach for subsurface storm runoff simulation"
"Are we ready for alternative fuel transportation systems in Canada: A regional vignette","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2017.08.078","Are we ready for alternative fuel transportation systems in Canada: A regional vignette"
"Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119559","Article Title: Electric Vehicle Recharging Infrastructure Planning and Management in Urban Communities"
"Article title: Renewable energy integration into community energy systems: A case study of new urban residential development","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2016.10.067","Article title: Renewable energy integration into community energy systems: A case study of new urban residential development"
"Artificial light as a disturbance to light‐naïve streams","Q13442814","Q56794616","10.1111/fwb.12426","Artificial light as a disturbance to light‐naïve streams"
"Asher P. Schick (1931–2002)","Q13442814","Marwan Hassan","10.1029/2002eo000388","Asher P. Schick (1931–2002)"
"Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index","Q13442814","Rehan Sadiq","10.1007/s10661-016-5306-3","Assessing regulatory violations of disinfection by-products in water distribution networks using a non-compliance potential index"
"Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa","Q13442814","Leila M. Harris","10.1177/2399654419859365","Assessing states: Water service delivery and evolving state–society relations in Accra, Ghana and Cape Town, South Africa"
"Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua","Q13442814","Jordi Honey-Rosés","10.1177/1940082920922676","Assessing the Permanence of Land-Use Change Induced by Payments for Environmental Services: Evidence From Nicaragua"
"Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes","Q13442814","Pierre Bérubé","10.1016/j.watres.2013.06.018","Assessing the effects of sodium hypochlorite exposure on the characteristics of PVDF based membranes"
"Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams","Q13442814","Q56794616","10.1111/j.1600-0706.2010.18942.x","Assessing the functional importance of large‐bodied invertebrates in experimental headwater streams"
"Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest","Q13442814","Q56794616","10.1016/j.foreco.2016.10.044","Assessing the long-term ecological effects of riparian management practices on headwater streams in a coastal temperate rainforest"
"Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis","Q13442814","Q56794616","10.1111/j.1523-1739.2010.01606.x","Assessing the value of the umbrella‐species concept for conservation planning with meta‐analysis"
"Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran","Q13442814","Rehan Sadiq","10.1016/j.jher.2018.08.002","Assessment of different MOEAs for rehabilitation evaluation of urban stormwater drainage systems–case study: eastern catchment of Tehran"
"Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors","Q13442814","Pierre Bérubé","10.1016/j.ces.2010.12.034","Assessment of mass transfer coefficients in coalescing slug flow in vertical pipes and applications to tubular airlift membrane bioreactors"
"Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2020.122886","Assessment of renewable energy-based strategies for net-zero energy communities: A planning model using multi-objective goal programming"
"Assessment of water quality in distribution networks through the lens of disinfection by-product rules","Q13442814","Rehan Sadiq","10.4314/wsa.v42i2.17","Assessment of water quality in distribution networks through the lens of disinfection by-product rules"
"Automated analysis of aspects of written argumentation","Q13442814","Gunilla Öberg","10.1145/3027385.3029484","Automated analysis of aspects of written argumentation"
"BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales","Q13442814","Marwan Hassan","10.5194/egusphere-egu2020-10800","BEDFLOW: integrating river morphodynamics in the Sillaro River across spatial and temporal scales"
"BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia","Q13442814","Rehan Sadiq","10.1016/j.jclepro.2019.119543","BIM-based life cycle environmental performance assessment of single-family houses: Renovation and reconstruction strategies for aging building stock in British Columbia"
