"qid","Len","P31","P50","P356","P921","P1476"
"","Membrane ageing in full-scale water treatment plants","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2019.115212","water treatment","Membrane ageing in full-scale water treatment plants"
"","Membrane bioreactors for anaerobic treatment of wastewaters: phase II","Q13442814","('Pierre Bérubé',)","10.2166/9781780403946","water","Membrane bioreactors for anaerobic treatment of wastewaters: phase II"
"","Membrane bioreactors: Theory and applications to wastewater reuse","Q13442814","('Pierre Bérubé',)","10.1016/s1871-2711(09)00209-8","water","Membrane bioreactors: Theory and applications to wastewater reuse"
"","Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2007.03.019","physical and theoretical chemistry","Membrane fouling mechanisms of a membrane enhanced biological phosphorus removal process"
"","Messung von Schubspannungen beim Aufstieg von Einzelblasen","Q13442814","('Pierre Bérubé',)","10.1002/cite.201050247","industrial and manufacturing engineering","Messung von Schubspannungen beim Aufstieg von Einzelblasen"
"","Model development to access the ageing of polymeric membranes due to chemical cleaning","Q13442814","('Pierre Bérubé',)","10.1016/j.proeng.2012.08.605","membranes","Model development to access the ageing of polymeric membranes due to chemical cleaning"
"","Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes","Q13442814","('Pierre Bérubé',)","10.2166/ws.2007.139","membranes","Modeling the impact of permeate flux and hydrodynamic conditions on fouling in submerged hollow fiber membranes"
"","Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance","Q13442814","('Pierre Bérubé',)","10.3390/membranes7030034","membranes","Nanofiltration and Tight Ultrafiltration Membranes for Natural Organic Matter Removal—Contribution of Fouling and Concentration Polarization to Filtration Resistance"
"","Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2019.05.056","ecological modelling","Numerical and experimental investigation of pulse bubble aeration with high packing density hollow-fibre MBRs"
"","Operation of passive membrane systems for drinking water treatment","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2017.02.065","drinking water","Operation of passive membrane systems for drinking water treatment"
"","Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System","Q13442814","('Pierre Bérubé',)","10.2175/193864710798216792","","Optimal Module Configuration and Sparging Scenario for a Submerged Hollow Fiber Membrane System"
"","Optimization of air sparging and in-line coagulation for ultrafiltration fouling control","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2017.06.064","","Optimization of air sparging and in-line coagulation for ultrafiltration fouling control"
"","Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system","Q13442814","('Pierre Bérubé',)","10.5004/dwt.2012.2443","","Optimizing the sparging condition and membrane module spacing for a ZW500 submerged hollow fiber membrane system"
"","PFAS removal by ion exchange resins: A review","Q13442814","('Pierre Bérubé',)","10.1016/j.chemosphere.2021.129777","ion exchange","PFAS removal by ion exchange resins: A review"
"","Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2018.08.032","water","Performance of thin-film composite hollow fiber nanofiltration for the removal of dissolved Mn, Fe and NOM from domestic groundwater supplies"
"","Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications.","Q13442814","('Pierre Bérubé',)","10.5004/dwt.2017.20184","drinking water","Physical cleaning efficacy of hollow fiber nanofiltration membranes in drinking water applications."
"","Power induced by bubbles of different sizes and frequencies on to hollow fibers in submerged membrane systems","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2013.08.020","ecological modelling","Power induced by bubbles of different sizes and frequencies on to hollow fibers in submerged membrane systems"
"","Promoting the biological oxidation of reduced sulphur compounds by pH adjustment in a high temperature membrane bioreactor treating Kraft Pulp Mill Foul Condensate","Q13442814","('Pierre Bérubé',)","10.2166/wqrj.2001.006","water science and technology","Promoting the biological oxidation of reduced sulphur compounds by pH adjustment in a high temperature membrane bioreactor treating Kraft Pulp Mill Foul Condensate"
"","Pulse bubble sparging for fouling control","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2014.07.023","filtration and separation","Pulse bubble sparging for fouling control"
"","Pulse bubble sparging for the control of hydraulically reversible fouling in submerged hollow fiber membrane systems","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2013.12.011","filtration and separation","Pulse bubble sparging for the control of hydraulically reversible fouling in submerged hollow fiber membrane systems"
"","Quantifying the shear at the surface of submerged hollow fiber membranes","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2005.12.043","membranes","Quantifying the shear at the surface of submerged hollow fiber membranes"
"","Rate and extent NOM removal during oxidation and biofiltration","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2013.12.017","ecological modelling","Rate and extent NOM removal during oxidation and biofiltration"
"","Relationship between types of surface shear stress profiles and membrane fouling","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2011.09.031","","Relationship between types of surface shear stress profiles and membrane fouling"
"","Removal of disinfection by-product precursors with ozone-UV advanced oxidation process","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2005.03.021","ozone","Removal of disinfection by-product precursors with ozone-UV advanced oxidation process"
"","Reuse of Air for Return Activated Sludge Pumping in Submerged Membrane Bioreactors","Q13442814","('Pierre Bérubé',)","10.1002/cite.201500080","industrial and manufacturing engineering","Reuse of Air for Return Activated Sludge Pumping in Submerged Membrane Bioreactors"
"","Roles of various mixed liquor constituents in membrane filtration of activated sludge","Q13442814","('Pierre Bérubé',)","10.5004/dwt.2009.108","pollution","Roles of various mixed liquor constituents in membrane filtration of activated sludge"
"","SEM imaging of membranes: Importance of sample preparation and imaging parameters","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2014.03.048","membranes","SEM imaging of membranes: Importance of sample preparation and imaging parameters"
"","Seeking realistic membrane ageing at bench-scale","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2020.118606","physical and theoretical chemistry","Seeking realistic membrane ageing at bench-scale"
"","Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer","Q13442814","('Pierre Bérubé',)","10.11120/ened.2007.02010002","","Student Learning in Teams: Viewpoint of Team Members, Teachers and an Observer"
"","Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater","Q13442814","('Pierre Bérubé',)","10.2175/193864710798182060","water","Study of submerged anaerobic membrane bioreactor (AnMBR) treating municipal wastewater"
"","Surface shear stress and membrane fouling when considering natural water matrices","Q13442814","('Pierre Bérubé',)","10.1016/j.desal.2013.09.018","water","Surface shear stress and membrane fouling when considering natural water matrices"
"","Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment","Q13442814","('Pierre Bérubé',)","10.1016/j.seppur.2013.11.003","drinking water","Surface shear stress and retention of emerging contaminants during ultrafiltration for drinking water treatment"
"","The effect of concentration factor on membrane fouling","Q13442814","('Pierre Bérubé',)","10.3390/membranes7030050","","The effect of concentration factor on membrane fouling"
"","The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system","Q13442814","('Pierre Bérubé',)","10.1016/j.memsci.2005.07.006","physical and theoretical chemistry","The effect of hydrodynamic conditions and system configurations on the permeate flux in a submerged hollow fiber membrane system"
"","The impact of loading approach and biological activity on NOM removal by ion exchange resins","Q13442814","('Pierre Bérubé',)","10.1016/j.watres.2018.01.052","ion exchange","The impact of loading approach and biological activity on NOM removal by ion exchange resins"
"","The importance of fluid dynamics for MBR fouling mitigation","Q13442814","('Pierre Bérubé',)","10.1016/j.biortech.2012.05.069","","The importance of fluid dynamics for MBR fouling mitigation"
"","Ultrafiltration fouling: Impact of backwash frequency and air sparging","Q13442814","('Pierre Bérubé',)","10.1080/01496395.2014.948964","","Ultrafiltration fouling: Impact of backwash frequency and air sparging"
"","Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation","Q13442814","('Pierre Bérubé',)","10.5942/jawwa.2014.106.0018","","Ultrafiltration organic fouling control: Comparison of air‐sparging and coagulation"
"","Variability and limits of the unified membrane fouling index: application to the reduction of low-pressure membrane fouling by ozonation and biofiltration","Q13442814","('Pierre Bérubé',)","10.1080/19443994.2012.672214","","Variability and limits of the unified membrane fouling index: application to the reduction of low-pressure membrane fouling by ozonation and biofiltration"
