"qid","Len","P31","P50","P356","P921","P1476"
"","Changes in the productivity base and fish populations of the lower Fraser River (Canada) associated with historical changes in human occupation","Q13442814","Q56794616","10.1127/lr/10/1996/279","fish","Changes in the productivity base and fish populations of the lower Fraser River (Canada) associated with historical changes in human occupation"
"","Channel and landscape dynamics in the alluvial forest mosaic of the Carmanah River valley, British Columbia, Canada","Q13442814","Q56794616","10.1016/j.geomorph.2013.04.006","british columbia","Channel and landscape dynamics in the alluvial forest mosaic of the Carmanah River valley, British Columbia, Canada"
"","Characteristics, main impacts, and stewardship of natural and artificial freshwater environments: consequences for biodiversity conservation","Q13442814","Q56794616","10.3390/w12010260","environments","Characteristics, main impacts, and stewardship of natural and artificial freshwater environments: consequences for biodiversity conservation"
"","Chlorinated organic contaminants in benthic organisms of the lower Fraser River near Agassiz, British Columbia","Q13442814","Q56794616","10.2166/wqrj.1996.009","british columbia","Chlorinated organic contaminants in benthic organisms of the lower Fraser River near Agassiz, British Columbia"
"","Chlorpyrifos interacts with other agricultural stressors to alter stream communities in laboratory microcosms","Q13442814","Q56794616","10.1002/eap.1637","ecology","Chlorpyrifos interacts with other agricultural stressors to alter stream communities in laboratory microcosms"
"","Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia","Q13442814","Q56794616","10.1139/f92-038","british columbia","Coarse particulate detritus dynamics in small, montane streams Southwestern British Columbia"
"","Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure","Q13442814","Q56794616","10.1111/j.1365-2427.2009.02279.x","streams","Coarse particulate organic matter dynamics in small streams: towards linking function to physical structure"
"","Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence","Q13442814","Q56794616","10.1139/x03-089","water","Communities of aquatic insects of old-growth and clearcut coastal headwater streams of varying flow persistence"
"","Community responses to experimental food depletion: resource tracking by stream invertebrates","Q13442814","Q56794616","10.1007/s004420100748","invertebrates","Community responses to experimental food depletion: resource tracking by stream invertebrates"
"","Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream","Q13442814","Q56794616","10.1002/iroh.200610979","invertebrates","Comparisons of the colonisation by invertebrates of three species of wood, alder leaves, and plastic “leaves” in a temperate stream"
"","Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem","Q13442814","Q56794616","10.1007/s00442-013-2877-3","water","Competitive displacement alters top-down effects on carbon dioxide concentrations in a freshwater ecosystem"
"","Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system","Q13442814","Q56794616","10.1111/j.1365-2656.2005.01000.x","animal science and zoology","Complex interactions of light, nutrients and consumer density in a stream periphyton–grazer (tailed frog tadpoles) system"
"","Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance","Q13442814","Q56794616","10.1111/csp2.310","","Conservation in heavily urbanized biodiverse regions requires urgent management action and attention to governance"
"","Consumer responses to resource patch size and architecture: leaf packs in streams","Q13442814","Q56794616","10.1127/fal/2019/1187","streams","Consumer responses to resource patch size and architecture: leaf packs in streams"
"","Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams","Q13442814","Q56794616","10.1007/s00027-010-0159-2","invertebrates","Contrasting effects of cross-ecosystem subsidies and predation on benthic invertebrates in two Pacific coastal streams"
"","Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations","Q13442814","Q56794616","10.1371/journal.pone.0036769","rivers","Current and historical drivers of landscape genetic structure differ in core and peripheral salamander populations"
"","Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden","Q13442814","Q56794616","10.1029/2019wr026381","streams","Cutting edge: A comparison of contemporary practices of riparian buffer retention around small streams in Canada, Finland, and Sweden"
"","Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada","Q13442814","Q56794616","10.1002/esp.4859","british columbia","Decadal‐scale changes in suspended wood after riparian recruitment in managed stands in headwater streams of coastal British Columbia, Canada"
"","Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary","Q13442814","Q56794616","10.2307/1352723","","Decomposition rates of purple loosestrife (Lythrum salicaria) and Lyngbyei’s sedge (Carex lyngbyei) in the Fraser River Estuary"
"","Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference","Q13442814","Q56794616","10.1111/j.0021-8790.2004.00849.x","animal science and zoology","Detritus processing, ecosystem engineering and benthic diversity: a test of predator–omnivore interference"
"","Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter","Q13442814","Q56794616","10.3354/meps08094","ecology","Dietary responses of tidal flat macrobenthos to reduction of benthic microalgae: a test for potential use of allochthonous organic matter"
"","Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams","Q13442814","Q56794616","10.1007/bf00014276","british columbia","Dietary variations of predaceous caddisfly larvae (Trichoptera: Rhyacophilidae, Polycentropodidae and Arctopsychidae) from British Columbian streams"
"","Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival","Q13442814","Q56794616","10.1139/f01-160","streams","Direct and indirect effects of sediment pulse duration on stream invertebrate assemblages and rainbow trout (Oncorhynchus mykiss) growth and survival"
"","Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest","Q13442814","Q56794616","10.1007/s10310-015-0479-0","forestry","Distribution pattern of coniferous seedlings after a partial harvest along a creek in a Canadian Pacific northwest forest"
"","Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?","Q13442814","Q56794616","10.1016/s0006-3207(02)00357-9","ecology, evolution, behavior and systematics","Do riparian buffer strips mitigate the impacts of clearcutting on small mammals?"
"","Do riparian zones qualify as critical habitat for endangered freshwater fishes?","Q13442814","Q56794616","10.1139/f10-063","fish","Do riparian zones qualify as critical habitat for endangered freshwater fishes?"
"","Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?","Q13442814","Q56794616","10.1002/ecs2.1779","","Does leaf litter from invasive plants contribute the same support of a stream ecosystem function as native vegetation?"
"","Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?","Q13442814","Q56794616","10.1139/f05-167","fish","Does trophic position of the omnivorous signal crayfish (Pacifastacus leniusculus) in a stream food web vary with life history stage or density?"
"","Does water velocity influence optimal escape behaviors in stream insects?","Q13442814","Q56794616","10.1093/beheco/arp182","water","Does water velocity influence optimal escape behaviors in stream insects?"
"","Drivers, impacts, mechanisms and adaptation in insect invasions","Q13442814","Q56794616","10.1007/s10530-016-1088-3","rivers","Drivers, impacts, mechanisms and adaptation in insect invasions"
"","Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration","Q13442814","Q56794616","10.1127/fal/2020/1225","drought","Drought may amplify the impacts of salt pollution in pond ecosystems: an experimental exploration"
"","Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1","Q13442814","Q56794616","10.1111/j.1752-1688.2007.00007.x","invertebrates","Ecological Linkages Between Headwaters and Downstream Ecosystems: Transport of Organic Matter, Invertebrates, and Wood Down Headwater Channels1"
"","Ecological neighborhoods: scaling environmental patterns","Q13442814","Q56794616","10.2307/3565770","environmental","Ecological neighborhoods: scaling environmental patterns"
"","Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles","Q13442814","Q56794616","10.1016/0016-6480(76)90051-4","endocrinology","Effects of Nonylphenol on Tail Resorption and Metamorphic Staging in Rana catesbeiana Tadpoles"
"","Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams","Q13442814","Q56794616","10.1139/f02-079","streams","Effects of food and cover on the growth, survival, and movement of cutthroat trout (Oncorhynchus clarki) in coastal streams"
"","Effects of landuse intensification on stream basal resources and invertebrate communities","Q13442814","Q56794616","10.1086/693457","land","Effects of landuse intensification on stream basal resources and invertebrate communities"
"","Effects of light and nutrients on grazer-periphyton interactions","Q13442814","Q56794616","10.1080/03680770.2001.11901911","","Effects of light and nutrients on grazer-periphyton interactions"
"","Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment","Q13442814","Q56794616","10.1577/t04-232.1","water","Effects of logging second-growth forests on headwater populations of coastal cutthroat trout: A 6-year, multistream, before-and-after field experiment"
"","Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream","Q13442814","Q56794616","10.1899/08-092.1","fish","Effects of ontogenetic stage and density on the ecological role of the signal crayfish (Pacifastacus leniusculus) in a coastal Pacific stream"
"","Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility","Q13442814","Q56794616","10.1139/z04-021","water","Effects of pH and dilution on African clawed frog (Xenopus laevis) sperm motility"
"","Effects of riparian forest harvest on streams: a meta‐analysis","Q13442814","Q56794616","10.1111/1365-2664.12332","streams","Effects of riparian forest harvest on streams: a meta‐analysis"
"","Effects of seston quality on the growth of a lake-outlet filter feeder","Q13442814","Q56794616","10.2307/3544157","ecology, evolution, behavior and systematics","Effects of seston quality on the growth of a lake-outlet filter feeder"
"","Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats","Q13442814","Q56794616","10.3354/meps07388","rivers","Effects of small rivers on chemical properties of sediment and diets for primary consumers in estuarine tidal flats"
"","Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community","Q13442814","Q56794616","10.1139/f94-103","bacteria","Effects of the bacterial insecticide Bacillus thuringiensis var. kurstaki (Btk) on a stream benthic community"
"","Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers","Q13442814","Q56794616","10.1139/cjfas-2019-0435","rivers","Effects of tributary size on the resource supply and physical habitat at tributary junctions along two mainstem rivers"
"","Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations","Q13442814","Q56794616","10.1899/11-094.1","forest management","Emulation of natural disturbance (END) for riparian forest management: synthesis and recommendations"
"","Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width","Q13442814","Q56794616","10.1899/0887-3593(2004)023<0542:elaacm>2.0.co;2","aquatic science","Establishing light as a causal mechanism structuring stream communities in response to experimental manipulation of riparian buffer width"
"","Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad","Q13442814","Q56794616","10.1007/s00027-010-0151-x","ecology","Evidence for ecosystem engineering in a lentic habitat by tadpoles of the western toad"
"","Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn","Q13442814","Q56794616","10.1016/j.tree.2018.06.005","ecology, evolution, behavior and systematics","Expanding resilience comparisons to address management needs: a response to Ingrisch and Bahn"
"","Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape","Q13442814","Q56794616","10.1007/s10750-010-0331-7","streams","Experimental increases and reductions of light to streams: effects on periphyton and macroinvertebrate assemblages in a coniferous forest landscape"
"","Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests","Q13442814","Q56794616","10.1002/ecs2.2478","water","Experimental test of water, nutrients, and microclimate on leaf litter mass loss in headwater riparian forests"
"","Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation","Q13442814","Q56794616","10.1007/s00027-011-0245-0","ecology","Fine sediment on leaves: shredder removal of sediment does not enhance fungal colonisation"
"","Fish communities of the lower Fraser River (Canada) and a 21-year contrast","Q13442814","Q56794616","10.1023/a:1007681332484","fish","Fish communities of the lower Fraser River (Canada) and a 21-year contrast"
"","Flow refugia for benthic macroinvertebrates during flooding of a large river","Q13442814","Q56794616","10.2307/1468007","invertebrates","Flow refugia for benthic macroinvertebrates during flooding of a large river"
"","Flow‐substrate interactions create and mediate leaf litter resource patches in streams","Q13442814","Q56794616","10.1111/j.1365-2427.2005.01499.x","streams","Flow‐substrate interactions create and mediate leaf litter resource patches in streams"
"","Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada","Q13442814","Q56794616","10.1127/archiv-hydrobiol/149/2000/109","british columbia","Fluvial and epilithic organic matter dynamics in headwater streams of southwestern British Columbia, Canada"
"","Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream","Q13442814","Q56794616","10.1111/j.1365-2427.1992.tb00531.x","aquatic science","Food, microhabitat, or both? Macroinvertebrate use of leaf accumulations in a montane stream"
"","Forest management impacts on greenhouse gas fluxes from riparian soils along headwater streams","Q13442814","Q56794616","10.1007/s10021-021-00621-z","forest management","Forest management impacts on greenhouse gas fluxes from riparian soils along headwater streams"
"","Getting quantitative about consequences of cross-ecosystem resource subsidies on recipient consumers","Q13442814","Q56794616","10.1139/cjfas-2016-0242","fish","Getting quantitative about consequences of cross-ecosystem resource subsidies on recipient consumers"
"","Growth and development rates in a riparian spider are altered by asynchrony between the timing and amount of a resource subsidy","Q13442814","Q56794616","10.1007/s00442-008-0989-y","ecology, evolution, behavior and systematics","Growth and development rates in a riparian spider are altered by asynchrony between the timing and amount of a resource subsidy"
"","Habitat-specific production of aquatic and terrestrial invertebrate drift in small forest streams: implications for drift-feeding fish","Q13442814","Q56794616","10.1139/cjfas-2016-0406","fish","Habitat-specific production of aquatic and terrestrial invertebrate drift in small forest streams: implications for drift-feeding fish"
"","How did fixed-width buffers become standard practice for protecting freshwaters and their riparian areas from forest harvest practices?","Q13442814","Q56794616","10.1899/11-031.1","riparian areas","How did fixed-width buffers become standard practice for protecting freshwaters and their riparian areas from forest harvest practices?"
"","Hydrological drought and the role of refugia in an endangered riffle-dwelling fish, Nooksack dace (Rhinichthys cataractae ssp.)","Q13442814","Q56794616","10.1139/cjfas-2013-0585","fish","Hydrological drought and the role of refugia in an endangered riffle-dwelling fish, Nooksack dace (Rhinichthys cataractae ssp.)"
"","Impact of sediment and nutrient inputs on growth and survival of tadpoles of the Western Toad","Q13442814","Q56794616","10.1111/j.1365-2427.2008.02139.x","aquatic science","Impact of sediment and nutrient inputs on growth and survival of tadpoles of the Western Toad"
"","Impacts of marine-derived nutrients on stream ecosystem","Q13442814","Q56794616","10.1098/rspb.2003.2478","general biochemistry, genetics and molecular biology","Impacts of marine-derived nutrients on stream ecosystem"
"","Implications of seasonal variation for biomonitoring with predictive models in the Fraser River catchment, British Columbia","Q13442814","Q56794616","10.1139/f01-076","british columbia","Implications of seasonal variation for biomonitoring with predictive models in the Fraser River catchment, British Columbia"
"","Importance of riparian zone: effects of resource availability at land-water interface","Q13442814","Q56794616","10.1515/remc-2016-0001","water","Importance of riparian zone: effects of resource availability at land-water interface"
"","Importance of scale, land‐use, and stream network properties for riparian plant communities along an urban gradient","Q13442814","Q56794616","10.1111/fwb.13244","land","Importance of scale, land‐use, and stream network properties for riparian plant communities along an urban gradient"
"","Indirect effects of detritus manipulations in a montane stream","Q13442814","Q56794616","10.1139/f91-093","aquatic science","Indirect effects of detritus manipulations in a montane stream"
"","Influence of moisture, nutrients, and distance from stream on early-stage mass loss of western red cedar leaf litter in headwater riparian forests","Q13442814","Q56794616","10.1139/cjfr-2020-0176","water","Influence of moisture, nutrients, and distance from stream on early-stage mass loss of western red cedar leaf litter in headwater riparian forests"
"","Interactions among Nutrients, Periphyton, and Invertebrate and Vertebrate (Ascaphus truei) Grazers in Experimental Channels","Q13442814","Q56794616","10.1643/0045-8511(2001)001[0422:ianpai]2.0.co;2","animal science and zoology","Interactions among Nutrients, Periphyton, and Invertebrate and Vertebrate (Ascaphus truei) Grazers in Experimental Channels"
"","Interactive field site visits can help students translate scientific studies into contextual understanding","Q13442814","Q56794616","10.1080/03632415.2012.696016","","Interactive field site visits can help students translate scientific studies into contextual understanding"
"","Introduction and a theoretical basis for using disturbance by forest management activities to sustain aquatic ecosystems","Q13442814","Q56794616","10.1899/11-114.1","forest management","Introduction and a theoretical basis for using disturbance by forest management activities to sustain aquatic ecosystems"
"","Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition","Q13442814","Q56794616","10.1111/j.1365-2427.2012.02740.x","streams","Invertebrate feeding and emergence timing vary among streams along a gradient of riparian forest composition"
"","Lake outlets and the distribution of filter feeders: an assessment of hypotheses","Q13442814","Q56794616","10.2307/3545503","","Lake outlets and the distribution of filter feeders: an assessment of hypotheses"
"","Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream","Q13442814","Q56794616","10.1139/f2012-090","british columbia","Leaf quality influences invertebrate colonization and drift in a temperate rainforest stream"
"","Leaf-litter leachate and light interactively enhance accrual of stream biofilms","Q13442814","Q56794616","10.1127/1863-9135/2014/0602","ecology","Leaf-litter leachate and light interactively enhance accrual of stream biofilms"
"","Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia","Q13442814","Q56794616","10.22621/cfn.v120i3.327","british columbia","Life history phenology and sediment size association of the dragonfly Cordulegaster dorsalis (Odonata: Cordulegastridae) in an ephemeral habitat in southwestern British Columbia"
"","Limits to Productivity in Streams","Q13442814","Q56794616","10.1007/978-1-4613-3775-1_3","streams","Limits to Productivity in Streams"
"","Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0159-0309","aquatic science","Litter breakdown and invertebrate association with three types of leaves in a temperate rainforest stream"
"","Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition","Q13442814","Q56794616","10.1016/j.foreco.2010.03.022","","Litter decomposition can detect effects of high and moderate levels of forest disturbance on stream condition"
"","Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river","Q13442814","Q56794616","10.1046/j.1365-2427.2000.00617.x","aquatic science","Macroinvertebrate community structure along gradients of hydraulic and sedimentary conditions in a large gravel‐bed river"
"","Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests","Q13442814","Q56794616","10.1002/hyp.11281","streams","Management perspectives on Aqua incognita: Connectivity and cumulative effects of small natural and artificial streams in boreal forests"
"","Measuring function and structure of urban headwater streams with citizen scientists","Q13442814","Q56794616","10.1002/ecs2.2720","water","Measuring function and structure of urban headwater streams with citizen scientists"
"","Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies","Q13442814","Q56794616","10.1890/0012-9658(2007)88[140:mtlhap]2.0.co;2","","Meta‐analysis: trophic level, habitat, and productivity shape the food web effects of resource subsidies"
"","Microbial utilization of dissolved organic carbon leached from riparian litterfall","Q13442814","Q56794616","10.1139/f02-135","bacteria","Microbial utilization of dissolved organic carbon leached from riparian litterfall"
"","Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts","Q13442814","Q56794616","10.1093/beheco/ars171","modeling","Modeling the role of stage-structured agonistic interactions in ontogenetic habitat shifts"
"","Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts","Q13442814","Q56794616","10.1016/j.limno.2019.125714","aquatic science","Modelling biophysical controls on stream organic matter standing stocks under a range of forest harvesting impacts"
"","Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada","Q13442814","Q56794616","10.1016/j.ecolmodel.2004.08.022","british columbia","Modelling organic matter dynamics in headwater streams of south-western British Columbia, Canada"
"","Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream","Q13442814","Q56794616","10.1007/s00027-017-0543-2","","Moderate nutrient enrichment affects algal and detritus pathways differently in a temperate rainforest stream"
"","Movement behaviour of adult western toads in a fragmented, forest landscape","Q13442814","Q56794616","10.1139/z09-109","land","Movement behaviour of adult western toads in a fragmented, forest landscape"
"","Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands","Q13442814","Q56794616","10.1139/x05-042","british columbia","Movement patterns and relative abundance of coastal tailed frogs in clearcuts and mature forest stands"
"","Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales","Q13442814","Q56794616","10.1899/11-030.1","forest management","Natural disturbance and forest management in riparian zones: comparison of effects at reach, catchment, and landscape scales"
"","New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)","Q13442814","Q56794616","10.1371/journal.pone.0014333","general biochemistry, genetics and molecular biology","New microsatellite markers for examining genetic variation in peripheral and core populations of the coastal giant salamander (Dicamptodon tenebrosus)"
"","Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter","Q13442814","Q56794616","10.1111/1365-2664.12099","ecology","Nonlinear variation of stream–forest linkage along a stream‐size gradient: an assessment using biogeochemical proxies of in‐stream fine particulate organic matter"
"","Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning","Q13442814","Q56794616","10.1016/j.scitotenv.2019.06.301","water","Nutrients and sediment modify the impacts of a neonicotinoid insecticide on freshwater community structure and ecosystem functioning"
"","Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting","Q13442814","Q56794616","10.1016/j.foreco.2010.08.016","british columbia","Organic matter inputs into headwater streams of southwestern British Columbia as a function of riparian reserves and time since harvesting"
"","Pacific coast rivers of Canada and Alaska","Q13442814","Q56794616","10.1016/b978-012088253-3/50019-5","rivers","Pacific coast rivers of Canada and Alaska"
"","Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream","Q13442814","Q56794616","10.1127/0003-9136/2004/0161-0307","british columbia","Patchy resources in a heterogeneous environment: effects of leaf litter and forest cover on colonisation patterns of invertebrates in a British Columbian stream"
"","Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera","Q13442814","Q56794616","10.1007/978-94-009-4043-7_39","","Patterns of Geographic Variation in Adult Flight Phenology of Some Nearctic Trichoptera"
"","Phenology and ecology of some Trichoptera in a low-gradient boreal stream","Q13442814","Q56794616","10.2307/1467706","aquatic science","Phenology and ecology of some Trichoptera in a low-gradient boreal stream"
"","Predation risk and competition effects on the life-history characteristics of larval Oregon spotted frog and larval red-legged frog","Q13442814","Q56794616","10.1007/s00442-002-0981-x","","Predation risk and competition effects on the life-history characteristics of larval Oregon spotted frog and larval red-legged frog"
"","Predator-induced reduction of freshwater carbon dioxide emissions","Q13442814","Q56794616","10.1038/ngeo1734","water","Predator-induced reduction of freshwater carbon dioxide emissions"
"","Prevalence of the chytrid fungus (Batrachochytrium dendrobatidis) in Western Toads in southwestern British Columbia, Canada","Q13442814","Q56794616","10.1898/1051-1733-90.1.35","british columbia","Prevalence of the chytrid fungus (Batrachochytrium dendrobatidis) in Western Toads in southwestern British Columbia, Canada"
"","Prey selection and distribution of a predaceous, net-spinning caddisfly, Neureclipsis bimaculata (Polycentropodidae)","Q13442814","Q56794616","10.1139/z84-228","streams","Prey selection and distribution of a predaceous, net-spinning caddisfly, Neureclipsis bimaculata (Polycentropodidae)"
"","Principles for ensuring healthy and productive freshwater ecosystems that support sustainable fisheries","Q13442814","Q56794616","10.1139/er-2013-0038","fish","Principles for ensuring healthy and productive freshwater ecosystems that support sustainable fisheries"
"","Processing of Aquatic Invertebrates Colonizing Decomposing Litter","Q13442814","Q56794616","10.1007/978-3-030-30515-4_49","invertebrates","Processing of Aquatic Invertebrates Colonizing Decomposing Litter"
"","Programme Committee Members","Q13442814","Q56794616","10.1109/iccpct.2014.7055068","","Programme Committee Members"
